"Id","OwnerId","IsDeleted","Name","nFORCE__App__c","nFORCE__Body_Type__c","nFORCE__Body__c","nFORCE__Description__c","nFORCE__Group__c","nFORCE__Icon_Class__c","nFORCE__Is_Hidden__c","nFORCE__Navigation__c","nFORCE__Order__c","nFORCE__Parameters__c","nFORCE__Parent_App__c","nFORCE__Screen__c","nFORCE__Sub_Navigation__c","nFORCE__Taxonomy_Id__c","nFORCE__Toolbar__c","nFORCE__Topbar__c","nFORCE__lookupKey__c"
"a0mWD000003RDU4YAO","005al00000RVcKvAAL","false","Memos","memos-booked","","nforce__korelatedtable","","","n-icon-memo","false","nforce__navigation","","","","a0sWD00000XnoKBYAZ","nforce__sub_navigation","memos-booked","","nforce__topbar","42220153360337800"
"a0mWD000003RDU8YAO","005al00000RVcKvAAL","false","SBA Form 912","sba-account-form-912","","nsba__sba_form_contact","","","","false","nforce__navigation","","","","a0sWD00000Xo7W6YAJ","nforce__sub_navigation","","","nforce__topbar","42226735222982788"
"a0mWD000003RDydYAG","005al00000RVcKvAAL","false","Pricing","loan-pricing-m","Lightning Web Component","nforce__ncdatagrid","","","n-icon-loan","false","nforce__navigation","","","","a0sWD00000Xo7l8YAB","nforce__sub_navigation","loan-pricing-m","","nforce__topbar","42226911374389700"
"a0mWD000003RDyeYAG","005al00000RVcKvAAL","false","Bulk Edit Booked","dmw-list-view-booked-loans.dmw-bulk-action-bulk-edit","","llc_bi:dealManagementWorkspace","","","","false","","","","","a0sWD00000Xo7l9YAB","","","","","42229861494508958"
"a0mWD000003RDnnYAG","005al00000RVcKvAAL","false","Certifications","comp-certifications-read-loan-post-lob-pwc","","nforce__ncdatagrid","","","n-icon-hmda","false","nforce__navigation","","","","a0sWD00000Xo7gxYAB","nforce__sub_navigation","","","nforce__topbar","42233507745617642"
"a0mWD000003RDnoYAG","005al00000RVcKvAAL","false","Insurance","booked-Insurance-lob-pwc","","nforce__ncdatagrid","","","","false","nforce__navigation","","","","a0sWD00000Xo7dpYAB","nforce__sub_navigation","","","nforce__topbar","42235618700282619"
"a0mWD000003RDyjYAG","005al00000RVcKvAAL","false","Details","loan-ind-connected-relationship-details","","llc_bi__relationship_details_app","","","","false","nforce__navigation","","","","a0sWD00000Xo7jrYAB","nforce__sub_navigation","loan-ind-connected-relationship-details","","nforce__nctopbar","42243622946115800"
"a0mWD000003RDnpYAG","005al00000RVcKvAAL","false","Referrals","post-editable-referral-info","","nforce__ncdatagrid","","","n-icon-loan","false","nforce__navigation","","","","a0sWD00000Xo7eCYAR","nforce__sub_navigation","","","nforce__topbar","42248038117445251"
"a0mWD000003RDnqYAG","005al00000RVcKvAAL","false","SAG","lob-saginfo","","nforce__ncdatagrid","","","","false","nforce__navigation","","","","a0sWD00000Xo7dtYAB","nforce__sub_navigation","lob-saginfo","","nforce__topbar","42253860079959230"
"a0mWD000003RDnrYAG","005al00000RVcKvAAL","false","Seller/Partner Debt","seller-debt-m","","nforce__ncrelatedlist","","","n-icon-loan","false","nforce__navigation","","","","a0sWD00000Xo7eMYAR","nforce__sub_navigation","seller-debt-m","","nforce__topbar","42253860079959231"
"a0mWD000003RDnsYAG","005al00000RVcKvAAL","false","Legal Time","lob-legalTimeinfo","","nforce__ncdatagrid","","","","false","nforce__navigation","","","","a0sWD00000Xo7eHYAR","nforce__sub_navigation","lob-legalTimeinfo","","nforce__topbar","422538600799592359"
"a0mWD000003RDUCYA4","005al00000RVcKvAAL","false","Business Info","sbl-business-info","","NPORTAL__PortalForm","","","","false","NPORTAL__ApplicationNavigation","50.0","","","a0sWD00000Xo7mFYAR","","sbl-business-info","","NPORTAL__LoanTopbar","42257741416186600"
"a0mWD000003RDyoYAG","005al00000RVcKvAAL","false","Third Parties","heloc-third-parties","","llc_bi__third_party_management","","","n-icon-loan","false","nFORCE__navigation","","","","a0sWD00000Xo7juYAB","nFORCE__sub_navigation","heloc-third-parties","","nretail__summaryheadertopbar","42260929129804100"
"a0mWD000003RDypYAG","005al00000RVcKvAAL","false","Deposit Products","relationship-deposit-products","Lightning Web Component","nforce__korelatedtable","","","fa fa-lock fa-lg","false","nforce__inline_navigation","","readonly=true","","a0sWD00000Xo7lAYAR","nforce__sub_navigation","relationship-deposit-products","","nforce__blank","42261705351810300"
"a0mWD000003RDUHYA4","005al00000RVcKvAAL","false","SBA Application Change of Ownership","application-application-change-of-ownership","","nforce__korelatedtable","","","","false","nFORCE__Navigation","","","","a0sWD00000Xo7bHYAR","nFORCE__Sub_Navigation","","","nFORCE__Topbar","42264016083923007"
"a0mWD000003RDntYAG","005al00000RVcKvAAL","false","Insurance","post-appr-insurance-lob-pwc","","nforce__ncdatagrid","","","","false","nforce__navigation","","","","a0sWD00000Xo7e9YAB","nforce__sub_navigation","","","nforce__topbar","42265013999364212"
"a0mWD000003RDUIYA4","005al00000RVcKvAAL","false","Conflict of Interest","sba-form-1919C","","nforce__kodatagrid","","","","false","nforce__navigation","","","","a0sWD00000Xo7W1YAJ","nforce__sub_navigation","","","nforce__topbar","42266021623051456"
"a0mWD000003RDyqYAG","005al00000RVcKvAAL","false","SBA Form 10","sba-form-10-m","Lightning Web Component","nforce__ncdatagrid","","","","false","nforce__navigation","","","","a0sWD00000Xo7aeYAB","nforce__sub_navigation","sba-form-10-m","","nforce__topbar","42268607596514800"
"a0mWD000003RDyrYAG","005al00000RVcKvAAL","false","Details","ind-connected-relationship-details","","llc_bi__relationship_details_app","","","","false","nforce__navigation","","","","a0sWD00000Xo7k2YAB","nforce__sub_navigation","ind-connected-relationship-details","","nforce__nctopbar","42268819894039100"
"a0mWD000003RDUNYA4","005al00000RVcKvAAL","false","Mukesh","MK41","","MK","","","","false","","","","","a0sWD00000Xo7mJYAR","","","","","42273992341013510"
"a0mWD000003RDyuYAG","005al00000RVcKvAAL","false","Risk Ratings","risk-rating","Lightning Web Component","nforce__korelatedtable","","","n-icon-risk_grading","false","nforce__navigation","","readonly=true","","a0sWD00000Xo7lBYAR","nforce__sub_navigation","risk-rating","","nforce__topbar","42274464072809700"
"a0mWD000003RDkoYAG","005al00000RVcKvAAL","false","Add Beneficiaries","dep-add-beneficiary","","nPORTAL__MultiRecordForm","","","","false","nPORTAL__ApplicationNavigation","","","","a0sWD00000Xo7cmYAB","","dep-add-beneficiary","","nPORTAL__LoanTopbar","42275797214723875"
