"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","nFORCE__Screen_Section__c","nFORCE__Display_Order__c","nFORCE__Field_Set_Key__c","nFORCE__Filter_Criteria__c","nFORCE__Limit__c","nFORCE__Offset_By_Limit__c","nFORCE__Parent_Configuration__c","nFORCE__Parent_Relationship_Name__c","nFORCE__Section_Header__c","nFORCE__Sort_Criteria__c","nFORCE__Unique__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c"
"a0vWD00000B9khsYAB","false","SC-000024454","2026-04-07T19:28:44.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GTAU8YAP","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","42277874525359444","LLC_BI__Collateral__c"
"a0vWD00000B9jJPYAZ","false","SC-000022883","2026-04-07T19:06:45.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GSmiJYAT","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","42320818129596128","LLC_BI__Collateral__c"
"a0vWD00000B9jJQYAZ","false","SC-000022884","2026-04-07T19:06:45.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GSmj6YAD","1.01","LLC_BI__Leased_Asset_Valuation","","","false","","","Valuation","","false","42327143344905966","LLC_BI__Collateral__c"
"a0vWD00000B9kitYAB","false","SC-000024517","2026-04-07T19:28:44.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GTAQlYAP","1.01","LLC_BI__Bulk_Pledge_Details","","","false","","","","","false","42330171863140963","LLC_BI__Loan_Collateral2__c"
"a0vWD00000B9jJRYAZ","false","SC-000022885","2026-04-07T19:06:45.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GSmi5YAD","1.01","Pledge_Collateral_Override","","","false","","","","","false","42337201555641886","LLC_BI__Loan_Collateral2__c"
"a0vWD00000B9kj8YAB","false","SC-000024532","2026-04-07T19:28:44.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GTAOwYAP","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","42347400432200154","LLC_BI__Collateral__c"
"a0vWD00000B9jIxYAJ","false","SC-000022855","2026-04-07T19:06:45.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GSc2UYAT","1.01","LLC_BI__Pledge_Details","","","false","","","Pledge Details","","false","42355610245990104","LLC_BI__Loan_Collateral2__c"
"a0vWD00000B9ldrYAB","false","SC-000028032","2026-04-07T19:29:14.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GT8ZpYAL","2.03","Review_Pg_3508_AND_3508EZ","","0.0","false","a0vWD00000B9krDYAR","Forgiveness_Applicant__r","","","false","42361834015813239","Contact"
"a0vWD00000B9jJSYAZ","false","SC-000022886","2026-04-07T19:06:45.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GSc2bYAD","1.01","Collateral_Valuation_Possessory_Other","","","false","","","","","false","42363487651419849","LLC_BI__Collateral__c"
"a0vWD00000B9kT5YAJ","false","SC-000023637","2026-04-07T19:28:42.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GSLXfYAP","1.01","LLC_BI__Collateral_Valuation","","","false","","","Collateral Valuation","","false","42364688705520906","LLC_BI__Collateral__c"
"a0vWD00000B9kjTYAR","false","SC-000024553","2026-04-07T19:28:44.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GSLXfYAP","1.01","SBL_Possessory_Collateral_Valuation","","","false","","","Collateral Valuation","","false","423646887055209061","LLC_BI__Collateral__c"
"a0vWD00000B9jIyYAJ","false","SC-000022856","2026-04-07T19:06:45.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GSc2VYAT","1.01","LLC_BI__Collateral_Modal_Details","","","false","","","Details","","false","42371294895782016","LLC_BI__Loan_Collateral2__c"
"a0vWD00000B9jJTYAZ","false","SC-000022887","2026-04-07T19:06:45.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GSmi3YAD","1.01","Collateral_Valuation_Possessory_Securiti","","","false","","","","","false","42421085554246174","LLC_BI__Collateral__c"
"a0vWD00000B9kkaYAB","false","SC-000024622","2026-04-07T19:28:44.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GTAaFYAX","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","42427045306494469","LLC_BI__Collateral__c"
"a0vWD00000B9jJUYAZ","false","SC-000022888","2026-04-07T19:06:45.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GSmilYAD","1.01","Pledge_Collateral_Override","","","false","","","","","false","42447816184090719","LLC_BI__Loan_Collateral2__c"
"a0vWD00000B9jJVYAZ","false","SC-000022889","2026-04-07T19:06:45.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GSmibYAD","1.01","Pledge_Collateral_Override","","","false","","","","","false","42448435503936976","LLC_BI__Loan_Collateral2__c"
"a0vWD00000B9jJWYAZ","false","SC-000022890","2026-04-07T19:06:45.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GSmj4YAD","1.01","Collateral_Valuation_Possessory_Life_Ins","","","false","","","","","false","42465023372126474","LLC_BI__Collateral__c"
"a0vWD00000B9jJXYAZ","false","SC-000022891","2026-04-07T19:06:45.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GSc2ZYAT","1.01","Collateral_Valuation_Possessory_Life_Ins","","","false","","","","","false","42470968501031010","LLC_BI__Collateral__c"
"a0vWD00000B9jJYYAZ","false","SC-000022892","2026-04-07T19:06:45.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GSmifYAD","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","42479158610944088","LLC_BI__Collateral__c"
"a0vWD00000B9klfYAB","false","SC-000024689","2026-04-07T19:28:44.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GTAYVYA5","1.01","LLC_BI__Bulk_Pledge_Details","","","false","","","","","false","42495251835477137","LLC_BI__Loan_Collateral2__c"
"a0vWD00000B9jJZYAZ","false","SC-000022893","2026-04-07T19:06:45.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GSc2iYAD","1.01","Pledge_Collateral_Override","","","false","","","","","false","42514632499443989","LLC_BI__Loan_Collateral2__c"
"a0vWD00000B9jJaYAJ","false","SC-000022894","2026-04-07T19:06:45.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GSmiYYAT","1.01","Pledge_Collateral_Override","","","false","","","","","false","42518378832469762","LLC_BI__Loan_Collateral2__c"
"a0vWD00000B9jJbYAJ","false","SC-000022895","2026-04-07T19:06:45.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GSmj3YAD","1.01","Pledge_Collateral_Override","","","false","","","","","false","42543695293611438","LLC_BI__Loan_Collateral2__c"
"a0vWD00000B9kmeYAB","false","SC-000024750","2026-04-07T19:28:44.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GTAHRYA5","1.01","LLC_BI__Collateral_Valuation","","","false","","","Collateral Valuation","","false","42544900771167327","LLC_BI__Collateral__c"
"a0vWD00000B9jJcYAJ","false","SC-000022896","2026-04-07T19:06:45.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GSc2dYAD","1.01","Pledge_Collateral_Override","","","false","","","","","false","42551707286406201","LLC_BI__Loan_Collateral2__c"
"a0vWD00000B9kmyYAB","false","SC-000024770","2026-04-07T19:28:44.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GTAFaYAP","1.01","LLC_BI__Valuation_Other_Details","","","false","","","Collateral Valuation","","false","42559676402290369","LLC_BI__Collateral__c"
"a0vWD00000B9jJdYAJ","false","SC-000022897","2026-04-07T19:06:45.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GSminYAD","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","42559918086928431","LLC_BI__Collateral__c"
"a0vWD00000B9jJeYAJ","false","SC-000022898","2026-04-07T19:06:45.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GSmiaYAD","1.01","Collateral_Valuation_Possessory_CD","","0.0","false","","","Collateral Valuation","","false","42560392455613806","LLC_BI__Collateral__c"
"a0vWD00000B9jJfYAJ","false","SC-000022899","2026-04-07T19:06:45.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GSmi9YAD","1.01","Pledge_Collateral_Override","","","false","","","","","false","42562576321254457","LLC_BI__Loan_Collateral2__c"
