"Id","IsDeleted","Name","nFORCE__Screen_Section__c","nFORCE__Display_Order__c","nFORCE__Field_Set_Key__c","nFORCE__Filter_Criteria__c","nFORCE__Layout__c","nFORCE__Limit__c","nFORCE__Offset_By_Limit__c","nFORCE__Parent_Configuration__c","nFORCE__Parent_Relationship_Name__c","nFORCE__Section_Header__c","nFORCE__Sort_Criteria__c","nFORCE__Unique__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c"
"a0vWE00000FWswXYAT","false","SC-000022252","a0qWE00000UNVwmYAH","3.01","LLC_BI__UI_Product_Summary","","a0bWE000001bbGqYAI","0.0","false","a0vWE00000FSN32YAH","LLC_BI__Treasury_Services__r","","","false","1012","LLC_BI__Treasury_Service__c"
"a0vWE00000FWt0BYAT","false","SC-000021984","a0qWE00000USgmkYAD","1.01","UI_Relationship_Details","","","","false","","","","","false","1013","Account"
"a0vWE00000FWt0CYAT","false","SC-000021985","a0qWE00000USgmaYAD","1.01","UI_Relationship_Exposure","","","","false","","","","","false","1014","Account"
"a0vWE00000FWt4NYAT","false","SC-000022144","a0qWE00000USgneYAD","0.0","LLC_BI__Enhanced_Fee_Loan_Aggregate_Summary","","","","false","","","","","false","10181640791248839","LLC_BI__Fee_Loan_Aggregate__c"
"a0vWE00000FSN45YAH","false","SC-000021916","a0qWE00000UNVzmYAH","2.01","UI_Loan_Loan_Team_Members","","","","false","a0vWE00000FSMSbYAP","LLC_BI__Loan_Teams__r","","","false","10221619447516055","LLC_BI__LoanTeam__c"
"a0vWE00000FWt0DYAT","false","SC-000021986","a0qWE00000USgn0YAD","1.01","","","","","false","","","","","false","1023","Account"
"a0vWE00000FWswYYAT","false","SC-000022253","a0qWE00000USgn0YAD","2.01","UI_Member_Services","","","","false","a0vWE00000FWt0DYAT","Member_Services__r","","","false","1024","Member_Service__c"
"a0vWE00000FWt0EYAT","false","SC-000021987","a0qWE00000USgmuYAD","1.01","","","","","false","","","","","false","1025","Account"
"a0vWE00000FWswZYAT","false","SC-000022254","a0qWE00000USgmuYAD","2.01","UI_Risk_Rating_Reviews","","","","false","a0vWE00000FWt0EYAT","LLC_BI__Annual_Review__r","","","false","1026","LLC_BI__Annual_Review__c"
"a0vWE00000FWt0FYAT","false","SC-000021988","a0qWE00000USgmSYAT","1.01","","","","","false","","","","","false","1027","Account"
"a0vWE00000FSMDqYAP","false","SC-000020177","a0qWE00000UNVjYYAX","1.01","SBL_OA_Credit_Check","","a0bWE000001bbIpYAI","0.0","false","","","","","false","10271666029078212","LLC_BI__Loan__c"
"a0vWE00000FWswaYAD","false","SC-000022255","a0qWE00000USgmSYAT","2.01","UI_Collateral_Owned","","","","false","a0vWE00000FWt0FYAT","LLC_BI__Account_Collateral__r","","","false","1028","LLC_BI__Account_Collateral__c"
"a0vWE00000FWt0GYAT","false","SC-000021989","a0qWE00000USgmdYAD","0.0","LLC_BI__UI_Loan_Summary","","","","false","","","Loan Information","","false","1029","LLC_BI__Loan__c"
"a0vWE00000FWt0HYAT","false","SC-000021990","a0qWE00000USgn3YAD","1.0","","","","","false","","","Tasks","","false","1030","LLC_BI__Loan__c"
"a0vWE00000FWswbYAD","false","SC-000022256","a0qWE00000USgn3YAD","2.0","LLC_BI__UI_Tasks","","","","false","a0vWE00000FWt0HYAT","Tasks","Tasks","","false","1031","Task"
"a0vWE00000FWt0IYAT","false","SC-000021991","a0qWE00000USgmeYAD","0.0","LLC_BI__UI_Loan_Information","","","","false","","","Loan Information","","false","1032","LLC_BI__Loan__c"
