"Id","IsDeleted","Name","nFORCE__Screen__c","nFORCE__Break_Page_After__c","nFORCE__Break_Page_Before__c","nFORCE__Default_Editable__c","nFORCE__Default_Rendered__c","nFORCE__Disable_Print__c","nFORCE__Display_Order__c","nFORCE__Display_Toggle_Effect__c","nFORCE__Display_Toggle_Header__c","nFORCE__Display_Toggle_Link__c","nFORCE__Headless__c","nFORCE__Inactive__c","nFORCE__Instructions_Text__c","nFORCE__Is_Editable__c","nFORCE__Layout__c","nFORCE__Screen_View__c","nFORCE__Section_Resource__c","nFORCE__Widget__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Display_Input_Address_Component__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Parent_Screen_Section__c","nFORCE__Number_of_Columns__c","Custom_Code_in_Screen_Section__c","nFORCE__Are_Columns_Sortable__c","nFORCE__Auto_Save__c","nFORCE__Validation_Service__c","nFORCE__Optional_Configuration__c","nPortal__Portal_Header_Text__c","nPortal__Portal_Subheader_Text__c","LastViewedDate","LastReferencedDate"
"a2Fbn000000CzGmEAK","","Manual Underwriting","a2Gbn000000kG3jEAE","false","false","true","false","false","10.0","slide","true","false","false","false","","true","","a2Ibn000000NRBDEA4","MappedSObjectScreenResource","","15091663700625423","LLC_BI__Loan__c","false","false","","","","","false","false","","","","","",""
"a2Fbn000000CzG8EAK","","UI Collateral Record Schedule","a2Gbn000000kG3PEAU","false","false","true","true","false","10.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","15161640791248100","LLC_BI__Loan_Collateral2__c","false","false","","","","","false","false","","","","","",""
"a2Fbn000000C3jeEAC","","Editable Fields","a2Gbn000000hcgUEAQ","false","false","true","true","false","","slide","true","false","false","false","","true","","a2Ibn000000M69bEAC","MappedSObjectScreenResource","","15201619447515181","LLC_BI__Loan__c","false","false","","","","","false","false","","","","","",""
"a2Fbn000000C3kFEAS","","Budget Details","a2Gbn000000hcgvEAA","false","false","true","true","false","1.0","slide","true","false","false","false","","true","","a2Ibn000000M69pEAC","MappedSObjectScreenResource","","15241620937672168","LLC_BI__Loan__c","false","false","","","","","false","false","","","","","",""
"a2Fbn000000C3cpEAC","","Loan Details","a2Gbn000000hcfTEAQ","false","false","false","true","false","0.0","slide","true","false","false","false","","false","","","MappedSObjectScreenResource","","15271585604341050","LLC_BI__Loan__c","false","false","","","","","false","false","","","","","",""
"a2Fbn000000CzHCEA0","","Connection for Others Involved MRF","a2Gbn000000kG3tEAE","false","false","false","false","false","2.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","16441666029075350","LLC_BI__Connection__c","false","false","","","","","false","false","","","","","",""
"a2Fbn000000CzGOEA0","","Next Steps","a2Gbn000000kG3VEAU","false","false","true","false","false","10.0","slide","true","false","false","false","","true","","a2Ibn000000NRB2EAO","MappedSObjectScreenResource","","16581640791248106","LLC_BI__Loan__c","false","false","","","","","false","false","","","","","",""
"a2Fbn000000C3jYEAS","","Budget Details","a2Gbn000000hcgMEAQ","false","false","true","true","false","1.0","slide","true","false","false","false","","true","","a2Ibn000000M69aEAC","MappedSObjectScreenResource","","18181619447515179","LLC_BI__Loan__c","false","false","","","","","false","false","","","","","",""
"a2Fbn000000C3YIEA0","","UI Related Pledged Collateral Schedule","a2Gbn000000hcdbEAA","false","false","false","false","false","","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","18431563816286645","LLC_BI__Loan_Collateral2__c","false","false","","","","","false","false","","","","","",""
"a2Fbn000000C3jpEAC","","Pricing Fields Required","a2Gbn000000hcgZEAQ","false","false","false","true","false","1.0","slide","true","false","false","false","","false","","a2Ibn000000M69jEAC","MappedSObjectScreenResource","","18731620937672157","LLC_BI__Loan__c","false","false","","","","","false","false","","","","","",""
"a2Fbn000000C3jwEAC","","Change Memo","a2Gbn000000hcgcEAA","false","false","false","true","false","0.0","slide","true","false","false","false","","false","","","MappedSObjectHierarchyScreenResource","","19051620937672160","LLC_BI__Loan__c","false","false","","","","","false","false","","","","","",""
"a2Fbn000000C3hFEAS","","Editable","a2Gbn000000hcdkEAA","false","false","true","true","false","2.0","slide","true","false","false","false","","true","","a2Ibn000000M68wEAC","MappedSObjectScreenResource","","19341585604341051","LLC_BI__Loan__c","false","false","","","","","false","false","","","","","",""
"a2Fbn000000DvSJEA0","","DEP Primary Identification - Business Application - co-owner","a2Gbn000000mZAKEA2","false","false","false","false","false","1900.0","slide","true","false","false","false","","true","","a2Ibn000000OjsCEAS","MappedSObjectScreenResource","","20271598553323930","Contact","false","false","","","","","false","false","","","Primary ID Details","Please enter or confirm your Primary ID information","",""
"a2Fbn000000CzGzEAK","","SBL Existing Customer? Hidden (Primary Applicant)","a2Gbn000000kG3oEAE","false","false","true","false","false","0.0","slide","true","false","false","false","","true","","a2Ibn000000NRBMEA4","MappedSObjectScreenResource","","20971666029075341","Contact","false","false","","","","","false","false","","","","","",""
