"Id","OwnerId","IsDeleted","Name","nFORCE__Disable_Print__c","nFORCE__Show_Link_To_Context_Object__c","nFORCE__lookupKey__c","nFORCE__Disable_Read_Only_View__c","nPortal__Add_Multi_Record_Display_Icon__c","nPortal__Maximum_Number_of_Records__c","nPortal__Minimum_Number_of_Records__c","nPortal__OA_Review_Multiple_Record_Entry_Label__c"
"a2Gbn000000hcd5EAA","005bn000003kBWnAAM","","Application Details","false","true","42393241259581911","false","","","",""
"a2Gbn000000hcdZEAQ","005bn000003k2JdAAI","","SBL Personal (Individual Other Involved)","false","true","42395526772715632","false","","","",""
"a2Gbn000000hccjEAA","005bn000003k2JdAAI","","Referral","false","true","42410404119994869","false","","","",""
"a2Gbn000000hcdBEAQ","005bn000003k2JdAAI","","Third Party Management","false","true","42411851997942573","false","","","",""
"a2Gbn000000hcdTEAQ","005bn000003k2JdAAI","","Secured SBL Eligibility","false","true","42415980332756543","false","","","",""
"a2Gbn000000hcdFEAQ","005bn000003kBWnAAM","","Application Details","false","true","42416387574958178","false","","","",""
"a2Gbn000000hcfoEAA","005bn000003k2JdAAI","","Draw History Screen","false","true","42419863457011593","false","","","",""
"a2Gbn000000hcctEAA","005bn000003k2JdAAI","","Change Memo","false","true","42432836327202375","false","","","",""
"a2Gbn000000hcfaEAA","005bn000003k2JdAAI","","Budget Details","false","true","42438936865131651","false","","","",""
"a2Gbn000000hchBEAQ","005bn000003k2JdAAI","","Copy Loan","false","true","42443303677598944","false","","","",""
"a2Gbn000000mZWXEA2","005bn000003k2JdAAI","","Add Others Involved MRF","false","true","42443957461984030","false","","","",""
"a2Gbn000000hcdtEAA","005bn000003k2JdAAI","","Payment Structure","false","true","42448651673900408","false","","","",""
"a2Gbn000000hccTEAQ","005bn000003k2JdAAI","","Row Edit All Loan Facilities","false","true","42453423598343751","false","","","",""
"a2Gbn000000hcfgEAA","005bn000003k2JdAAI","","Memo Details","false","true","42453478693303001","false","","","",""
"a2Gbn000000kG44EAE","005bn000003k2JdAAI","","Rate & Payment Structure","false","true","42454304015867314","false","","","",""
"a2Gbn000000hccyEAA","005bn000003k2JdAAI","","Product Package Collateral2","false","true","42456617561636458","false","","","",""
"a2Gbn000000hcePEAQ","005bn000003k2JdAAI","","Deposit Products","false","true","42464191242067167","false","","","",""
"a2Gbn000000hccfEAA","005bn000003k2JdAAI","","Loan Details","false","true","42477760115293706","false","","","",""
"a2Gbn000000hcfdEAA","005bn000003k2JdAAI","","Entity Compliance Screen","false","true","42484621918140548","false","","","",""
"a2Gbn000000kG43EAE","005bn000003k2JdAAI","","Income/Debt/Asset","false","true","42495888365913731","false","","","",""
"a2Gbn000000hcckEAA","005bn000003k2JdAAI","","Balance Details","false","true","42506447999100246","false","","","",""
"a2Gbn000000hceREAQ","005bn000003k2JdAAI","","CRA Screen","false","true","42508794583138413","false","","","",""
"a2Gbn000000hcdUEAQ","005bn000003k2JdAAI","","Secured SBL Business Info","false","true","42509691136301749","false","","","",""
"a2Gbn000000hccLEAQ","005bn000003k2JdAAI","","Available Screen Sections","false","true","42518046726897075","false","","","",""
"a2Gbn000000hcbVEAQ","005bn000003k2JdAAI","","Enhanced Fees Management","false","true","42519280233404703","false","","","",""
"a2Gbn000000hcd2EAA","005bn000003kBWnAAM","","Underwriting Details","false","true","42520577919445796","false","","","",""
"a2Gbn000000mZAFEA2","005bn000003k2JdAAI","","DEP Business Info","false","true","42521926955999322","false","","","",""
"a2Gbn000000hcdsEAA","005bn000003k2JdAAI","","Rate Structure","false","true","42558854118324394","false","","","",""
