"Id","OwnerId","IsDeleted","Name","LLC_BI__Description__c","LLC_BI__End_Date__c","LLC_BI__Has_Period_Grouping__c","LLC_BI__Is_Consolidation__c","LLC_BI__Is_Disabled__c","LLC_BI__Is_Template__c","LLC_BI__Migration_Target__c","LLC_BI__Object_API_Name__c","LLC_BI__Selected_Scale__c","LLC_BI__Show_Footnotes__c","LLC_BI__Source_Template__c","LLC_BI__Start_Date__c","LLC_BI__Version__c","LLC_BI__lookupKey__c"
"a5VWD000000HB7t2AG","005al00000RVcKvAAL","false","a5VWD000000HB7t","","","false","false","false","true","","","mm","true","","","","42011146629297204"
"a5VWD000000HAiY2AW","005al00000RVcKvAAL","false","a5VWD000000HAiY","","","false","false","false","true","","","mm","false","","","","42011343213206075"
"a5VWD000000HAcU2AW","005al00000RVcKvAAL","false","a5VWD000000HAcU","","","false","false","false","true","","","m","false","","","","42011610628511671"
"a5VWD000000HAs02AG","005al00000RVcKvAAL","false","a5VWD000000HAs0","","","false","false","false","true","","","$","true","","","","42012111771742192"
"a5VWD000000HB1f2AG","005al00000RVcKvAAL","false","a5VWD000000HB1f","","","false","false","false","true","","","m","false","","","","42012291762922417"
"a5VWD000000HBBy2AO","005al00000RVcKvAAL","false","a5VWD000000HBBy","","","false","false","false","true","","","$","false","","","","42012764086101006"
"a5VWD000000HAh32AG","005al00000RVcKvAAL","false","a5VWD000000HAh3","","","false","false","false","true","","","m","false","","","","42012779192795609"
"a5VWD000000HAwb2AG","005al00000RVcKvAAL","false","a5VWD000000HAwb","","","false","false","false","true","","","mm","false","","","","42013128768890334"
"a5VWD000000HAyM2AW","005al00000RVcKvAAL","false","a5VWD000000HAyM","","","false","false","false","true","","","mm","false","","","","42013221483771647"
"a5VWD000000HAnf2AG","005al00000RVcKvAAL","false","a5VWD000000HAnf","","","false","false","false","true","","","m","true","","","","42013289733894690"
"a5VWD000000HBFT2A4","005al00000RVcKvAAL","false","a5VWD000000HBFT","","","false","false","false","true","","","mm","false","","","","42013480299386350"
"a5VWD000000HAc52AG","005al00000RVcKvAAL","false","a5VWD000000HAc5","","","false","false","false","true","","","m","true","","","","42013899385445366"
"a5VWD000000HAwr2AG","005al00000RVcKvAAL","false","a5VWD000000HAwr","","","false","false","false","true","","","mm","false","","","","42014499647582497"
"a5VWD000000HAbP2AW","005al00000RVcKvAAL","false","a5VWD000000HAbP","","","false","false","false","true","","","mm","false","","","","42015217628214125"
"a5VWD000000HAah2AG","005al00000RVcKvAAL","false","a5VWD000000HAah","","","false","false","false","true","","","m","true","","","","42015459877435211"
"a5VWD000000HAzW2AW","005al00000RVcKvAAL","false","a5VWD000000HAzW","","","false","false","false","true","","","m","true","","","","42015560306731771"
"a5VWD000000HAxZ2AW","005al00000RVcKvAAL","false","a5VWD000000HAxZ","","","false","false","false","true","","","m","true","","","","42015665835797345"
"a5VWD000000HB7L2AW","005al00000RVcKvAAL","false","a5VWD000000HB7L","","","false","false","false","true","","","mm","true","","","","42015679710853962"
"a5VWD000000HAbB2AW","005al00000RVcKvAAL","false","a5VWD000000HAbB","","","false","false","false","true","","","m","false","","","","42015913344392529"
"a5VWD000000HAa72AG","005al00000RVcKvAAL","false","a5VWD000000HAa7","","","false","false","false","true","","","mm","true","","","","42015935609280415"
"a5VWD000000HAmF2AW","005al00000RVcKvAAL","false","a5VWD000000HAmF","","","false","false","false","true","","","$","false","","","","42016030667092862"
"a5VWD000000HB3u2AG","005al00000RVcKvAAL","false","a5VWD000000HB3u","","","false","false","false","true","","","m","false","","","","42017426125790595"
"a5VWD000000HAvy2AG","005al00000RVcKvAAL","false","a5VWD000000HAvy","","","false","false","false","true","","","m","true","","","","42018487998212979"
"a5VWD000000HAu22AG","005al00000RVcKvAAL","false","a5VWD000000HAu2","","","false","false","false","true","","","m","false","","","","42018775926859087"
"a5VWD000000HB4C2AW","005al00000RVcKvAAL","false","a5VWD000000HB4C","","","false","false","false","true","","","$","false","","","","42019472284054578"
"a5VWD000000HAq32AG","005al00000RVcKvAAL","false","a5VWD000000HAq3","","","false","false","false","true","","","mm","true","","","","42019882677219451"
"a5VWD000000HAYS2A4","005al00000RVcKvAAL","false","a5VWD000000HAYS","","","false","false","false","true","","","mm","false","","","","42020156985337167"
"a5VWD000000HAyF2AW","005al00000RVcKvAAL","false","a5VWD000000HAyF","","","false","false","false","true","","","mm","true","","","","42021221414167269"
"a5VWD000000HB2C2AW","005al00000RVcKvAAL","false","a5VWD000000HB2C","","","false","false","false","true","","","mm","true","","","","42021598190561014"
"a5VWD000000HB8j2AG","005al00000RVcKvAAL","false","a5VWD000000HB8j","","","false","false","false","true","","","$","false","","","","42021742704058041"
"a5VWD000000HAll2AG","005al00000RVcKvAAL","false","a5VWD000000HAll","","","false","false","false","true","","","m","false","","","","42022000934850704"
"a5VWD000000HArA2AW","005al00000RVcKvAAL","false","a5VWD000000HArA","","","false","false","false","true","","","mm","true","","","","42022125408755236"
