"Id","OwnerId","IsDeleted","Name","nFORCE__Address_Part__c","nFORCE__Alternate_Label__c","nFORCE__Autocomplete_Attribute_Value__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Value__c","nFORCE__Defined_Picklist_Values__c","nFORCE__Field_Hint__c","nFORCE__Field_Name__c","nFORCE__Filter_Criteria__c","nFORCE__Filter_Display_Name__c","nFORCE__Format_Description__c","nFORCE__Format_Enabled__c","nFORCE__Format_Expression__c","nFORCE__Format_Message__c","nFORCE__Is_Active__c","nFORCE__Is_Conditional_Lookup__c","nFORCE__Is_Editable__c","nFORCE__Is_Filter_Active__c","nFORCE__Is_Header__c","nFORCE__Is_Hidden__c","nFORCE__Is_Important__c","nFORCE__Is_Read_Only__c","nFORCE__Is_Required__c","nFORCE__Output_Expression__c","nFORCE__SLDS_Column_Size__c","nFORCE__Screen_Section__c","nFORCE__Tooltip_Contents__c","nFORCE__Tooltip_Enabled__c","nFORCE__Tooltip_Text__c","nFORCE__lookupKey__c","nFORCE__sObject_Name__c"
"a0SWD000002Fmll2AC","005al00000RVcKvAAL","false","FC-002476","","","","","Booked","","","LLC_BI__Stage__c","","Stages to Display","","false","","","false","false","false","false","false","false","false","false","false","","","a0qWD00000JHNM5YAP","","false","","42376372932960978","LLC_BI__Loan__c"
"a0SWD000002KEnP2AW","005al00000RVcKvAAL","false","FC-002512","","","","","","","","Id","","","","false","","","false","false","false","false","false","true","false","false","false","","","a0qWD00000JuRsnYAF","","false","","42380993084780076","LLC_BI__Funding_Method__c"
"a0SWD000002FmWN2A0","005al00000RVcKvAAL","false","FC-001522","","Doing Business As","","","","","","LLC_BI__Doing_Business_As__r.Name","","","","false","","","false","false","false","false","false","false","false","false","false","","","a0qWD00000JHNQ9YAP","","false","","42390200293455371","LLC_BI__Legal_Entities__c"
"a0SWD000002Fmdp2AC","005al00000RVcKvAAL","false","FC-001984","","","","","{{artifact}}","","","LLC_BI__Loan__c","","","","false","","","false","false","false","false","false","true","false","false","false","","","a0qWD00000JHNAwYAP","","false","","42406135566526985","LLC_BI__Income__c"
"a0SWD000002Fmdq2AC","005al00000RVcKvAAL","false","FC-001985","","","","","{{artifact}}","","","LLC_BI__Loan__c","","","","false","","","false","false","false","false","false","true","false","false","false","","","a0qWD00000JHNC7YAP","","false","","424061355665269857","LLC_BI__Income__c"
"a0SWD000002KEyy2AG","005al00000RVcKvAAL","false","FC-002552","","Registered Address City","","","","","","SIOC__Address1Line3__c","","","","false","","","false","false","false","false","false","false","false","false","false","","","a0qWD00000JuTQwYAN","","false","","42406864355586048","SIOC__CompanyInfo__c"
"a0SWD000002KEnQ2AW","005al00000RVcKvAAL","false","FC-002513","","Business Name","","","Name not found","","","Name","","","","false","","","false","false","false","false","false","false","false","false","false","","","a0qWD00000JuRtYYAV","","false","","42436853103237874","SIOC__CompanyInfo__c"
"a0SWD000002Fmlr2AC","005al00000RVcKvAAL","false","FC-002482","","","","","","","","Reg_W_Reportable__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHNMaYAP","","false","","42439432218952761","LLC_BI__Loan__c"
"a0SWD000002Fmls2AC","005al00000RVcKvAAL","false","FC-002483","","","","","","","","HVCRE_Reportable__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHNMaYAP","","false","","42459782925464031","LLC_BI__Loan__c"
"a0SWD000002Fmk92AC","005al00000RVcKvAAL","false","FC-002376","","","","","","","","LOB_Lost_Reason__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHNDsYAP","","false","","42467098173463753","LLC_BI__Loan__c"
"a0SWD000002FmkA2AS","005al00000RVcKvAAL","false","FC-002377","","","","","","","","LLC_BI__Stage__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHNEGYA5","","false","","42477918162078543","LLC_BI__Loan__c"
"a0SWD000002KEyz2AG","005al00000RVcKvAAL","false","FC-002553","","Doing Business As","","","","","","LLC_BI__Doing_Business_As__r.Name","","","","false","","","false","false","false","false","false","false","false","false","false","","","a0qWD00000JuTCwYAN","","false","","42481271991669935","LLC_BI__Legal_Entities__c"
"a0SWD000002Fmlt2AC","005al00000RVcKvAAL","false","FC-002484","","","","","","","","LLC_BI__Reg_O_Loan__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JuUMpYAN","","false","","42483214359257826","LLC_BI__Loan__c"
"a0SWD000002FmkB2AS","005al00000RVcKvAAL","false","FC-002378","","","","","","","","Most_Recent_Approval_Date__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHNHoYAP","","false","","42495218474638721","LLC_BI__Product_Package__c"
