"Id","OwnerId","IsDeleted","Name","nFORCE__Data__c","nFORCE__Icon__c","nFORCE__Parameters__c","nFORCE__Script_Resource_Eight__c","nFORCE__Script_Resource_Eleven__c","nFORCE__Script_Resource_Fifteen__c","nFORCE__Script_Resource_Five__c","nFORCE__Script_Resource_Four__c","nFORCE__Script_Resource_Fourteen__c","nFORCE__Script_Resource_Nine__c","nFORCE__Script_Resource_One__c","nFORCE__Script_Resource_Seven__c","nFORCE__Script_Resource_Six__c","nFORCE__Script_Resource_Ten__c","nFORCE__Script_Resource_Thirteen__c","nFORCE__Script_Resource_Three__c","nFORCE__Script_Resource_Twelve__c","nFORCE__Script_Resource_Two__c","nFORCE__Stylesheet_Resource_Eight__c","nFORCE__Stylesheet_Resource_Five__c","nFORCE__Stylesheet_Resource_Four__c","nFORCE__Stylesheet_Resource_Nine__c","nFORCE__Stylesheet_Resource_One__c","nFORCE__Stylesheet_Resource_Seven__c","nFORCE__Stylesheet_Resource_Six__c","nFORCE__Stylesheet_Resource_Ten__c","nFORCE__Stylesheet_Resource_Three__c","nFORCE__Stylesheet_Resource_Two__c","nFORCE__Type__c","nFORCE__View__c","nFORCE__lookupKey__c","nFORCE__Is_Angular__c","nFORCE__Is_Knockout__c","nFORCE__Is_Narrative__c"
"a17WD0000GYH7vEYQT","005al00000RVcKvAAL","false","Risk_Grade_Worksheet","","","readOnly:true;","","","","","","","","LLC_BI__risk_grade_worksheet_app","","","","","LLC_BI__risk_grade_worksheet_viewModel","","LLC_BI__risk_grade_models","","","","","LLC_BI__risk_grade_worksheet_css","","","","","","Knockout","&lt;div data-bind=&quot;template: {name: &#39;riskGradeWorksheet-template&#39;}&quot; /&gt;","42038913078336659","false","true","false"
"a17WD0000GYH7vFYQT","005al00000RVcKvAAL","false","LifeCycle.Spread_Base","","","filterSpreadsByLoanId:true","","","","","","","","","","","","","","","","","","","","","","","","","","Knockout","","42040829916412133","false","true","false"
"a17WD0000GYH7vGYQT","005al00000RVcKvAAL","false","LifeCycle.Rate_Structure_Summary","","","debug:true;group:loan;route:rate-structure","","","","","","","","LLC_BI__rate_structure_summary_app","","","","","nFORCE__screen_models","","LLC_BI__rate_structure_summary_viewModel","","","","","LLC_BI__payment_calculator_css","","","","","","Knockout","&lt;div data-bind=&quot;template: { name: &#39;rate_structure_summary&#39;}&quot;&gt;&lt;/div&gt;","42043654200079066","false","true","false"
"a17WD0000GYH7vHYQT","005al00000RVcKvAAL","false","LifeCycle.KO_Narrative","","","","","","","","","","","nFORCE__ko_narrative_app","","","","","nFORCE__ko_narrative_viewModel","","nFORCE__screen_models","","","","","","","","","","","Knockout","&lt;div data-bind=&quot;template: { name: &#39;narrative-template&#39; }&quot;&gt;&lt;/div&gt;","42043953148275438","false","true","true"
"a17WD0000GYH7vIYQT","005al00000RVcKvAAL","false","LifeCycle.Rate_Structure_Summary","","","debug:true;group:loan;route:rate-structure","","","","","","","","LLC_BI__rate_structure_summary_app","","","","","nFORCE__screen_models","","LLC_BI__rate_structure_summary_viewModel","","","","","LLC_BI__payment_calculator_css","","","","","","Knockout","&lt;div data-bind=&quot;template: { name: &#39;rate_structure_summary&#39;}&quot;&gt;&lt;/div&gt;","42046113043352469","false","true","false"
"a17WD0000GYH7vJYQT","005al00000RVcKvAAL","false","LifeCycle.KO_Narrative","A lender or anyone in the credit process with the need to do so can add their commentary/recommendations in this section with formatting options to help make the text as meaningful as they would like.     We need to do this deal!","","","","","","","","","","nFORCE__ko_narrative_app","","","","","nFORCE__ko_narrative_viewModel","","nFORCE__screen_models","","","","","","","","","","","Knockout","&lt;div data-bind=&quot;template: { name: &#39;narrative-template&#39; }&quot;&gt;&lt;/div&gt;","42046407686782042","false","true","true"
"a17WD0000GYEHuZYQX","005al00000RVcKvAAL","false","LifeCycle.KO_Narrative","","","","","","","","","","","nFORCE__ko_narrative_app","","","","","nFORCE__ko_narrative_viewModel","","nFORCE__screen_models","","","","","","","","","","","Knockout","&lt;div data-bind=&quot;template: { name: &#39;narrative-template&#39; }&quot;&gt;&lt;/div&gt;","42046756365031767","false","true","true"
"a17WD0000GYEHuaYQH","005al00000RVcKvAAL","false","LifeCycle.KO_Narrative","","","","","","","","","","","nFORCE__ko_narrative_app","","","","","nFORCE__ko_narrative_viewModel","","nFORCE__screen_models","","","","","","","","","","","Knockout","&lt;div data-bind=&quot;template: { name: &#39;narrative-template&#39; }&quot;&gt;&lt;/div&gt;","42047069549145718","false","true","true"
"a17WD0000GYH7vKYQT","005al00000RVcKvAAL","false","LifeCycle.KO_Narrative","","","","","","","","","","","nFORCE__ko_narrative_app","","","","","nFORCE__ko_narrative_viewModel","","nFORCE__screen_models","","","","","","","","","","","Knockout","&lt;div data-bind=&quot;template: { name: &#39;narrative-template&#39; }&quot;&gt;&lt;/div&gt;","42047302135065194","false","true","true"
"a17WD0000GYEHubYQH","005al00000RVcKvAAL","false","Risk_Grade_Worksheet","","","readOnly:true;","","","","","","","","LLC_BI__risk_grade_worksheet_app","","","","","LLC_BI__risk_grade_worksheet_viewModel","","LLC_BI__risk_grade_models","","","","","LLC_BI__risk_grade_worksheet_css","","","","","","Knockout","&lt;div data-bind=&quot;template: {name: &#39;riskGradeWorksheet-template&#39;}&quot; /&gt;","42048009888301711","false","true","false"
