"Id","IsDeleted","Name","nFORCE__Screen_Section__c","nFORCE__Display_Order__c","nFORCE__Field_Set_Key__c","nFORCE__Filter_Criteria__c","nFORCE__Layout__c","nFORCE__Limit__c","nFORCE__Offset_By_Limit__c","nFORCE__Parent_Configuration__c","nFORCE__Parent_Relationship_Name__c","nFORCE__Section_Header__c","nFORCE__Sort_Criteria__c","nFORCE__Unique__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c"
"a0vWD00000E3FrNYAV","false","SC-000026269","a0qWD00000JuTbzYAF","0.0","nRetail__Asset_Schedule","","","","false","","","Asset Schedule","","false","04771600720341875","nRetail__Asset__c"
"a0vWD00000E3DaMYAV","false","SC-000022392","a0qWD00000JuRvsYAF","0.0","LLC_BI__Add_Income","","","","false","","","Add Income","","false","05061640791248842","LLC_BI__Income__c"
"a0vWD00000E3FrOYAV","false","SC-000026270","a0qWD00000JuTeIYAV","0.0","LLC_BI__UI_CRA_Action_Taken","","","","false","","","Action Taken","","false","05401575395466377","LLC_BI__Loan__c"
"a0vWD00000E3FlhYAF","false","SC-000025917","a0qWD00000JuTdbYAF","2.0","LLC_BI__Syndication_Summary","","","","false","a0vWD00000E3Fs7YAF","LLC_BI__Participations__r","participation records","","false","05631585311472179","LLC_BI__Participation__c"
"a0vWD00000CzUbEYAV","false","SC-000020217","a0qWD00000JHNBpYAP","0.0","LLC_BI__UI_CRA_Action_Taken","","","","false","","","Action Taken","","false","05651585311472159","LLC_BI__Loan__c"
"a0vWD00000CzUvEYAV","false","SC-000021427","a0qWD00000JHN49YAH","2.0","LLC_BI__UI_HMDA_Demographic_Questions","","","","false","a0vWD00000CzUaWYAV","LLC_BI__Legal_Entities__r","HMDA","","false","05841620937672802","LLC_BI__Legal_Entities__c"
"a0vWD00000CzUbFYAV","false","SC-000020218","a0qWD00000JHN8zYAH","1.01","SBL_Eligibility_Loan","","","","false","","","","","false","05921666029078200","LLC_BI__Loan__c"
"a0vWD00000CzRT8YAN","false","SC-000022122","a0qWD00000JHNRcYAP","3.01","LLC_BI__UI_HMDA_Entity_Compliance_2018","","","","false","a0vWD00000CzV0tYAF","LLC_BI__Entity_Compliances__r","Entity Compliance","","false","06051619447516050","LLC_BI__Entity_Compliance__c"
"a0vWD00000E3DaNYAV","false","SC-000022393","a0qWD00000JuRw9YAF","1.01","OA_Address","","a0bWD000001HG0JYAW","0.0","false","","","","","false","06131641354326464","Contact"
"a0vWD00000E3FliYAF","false","SC-000025918","a0qWD00000JuTcCYAV","2.02","TS_Order_Entry_UI","","","0.0","false","a0vWD00000E3G62YAF","Equipment__r","","","false","06421576590314502","Equipment__c"
"a0vWD00000E3DaOYAV","false","SC-000022394","a0qWD00000JuRvrYAF","1.01","SBL_Exposure_Details","","a0bWD000001HFztYAG","0.0","false","","","","","false","06461640791248844","LLC_BI__Loan__c"
"a0vWD00000CzUbGYAV","false","SC-000020219","a0qWD00000JHN9VYAX","0.0","LLC_BI__Add_Income","","","","false","","","Add Income","","false","06621600720268231","LLC_BI__Income__c"
"a0vWD00000E3FrPYAV","false","SC-000026271","a0qWD00000JuTccYAF","1.01","","","","","false","","","","","false","067D2D70_3459_4578_A06B_114373202526","LLC_BI__Loan__c"
"a0vWD00000E3FljYAF","false","SC-000025919","a0qWD00000JuTdEYAV","2.02","TS_OE_Online_Wire","","","0.0","false","a0vWD00000E3FrkYAF","LLC_BI__Analyzed_Accounts__r","","","false","06821576590651584","LLC_BI__Analyzed_Account__c"
"a0vWD00000E3FlkYAF","false","SC-000025920","a0qWD00000JuTEmYAN","2.02","TS_OE_ACH_Positive_Pay","","","0.0","false","a0vWD00000E3FsMYAV","LLC_BI__Analyzed_Accounts__r","","","false","06841576590282816","LLC_BI__Analyzed_Account__c"
"a0vWD00000E3FrQYAV","false","SC-000026272","a0qWD00000JuTCcYAN","1.01","TS_OE_ACH_Positive_Pay","","","0.0","false","","","","","false","07031576590282815","LLC_BI__Treasury_Service__c"
"a0vWD00000E3FllYAF","false","SC-000025921","a0qWD00000JuTC7YAN","2.02","LLC_BI__UI_Beneficiary","","","","false","a0vWD00000E3G5rYAF","LLC_BI__Deposits__r","","","false","07275020_0102_4460_A051_2F3E5B5E7B5A","LLC_BI__Beneficiary__c"
"a0vWD00000CzUbHYAV","false","SC-000020220","a0qWD00000JHNC5YAP","1.01","","","","","false","","","Loan Relationship","","false","07361585311472189","LLC_BI__Loan__c"
"a0vWD00000CzUfdYAF","false","SC-000020490","a0qWD00000JHNEbYAP","1.01","","","a0bWD000001HHCZYA4","0.0","false","","","","","false","07691B0A7C6F4D2BA75D060F435A6C7D","LLC_BI__Loan__c"
"a0vWD00000CzUeaYAF","false","SC-000020425","a0qWD00000JHNDCYA5","1.01","","","a0bWD000001HG0FYAW","0.0","false","","","","","false","07901701790671951","LLC_BI__Deposit__c"
"a0vWD00000E3FrRYAV","false","SC-000026273","a0qWD00000JuTDGYA3","1.01","TS_OE_No_Check_Hold","","","0.0","false","","","","","false","07921576590611567","LLC_BI__Treasury_Service__c"
"a0vWD00000E3DaPYAV","false","SC-000022395","a0qWD00000JuRvIYAV","1.01","SBL_Manual_Underwriting","","a0bWD000001HGJ1YAO","0.0","false","","","","","false","07971640791248844","LLC_BI__Loan__c"
"a0vWD00000E3FrSYAV","false","SC-000026274","a0qWD00000JuTbaYAF","1.01","NPORTAL__RL_Personal_SSN","","","","false","","","","","false","08021602078251892","Contact"
"a0vWD00000CzUbIYAV","false","SC-000020221","a0qWD00000JHNBeYAP","1.01","RequiredLoanFieldsToCreateRateOrPayment","","","0.0","false","","","","","false","08241585311472167","LLC_BI__Loan__c"
"a0vWD00000E3FrTYAV","false","SC-000026275","a0qWD00000JuTCYYA3","1.01","TS_OE_Online_Wire","","","0.0","false","","","","","false","08271575853423007","LLC_BI__Treasury_Service__c"
"a0vWD00000CzUu5YAF","false","SC-000021386","a0qWD00000JHNRZYA5","0.0","LLC_BI__Payment_Component_Extended_Fields","","","","false","","","","","false","08271619447516047","LLC_BI__Pricing_Payment_Component__c"
"a0vWD00000CzUbJYAV","false","SC-000020222","a0qWD00000JHNBmYAP","0.0","LLC_BI__UI_CRA_Property_Location","","","","false","","","Property Location","","false","08661585311472160","LLC_BI__Loan__c"
"a0vWD00000CzUbKYAV","false","SC-000020223","a0qWD00000JHNB5YAP","1.01","SBL_Approver_2_Details","","a0bWD000001HFzvYAG","0.0","false","","","","","false","08911663700626421","LLC_BI__Loan__c"
"a0vWD00000CzUTjYAN","false","SC-000019752","a0qWD00000JHN5VYAX","1.0","","","","","false","","","Change Memo","","false","08981560278867804","LLC_BI__Loan__c"
"a0vWD00000E3FrUYAV","false","SC-000026276","a0qWD00000JuTCEYA3","1.01","TS_OE_Approval_Section","","","0.0","false","","","","","false","08981576590190176","LLC_BI__Treasury_Service__c"
"a0vWD00000CzUodYAF","false","SC-000021048","a0qWD00000JHNMkYAP","1.01","","","","","false","","","Loan Compliance","","false","09111619447516050","LLC_BI__Loan__c"
"a0vWD00000E3DaQYAV","false","SC-000022396","a0qWD00000JuRsnYAF","1.01","Deposit_Account_Funding_Field_Set","","","","false","","","","","false","091258127518125","LLC_BI__Funding_Method__c"
"a0vWD00000CzUu6YAF","false","SC-000021387","a0qWD00000JHNMaYAP","1.01","UI_Loan_Compliance_Certifications","","a0bWD000001HG0QYAW","0.0","false","","","","","false","09371619447516043","LLC_BI__Loan__c"
"a0vWD00000CzV0WYAV","false","SC-000021755","a0qWD00000JHNMzYAP","2.0","LLC_BI__UI_HMDA_Demographic_Questions","","","","false","a0vWD00000CzUpOYAV","LLC_BI__Legal_Entities__r","HMDA","","false","09401615577847196","LLC_BI__Legal_Entities__c"
"a0vWD00000CzUbLYAV","false","SC-000020224","a0qWD00000JHN8qYAH","0.0","nRetail__Asset_Schedule","","","","false","","","Asset Schedule","","false","09511602764632531","nRetail__Asset__c"
"a0vWD00000CzUz9YAF","false","SC-000021670","a0qWD00000JHNEbYAP","2.01","UI_Fees","","a0bWD000001HHF7YAO","0.0","false","a0vWD00000CzUfdYAF","LLC_BI__Fees__r","","","false","09522E18763640678C21721310133B59","LLC_BI__Fee__c"
"a0vWD00000E3FilYAF","false","SC-000025835","a0qWD00000JuUM7YAN","1.01","LLC_BI__Bulk_Pledge_Details","","","","false","","","","","false","09867543548897","LLC_BI__Loan_Collateral2__c"
"a0vWD00000CzUfeYAF","false","SC-000020491","a0qWD00000JHNEcYAP","1.01","","","a0bWD000001HHCdYAO","0.0","false","","","","","false","0B2C68057F294E5D8C504E6D19467035","LLC_BI__Loan__c"
"a0vWD00000E3FfpYAF","false","SC-000025653","a0qWD00000JuULoYAN","2.0","LLC_BI__Syndication_Summary","","","","false","a0vWD00000E3Fg2YAF","LLC_BI__Participations__r","participation records","","false","0B2D5A5F2E124A149425500A1F6A5835","LLC_BI__Participation__c"
"a0vWD00000E3FrVYAV","false","SC-000026277","a0qWD00000JuTbYYAV","1.01","","","","","false","","","","","false","0B302B73_265E_4325_A035_54583B2C2F12","LLC_BI__Loan__c"
"a0vWD00000E3FrWYAV","false","SC-000026278","a0qWD00000JuTEDYA3","1.01","","","","","false","","","","","false","0C430D67_2B3D_4602_844E_475D501A3921","LLC_BI__Deposit__c"
"a0vWD00000E3FftYAF","false","SC-000025657","a0qWD00000JuULnYAN","0.0","LLC_BI__Participation_Details","","","","false","","","Participation","","false","0F1E623675484224A92A7C6227251723","LLC_BI__Loan__c"
"a0vWD00000E3FlmYAF","false","SC-000025922","a0qWD00000JuTd0YAF","2.02","LLC_BI__UI_Entity_Involvement_Fieldset","","","","false","a0vWD00000E3G6MYAV","LLC_BI__Legal_Entities__r","","","false","0F201C65_2C78_414D_9646_655D434B2854","LLC_BI__Legal_Entities__c"
"a0vWD00000CzUubYAF","false","SC-000021418","a0qWD00000JHNRyYAP","1.01","","","","","false","","","","","false","1","1"
"a0vWD00000E3DaRYAV","false","SC-000022397","a0qWD00000JuRsxYAF","1.01","","","a0bWD000001HGAiYAO","","false","","","","","false","1.681612432467005","LLC_BI__Product_Package__c"
"a0vWD00000E3DaSYAV","false","SC-000022398","a0qWD00000JuRzuYAF","1.01","","","","","false","","","","","false","1001","Account"
"a0vWD00000CzUoeYAF","false","SC-000021049","a0qWD00000JHNMlYAP","1.01","","","a0bWD000001HGGxYAO","","false","","","","","false","1002","Account"
"a0vWD00000E3DaTYAV","false","SC-000022399","a0qWD00000JuS03YAF","1.01","UI_Relationship_Relationship_Information","","","","false","","","","","false","1003","Account"
"a0vWD00000E3DaUYAV","false","SC-000022400","a0qWD00000JuRzJYAV","1.01","","","","","false","","","","","false","1004","Account"
"a0vWD00000E3DxVYAV","false","SC-000023593","a0qWD00000JuRzJYAV","2.01","nFORCE__UI_Lookup_Fields","","","","false","a0vWD00000E3DaUYAV","Contacts","","","false","1005","Contact"
"a0vWD00000E3DaVYAV","false","SC-000022401","a0qWD00000JuS0LYAV","1.01","","","","","false","","","","","false","1006","Account"
"a0vWD00000E3DxWYAV","false","SC-000023594","a0qWD00000JuS0LYAV","2.01","UI_Relationship_Referrals","","","","false","a0vWD00000E3DaVYAV","nRE__Referrals__r","","","false","1007","nRE__Referral__c"
"a0vWD00000E3DaWYAV","false","SC-000022402","a0qWD00000JuRzBYAV","1.01","","","a0bWD000001HGJoYAO","","false","","","","","false","1008","LLC_BI__Treasury_Service__c"
"a0vWD00000E3DxXYAV","false","SC-000023595","a0qWD00000JuRzBYAV","2.01","LLC_BI__UI_Users_for_Lockbox","","a0bWD000001HG7KYAW","","false","a0vWD00000E3DaWYAV","LLC_BI__Authorized_Users__r","","","false","1009","LLC_BI__Authorized_User__c"
"a0vWD00000CzUffYAF","false","SC-000020492","a0qWD00000JHNDNYA5","1.01","nSBA__SBA_Form_601","","","","false","","","SBA Form 601","","false","100E412176434B0BA97A0B494B374D39","LLC_BI__Loan__c"
