"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","nFORCE__Category__c","nFORCE__Generator_Class__c","nFORCE__Layout_Description__c","nFORCE__Layout_Preview_Image__c","nFORCE__Visualforce_Page__c","nFORCE__lookupKey__c"
"a0bWD0000011LuqYAE","005al00000RVcKvAAL","false","a314T000000Xm6c","2026-04-07T19:27:10.000Z","005al00000RVcKvAAL","2026-08-24T08:44:07.000Z","005al00000RVvFOAA1","2026-08-24T08:44:07.000Z","","Html.Layouts.NoLayout","","","","42531649380069143"
"a0bWD0000011LurYAE","005al00000RVcKvAAL","false","TwoColumnGrid","2026-04-07T19:27:10.000Z","005al00000RVcKvAAL","2026-08-24T08:44:07.000Z","005al00000RVvFOAA1","2026-08-24T08:44:07.000Z","","Html.Layouts.TwoColumnGrid","","","","42532094097188875"
"a0bWD0000011LusYAE","005al00000RVcKvAAL","false","NoLayout","2026-04-07T19:27:10.000Z","005al00000RVcKvAAL","2026-08-24T08:44:07.000Z","005al00000RVvFOAA1","2026-08-24T08:44:07.000Z","","Html.Layouts.NoLayout","","","","42532506947246929"
"a0bWD0000011LutYAE","005al00000RVcKvAAL","false","TwoColumnGrid","2026-04-07T19:27:10.000Z","005al00000RVcKvAAL","2026-08-24T08:44:07.000Z","005al00000RVvFOAA1","2026-08-24T08:44:07.000Z","","Html.Layouts.TwoColumnGrid","","","","42532715034774680"
"a0bWD0000011LuuYAE","005al00000RVcKvAAL","false","a2Cbn000002VbCx","2026-04-07T19:27:10.000Z","005al00000RVcKvAAL","2026-08-12T08:38:50.000Z","005al00000RVcKvAAL","2026-08-12T08:38:50.000Z","","Html.Layouts.TableLayout","","","","42532950693124832"
"a0bWD0000011LuvYAE","005al00000RVcKvAAL","false","NoLayout","2026-04-07T19:27:10.000Z","005al00000RVcKvAAL","2026-08-24T08:44:07.000Z","005al00000RVvFOAA1","2026-08-24T08:44:07.000Z","","Html.Layouts.NoLayout","","","","42533503444644807"
"a0bWD0000011L8LYAU","005al00000RVcKvAAL","false","TwoColumnGrid","2026-04-07T18:59:36.000Z","005al00000RVcKvAAL","2026-08-24T08:44:07.000Z","005al00000RVvFOAA1","2026-08-24T08:44:07.000Z","","Html.Layouts.TwoColumnGrid","","","","42534691465227395"
"a0bWD0000011LDDYA2","005al00000RVcKvAAL","false","SingleColumnGrid","2026-04-07T18:59:37.000Z","005al00000RVcKvAAL","2026-08-24T08:44:07.000Z","005al00000RVvFOAA1","2026-08-24T08:44:07.000Z","","Html.Layouts.SingleColumnGrid","","","","42535870003792533"
"a0bWD0000011LfCYAU","005al00000RVcKvAAL","false","SingleColumnGrid","2026-04-07T19:27:09.000Z","005al00000RVcKvAAL","2026-08-24T08:44:07.000Z","005al00000RVvFOAA1","2026-08-24T08:44:07.000Z","","Html.Layouts.SingleColumnGrid","","","","42536879672161887"
"a0bWD0000011LuwYAE","005al00000RVcKvAAL","false","TableLayout","2026-04-07T19:27:10.000Z","005al00000RVcKvAAL","2026-08-12T08:38:50.000Z","005al00000RVcKvAAL","2026-08-12T08:38:50.000Z","","Html.Layouts.TableLayout","","","","42537093144572458"
"a0bWD0000011LuxYAE","005al00000RVcKvAAL","false","TableLayout","2026-04-07T19:27:10.000Z","005al00000RVcKvAAL","2026-08-24T08:44:07.000Z","005al00000RVvFOAA1","2026-08-24T08:44:07.000Z","","Html.Layouts.TableLayout","","","","42537221017890037"
