"Id","IsDeleted","Name","LLC_BI__Classification__c","LLC_BI__Spread_Statement_Total_Group__c","LLC_BI__lookupKey__c"
"a3gbn000000K8tJAAS","","a5ybn000000LSNK","a3Ybn0000004xLuEAI","a16bn00000108dIAAQ","42097011016890176"
"a3gbn000000K8pbAAC","","a5ybn000000LSOX","a3Ybn0000004xMSEAY","a16bn00000108ZoAAI","42098691168147595"
"a3gbn000000K8nPAAS","","a5ybn000000LSN9","a3Ybn0000004xLUEAY","a16bn00000108VbAAI","42099358682821045"
"a3gbn000000K8t4AAC","","a5ybn000000LSNC","a3Ybn0000004xLgEAI","a16bn00000108dKAAQ","42099746917916852"
"a3gbn000000K8q4AAC","","a5ybn000000LSOk","a3Ybn0000004xKlEAI","a16bn00000108aIAAQ","42101570617713476"
"a3gbn000000K8pFAAS","","a5ybn000000LSOC","a3Ybn0000004xLgEAI","a16bn00000108XgAAI","42104192576112044"
"a3gbn000000K8tqAAC","","a5ybn000000LSPz","a3Ybn0000004xLfEAI","a16bn00000108dmAAA","42107405038253799"
"a3gbn000000K8qRAAS","","a5ybn000000LSP3","a3Ybn0000004xLfEAI","a16bn00000108XjAAI","42110009535963797"
"a3gbn000000K8sIAAS","","a3gbn000000K8wH","a3Ybn0000004xKiEAI","a16bn00000108fuAAA","42113123491638601"
"a3gbn000000K8n6AAC","","a5ybn000000LSMr","a3Ybn0000004xKiEAI","a16bn00000108V8AAI","42116094846994394"
"a3gbn000000K8oiAAC","","a5ybn000000LSNe","a3Ybn0000004xL8EAI","a16bn00000108JJAAY","42118599766245492"
"a3gbn000000K8tyAAC","","a5ybn000000LSQ8","a3Ybn0000004xLmEAI","a16bn00000108duAAA","42119693395769258"
"a3gbn000000K8pDAAS","","a5ybn000000LSO9","a3Ybn0000004xMMEAY","a16bn00000108XTAAY","4212124685298838"
"a3gbn000000K8mkAAC","","a5ybn000000LSMb","a3Ybn0000004xL6EAI","a16bn00000108IVAAY","42122370164366797"
"a3gbn000000K8qLAAS","","a5ybn000000LSOx","a3Ybn0000004xLKEAY","a16bn00000108XcAAI","42125940828860739"
"a3gbn000000K8pvAAC","","Total Inventory","a3Ybn0000004xMbEAI","a16bn00000108aAAAQ","42129016355106827"
"a3gbn000000K8puAAC","","Net Trade Receivables","a3Ybn0000004xMaEAI","a16bn00000108a9AAA","42130045825938526"
"a3gbn000000K8qlAAC","","a5ybn000000LSN0","a3Ybn0000004xKwEAI","a16bn00000108b6AAA","42133334521762251"
"a3gbn000000K8uRAAS","","a5ybn000000LSPT","a3Ybn0000004xL8EAI","a16bn00000108eZAAQ","42133824810114486"
"a3gbn000000K8mXAAS","","a5ybn000000LSMP","a3Ybn0000004xKsEAI","a16bn00000108IBAAY","42138376545548521"
"a3gbn000000K8txAAC","","a5ybn000000LSQ6","a3Ybn0000004xLjEAI","a16bn00000108drAAA","42141631876778690"
"a3gbn000000K8o9AAC","","schecf","a3Ybn0000004xLyEAI","a16bn00000108WVAAY","42143773452009790"
"a3gbn000000K8oSAAS","","a5ybn000000LSNO","a3Ybn0000004xKnEAI","a16bn00000108IkAAI","42145474462297345"
