"Id","OwnerId","IsDeleted","Name","LastViewedDate","LastReferencedDate","LLC_BI__Category__c","LLC_BI__lookupKey__c"
"a1fWE000002Sqz0YAC","005al00000RVvFOAA1","false","Livestock Product Sales","","","Accounting Grid (Cash Accounting)","Livestock_Product_Sales_ACCTGRD"
"a1fWE000002Sqz1YAC","005al00000RVvFOAA1","false","Livestock Products","","","Accounting Grid (AG Owner Operator)","Livestock_Products_ACCTGRD"
"a1fWE000002Sqz2YAC","005al00000RVvFOAA1","false","Livestock Products - Manual Adjust","","","Accounting Grid (Cash Accounting)","Livestock_Products_ManualAdjust_ACCTGRD"
"a1fWE000002UdOMYA0","005al00000RVvFOAA1","false","LoC Balance","","","Accounting Grid (Cash Accounting)","LoC_Balance_ACCTGRD"
"a1fWE000002Sqz3YAC","005al00000RVvFOAA1","false","Loan Amount 2","","","Accounting Grid (Other)","Loan_Amount_2_ACCTGRD"
"a1fWE000002Sqz4YAC","005al00000RVvFOAA1","false","Loan Amount 2nd Mortgage","","","Accounting Grid (Other)","Loan_Amount_2nd_Mortgage_ACCTGRD"
"a1fWE000002Sqz5YAC","005al00000RVvFOAA1","false","Loan Amount 3","","","Accounting Grid (Other)","Loan_Amount_3_ACCTGRD"
"a1fWE000002Sqz8YAC","005al00000RVvFOAA1","false","Loans from Related Co - CP","","","Accounting Grid (Balance Sheet)","Loans_from_Related_Co_CP_ACCTGRD"
"a1fWE000002Sqz9YAC","005al00000RVvFOAA1","false","Loans from Related Co - LTP","","","Accounting Grid (Balance Sheet)","Loans_from_Related_Co_LTP_ACCTGRD"
"a1fWE000002SqzAYAS","005al00000RVvFOAA1","false","Loans to Related Co - CP","","","Accounting Grid (Balance Sheet)","Loans_to_Related_Co_CP_ACCTGRD"
"a1fWE000002SqzBYAS","005al00000RVvFOAA1","false","Loans to Related Co - LTP","","","Accounting Grid (Balance Sheet)","Loans_to_Related_Co_LTP_ACCTGRD"
"a1fWE000002SqzCYAS","005al00000RVvFOAA1","false","Long Term Debt-Bank","","","Accounting Grid (Balance Sheet)","Long_Term_DebtBank_ACCTGRD"
"a1fWE000002SqzDYAS","005al00000RVvFOAA1","false","Long Term Debt-Other Sec","","","Accounting Grid (Balance Sheet)","Long_Term_DebtOther_Sec_ACCTGRD"
"a1fWE000002SqzEYAS","005al00000RVvFOAA1","false","Long Term Debt-Other Unsec","","","Accounting Grid (Balance Sheet)","Long_Term_DebtOther_Unsec_ACCTGRD"
