"Id","IsDeleted","Name","LLC_BI__Classification__c","LLC_BI__Spread_Statement_Record__c","LLC_BI__lookupKey__c"
"a4vWE000000ZX3JYAW","false","a5xbn000000JouF","a1fWE000002LEejYAG","a53WE0000017xjqYAA","42021542020625638"
"a4vWE000000ZX3KYAW","false","a5xbn000000Jp1s","a1fWE000002Sqy1YAC","a53WE0000017xoTYAQ","42021879997086714"
"a4vWE000000ZX3LYAW","false","a5xbn000000JomT","a1fWE000002Sr1SYAS","a53WE0000017xdFYAQ","42021928305248727"
"a4vWE000000ZX3MYAW","false","a3fbn000000fu43","a1fWE000002Sr2hYAC","a53WE0000017xS6YAI","42022056342799577"
"a4vWE000000ZX3NYAW","false","a5xbn000000Jp6i","a1fWE000002SqzEYAS","a53WE0000017xEmYAI","42022498093811609"
"a4vWE000000ZX3OYAW","false","a5xbn000000JomV","a1fWE000002LEejYAG","a53WE0000017wz9YAA","42023291495326490"
"a4vWE000000ZX3PYAW","false","a5xbn000000Joow","a1fWE000002Sr2CYAS","a53WE0000017xrCYAQ","42023917512090525"
"a4vWE000000ZX3QYAW","false","a5xbn000000Jp5T","a1fWE000002Sr1DYAS","a53WE0000017xLCYAY","42024178377093960"
"a4vWE000000ZX3RYAW","false","a5xbn000000Jp1r","a1fWE000002SqyGYAS","a53WE0000017xL6YAI","42024332613805600"
"a4vWE000000ZX3SYAW","false","a9Ibn000001OBFH","a1fWE000002Sr3IYAS","a53WE0000017xAcYAI","42024997235943344"
"a4vWE000000ZX3TYAW","false","a5xbn000000Jovn","a1fWE000002SqwlYAC","a53WE0000017xdwYAA","42025211907329068"
"a4vWE000000ZX3UYAW","false","a5xbn000000Jp2m","a1fWE000002Sr19YAC","a53WE0000017xOZYAY","42025458720534442"
"a4vWE000000ZX3VYAW","false","a5xbn000000JozG","a1fWE000002SqzsYAC","a53WE0000017xf7YAA","42025786334257036"
"a4vWE000000ZX3WYAW","false","a5xbn000000Jot6","a1fWE000002SqwAYAS","a53WE0000017xcDYAQ","42025995583926255"
"a4vWE000000ZX3XYAW","false","a3fbn000000fu1v","a1fWE000002Sr0RYAS","a53WE0000017xWqYAI","42026161550737195"
"a4vWE000000ZX3YYAW","false","a5xbn000000Jp6O","a1fWE000002SqwxYAC","a53WE0000017xE7YAI","42026755165253712"
"a4vWE000000ZX3ZYAW","false","a5xbn000000Jp5M","a1fWE000002SqvjYAC","a53WE0000017xdEYAQ","42027206264116597"
"a4vWE000000ZX3aYAG","false","Grain Inventory","a1fWE000002SqyJYAS","a53WE0000017xg3YAA","42027310696622795"
"a4vWE000000ZX3bYAG","false","a3jbn000000ldzZ","a1fWE000002Sr3NYAS","a53WE0000017xE0YAI","42027654331915220"
"a4vWE000000ZX3cYAG","false","a5xbn000000Jp1n","a1fWE000002Sr1kYAC","a53WE0000017x1bYAA","42027664149652102"
"a4vWE000000ZX3dYAG","false","a5xbn000000Joup","a1fWE000002Sr2YYAS","a53WE0000017xScYAI","42027952478927468"
"a4vWE000000ZX3eYAG","false","a5xbn000000Jp6b","a1fWE000002Sr0jYAC","a53WE0000017x6JYAQ","42028314112860402"
"a4vWE000000ZX3fYAG","false","a5xbn000000JonP","a1fWE000002UdOVYA0","a53WE0000017xOnYAI","42028337712252843"
"a4vWE000000ZX3gYAG","false","a9Ibn000001OBFl","a1fWE000002Sr3IYAS","a53WE0000017xeCYAQ","42028714227407073"
"a4vWE000000ZX3hYAG","false","a5xbn000000Joum","a1fWE000002LEejYAG","a53WE0000017xXSYAY","42028733293924504"
"a4vWE000000ZX3iYAG","false","a3fbn000000fu1T","a1fWE000002Sr3RYAS","a53WE0000017xMwYAI","42029369085448295"
"a4vWE000000ZX3jYAG","false","a5xbn000000JowO","a1fWE000002LEejYAG","a53WE0000017xWLYAY","42029636825975028"
"a4vWE000000ZX3kYAG","false","a5xbn000000Jp0g","a1fWE000002LEejYAG","a53WE0000017xOcYAI","42030037211802071"
"a4vWE000000ZX3lYAG","false","a3jbn000000ldzn","a1fWE000002LEemYAG","a53WE0000017xZHYAY","42030078033208011"
"a4vWE000000ZX3mYAG","false","a5xbn000000Jonp","a1fWE000002SqxgYAC","a53WE0000017xTRYAY","42030461186321304"
