"Id","IsDeleted","Name","nFORCE__Screen_Section__c","nFORCE__Display_Order__c","nFORCE__Field_Set_Key__c","nFORCE__Filter_Criteria__c","nFORCE__Layout__c","nFORCE__Limit__c","nFORCE__Offset_By_Limit__c","nFORCE__Parent_Configuration__c","nFORCE__Parent_Relationship_Name__c","nFORCE__Section_Header__c","nFORCE__Sort_Criteria__c","nFORCE__Unique__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c"
"a0vWD00000CzUbRYAV","false","SC-000020230","a0qWD00000JHNBrYAP","1.01","UI_Loan_Stage_Details_Qualification","","","0.0","false","","","","","false","15881585311472189","LLC_BI__Loan__c"
"a0vWD00000CzUTpYAN","false","SC-000019758","a0qWD00000JHNOsYAP","1.01","","","a0bWD000001HG83YAG","0.0","false","","","","","false","159896624004440362141","LLC_BI__Deposit__c"
"a0vWD00000CzUvKYAV","false","SC-000021433","a0qWD00000JHN0tYAH","2.02","","","a0bWD000001HG0PYAW","0.0","false","a0vWD00000CzUaZYAV","LLC_BI__Legal_Entities__r","","","false","16071620937672788","LLC_BI__Legal_Entities__c"
"a0vWD00000CzUTqYAN","false","SC-000019759","a0qWD00000JHN0zYAH","1.01","","","","","false","","","Loan Compliance","","false","16491620937672804","LLC_BI__Loan__c"
"a0vWD00000CzUTrYAN","false","SC-000019760","a0qWD00000JHN0yYAH","0.0","LLC_BI__UI_Fees_Summary","","","","false","","","Fees Summary","","false","17931620937672794","LLC_BI__Loan__c"
"a0vWD00000CzUbSYAV","false","SC-000020231","a0qWD00000JHN8rYAH","1.01","","","a0bWD000001HHDjYAO","0.0","false","","","","","false","18491585311472183","LLC_BI__Loan__c"
"a0vWD00000CzUouYAF","false","SC-000021065","a0qWD00000JHNMHYA5","1.0","","","","","false","","","HMDA","","false","19101619447516054","LLC_BI__Loan__c"
"a0vWD00000CzUbTYAV","false","SC-000020232","a0qWD00000JHN8yYAH","0.0","IBCL_Add_Debt","","","","false","","","Add Debt","","false","19421600720268230","LLC_BI__Debt__c"
"a0vWD00000CzUbUYAV","false","SC-000020233","a0qWD00000JHN9JYAX","1.01","OA_Contact_Info","","a0bWD000001HGHzYAO","0.0","false","","","","","false","19461598381728144","Contact"
"a0vWD00000CzUovYAF","false","SC-000021066","a0qWD00000JHNN3YAP","1.01","","","a0bWD000001HGJZYA4","0.0","false","","","","","false","19571567002572391","LLC_BI__Treasury_Service__c"
"a0vWD00000CzUfgYAF","false","SC-000020493","a0qWD00000JHNEWYA5","1.01","LOB_UI_Collateral_Summary","","","","false","","","Collateral Summary","","false","1A4F136541244D198577057621351661","LLC_BI__Loan__c"
"a0vWD00000CzUzAYAV","false","SC-000021671","a0qWD00000JHNDVYA5","2.0","LLC_BI__UI_Memo_Action","","a0bWD000001HHD1YAO","0.0","false","a0vWD00000CzUfjYAF","LLC_BI__Change_Memos__r","Change Memo","Name ASC NULLS FIRST","false","1B3A4D20323A4E29B933104A7C59281F","LLC_BI__Credit_Memo_Modifcation__c"
"a0vWD00000CzUTsYAN","false","SC-000019761","a0qWD00000JHN5eYAH","1.01","LLC_BI__Draws_History_Summary","","","","false","","","Disbursements Summary","","false","20011620937672805","LLC_BI__Budget__c"
"a0vWD00000CzUvLYAV","false","SC-000021434","a0qWD00000JHN5VYAX","2.0","IBCL_loan_UI_Memo_Action_cm","","","","false","a0vWD00000CzUTjYAN","LLC_BI__Change_Memos__r","Change Memo","","false","20241560278867805","LLC_BI__Credit_Memo_Modifcation__c"
"a0vWD00000CzUfhYAF","false","SC-000020494","a0qWD00000JHNDJYA5","1.01","nSBA__SBA_Form_652_Primary_Account","","","","false","","","SBA Form 601","","false","204E220C71794E689924360163193F0D","LLC_BI__Loan__c"
"a0vWD00000CzUv7YAF","false","SC-000021420","a0qWD00000JHNC0YAP","10.0","LLC_BI__UI_HMDA_Demographic_Questions","","","","false","a0vWD00000CzUbYYAV","LLC_BI__Legal_Entities__r","","","false","20841663700626419","LLC_BI__Legal_Entities__c"
"a0vWD00000CzUbVYAV","false","SC-000020234","a0qWD00000JHNC2YAP","1.01","","","","","false","","","Entity Compliance","","false","21181663700626408","LLC_BI__Loan__c"
"a0vWD00000CzUuKYAV","false","SC-000021401","a0qWD00000JHNRlYAP","1.01","LLC_BI__Product_Package_Collateral_Schedule","","","","false","","","","","false","21401563816286757","LLC_BI__Collateral__c"
"a0vWD00000CzUv8YAF","false","SC-000021421","a0qWD00000JHN9RYAX","2.01","LLC_BI__UI_Entity_Involvement_Fieldset","","","","false","a0vWD00000CzUdbYAF","LLC_BI__Legal_Entities__r","Borrowing Structure","","false","21721585311472158","LLC_BI__Legal_Entities__c"
