"Id","OwnerId","IsDeleted","Name","nFORCE__Address_Part__c","nFORCE__Alternate_Label__c","nFORCE__Autocomplete_Attribute_Value__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Value__c","nFORCE__Defined_Picklist_Values__c","nFORCE__Field_Hint__c","nFORCE__Field_Name__c","nFORCE__Filter_Criteria__c","nFORCE__Filter_Display_Name__c","nFORCE__Format_Description__c","nFORCE__Format_Enabled__c","nFORCE__Format_Expression__c","nFORCE__Format_Message__c","nFORCE__Is_Active__c","nFORCE__Is_Conditional_Lookup__c","nFORCE__Is_Editable__c","nFORCE__Is_Filter_Active__c","nFORCE__Is_Header__c","nFORCE__Is_Hidden__c","nFORCE__Is_Important__c","nFORCE__Is_Read_Only__c","nFORCE__Is_Required__c","nFORCE__Output_Expression__c","nFORCE__Route__c","nFORCE__SLDS_Column_Size__c","nFORCE__Screen_Section__c","nFORCE__Tooltip_Contents__c","nFORCE__Tooltip_Enabled__c","nFORCE__Tooltip_Text__c","nFORCE__lookupKey__c","nFORCE__sObject_Name__c"
"a0SWD000002Fmlz2AC","005al00000RVcKvAAL","false","FC-002490","","","","","","","","LLC_BI__Employee_Loan__c","","","","false","","","false","false","false","false","false","false","false","true","false","","a0mWD000003qwDeYAI","","a0qWD00000JHNMaYAP","","false","","42764777602405734","LLC_BI__Loan__c"
"a0SWD000002Fmdx2AC","005al00000RVcKvAAL","false","FC-001992","","","","","","","","LLC_BI__Total_Direct_Exposure__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","","a0qWD00000JHNAaYAP","","false","","42773350152705216","Account"
"a0SWD000002Fmgp2AC","005al00000RVcKvAAL","false","FC-002170","","County","","","","","","LLC_BI__Home_Address_County__c","","","","false","","","false","false","false","false","false","false","false","false","true","","a0mWD000003qw0iYAA","2.0","","","false","","42788258038224120","Contact"
"a0SWD000002Fmgq2AC","005al00000RVcKvAAL","false","FC-002171","","","","","Customer Reported","","","LLC_BI__Income_Source__c","","","","false","","","false","false","false","false","false","true","false","false","false","","a0mWD000003qvxwYAA","","","","false","","42791666029076773","LLC_BI__Income__c"
"a0SWD000002Fmgr2AC","005al00000RVcKvAAL","false","FC-002172","","","","","","","","cm_State_ID_Issuing_State__c","","","","false","","","false","false","false","false","false","false","false","false","false","","a0mWD000003qw0iYAA","2.0","","","false","","42795524019941083","Contact"
"a0SWD000002Fmgs2AC","005al00000RVcKvAAL","false","FC-002173","","Mailing State","","","","","","Mailing_State_nCino__c","","","","false","","","false","false","false","false","false","false","false","false","false","","a0mWD000003qvz1YAA","","","","false","","42800524946572421","Contact"
"a0SWD000002Fmgt2AC","005al00000RVcKvAAL","false","FC-002174","","Routing Number","","","","","","Routing_Number_text__c","","","","false","","","false","false","false","false","false","false","false","false","false","","a0mWD000003qvzNYAQ","","","","false","","42802066874970677","LLC_BI__Funding_Method__c"
"a0SWD000002Fmgu2AC","005al00000RVcKvAAL","false","FC-002175","","","","","","","","cm_Title__c","","","","false","","","false","false","false","false","false","false","false","false","false","","a0mWD000003qvyZYAQ","3.0","","","false","","42806571743769435","Beneficial_Owner__c"
"a0SWD000002Fmm02AC","005al00000RVcKvAAL","false","FC-002491","","","","","","","","Mailing_Address_nCino__c","","","","false","","","false","false","false","false","false","false","false","false","false","","","","a0qWD00000JHNMdYAP","","false","","42812119698671086","Contact"
"a0SWD000002Fmdy2AC","005al00000RVcKvAAL","false","FC-001993","","","","","","","","LastName","","","","false","","","false","false","false","false","false","false","false","false","false","","","2.0","a0qWD00000JHNAsYAP","","false","","42814121487658028","Contact"
