"Id","IsDeleted","Name","nFORCE__Screen__c","nFORCE__Are_Columns_Sortable__c","nFORCE__Auto_Save__c","nFORCE__Break_Page_After__c","nFORCE__Break_Page_Before__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Editable__c","nFORCE__Default_Rendered__c","nFORCE__Disable_Print__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Display_Input_Address_Component__c","nFORCE__Display_Order__c","nFORCE__Display_Toggle_Effect__c","nFORCE__Display_Toggle_Header__c","nFORCE__Display_Toggle_Link__c","nFORCE__Headless__c","nFORCE__Inactive__c","nFORCE__Instructions_Text__c","nFORCE__Is_Editable__c","nFORCE__Number_of_Columns__c","nFORCE__Optional_Configuration__c","nFORCE__Parent_Screen_Section__c","nFORCE__Section_Resource__c","nFORCE__Validation_Service__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","Custom_Code_in_Screen_Section__c"
"a0qVx00000Gm4U5IAJ","false","Collateral Search Results","a0sVx000002iIT4IAM","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42432403086099581","LLC_BI__Collateral__c",""
"a0qal00000CdJdWAAV","false","Collateral Valuation","a0sal000004PdLrAAK","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42438109294881857","LLC_BI__Collateral__c",""
"a0qal00000CdJdXAAV","false","Collateral Search Results","a0sal000004PdLTAA0","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42445991943016780","LLC_BI__Collateral__c",""
"a0qal00000CdJdYAAV","false","Bulk Pledge Details","a0sal000004PdLsAAK","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42452419303364976","LLC_BI__Loan_Collateral2__c",""
"a0qVx00000Gm4UlIAJ","false","Bulk Pledge Details","a0sVx000002iIT4IAM","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42457559416603645","LLC_BI__Loan_Collateral2__c",""
"a0qal00000CdJdZAAV","false","Bulk Pledge Details","a0sal000004PdLUAA0","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42495836968262912","LLC_BI__Loan_Collateral2__c",""
"a0qVx00000Gm4WgIAJ","false","Collateral Search Results","a0sVx000002iIXMIA2","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42522946735389811","LLC_BI__Collateral__c",""
"a0qal00000CdJdaAAF","false","Collateral Valuation","a0sal000004PdLcAAK","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42556818826445827","LLC_BI__Collateral__c",""
"a0qVx00000Gm4XlIAJ","false","Pledge Details","a0sal000004PdLmAAK","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","true","","true","","","","MappedSObjectScreenResource","","42560036649135156","LLC_BI__Loan_Collateral2__c",""
"a0qal00000CdJdbAAF","false","Collateral Valuation","a0sal000004PdLTAA0","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42590166131955019","LLC_BI__Collateral__c",""
