"Id","OwnerId","IsDeleted","Name","nFORCE__Alternate_Label__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Value__c","nFORCE__Field_Hint__c","nFORCE__Field_Name__c","nFORCE__Format_Description__c","nFORCE__Format_Enabled__c","nFORCE__Format_Expression__c","nFORCE__Format_Message__c","nFORCE__Is_Hidden__c","nFORCE__Is_Read_Only__c","nFORCE__Is_Required__c","nFORCE__Output_Expression__c","nFORCE__SLDS_Column_Size__c","nFORCE__Screen_Section__c","nFORCE__Tooltip_Contents__c","nFORCE__Tooltip_Enabled__c","nFORCE__Tooltip_Text__c","nFORCE__lookupKey__c","nFORCE__sObject_Name__c","nFORCE__Is_Editable__c","nFORCE__Autocomplete_Attribute_Value__c","nFORCE__Is_Header__c","nFORCE__Is_Important__c","nFORCE__Filter_Criteria__c","nFORCE__Filter_Display_Name__c","nFORCE__Is_Active__c","nFORCE__Is_Filter_Active__c","nFORCE__Is_Conditional_Lookup__c","nFORCE__Defined_Picklist_Values__c","nFORCE__Address_Part__c","nPortal__Picklist_Buttons_Enabled__c"
"a3Tbn000000MFQREA4","005bn000003k2JdAAI","","FC-000127","","","","","LLC_BI__Employee_Relationship__c","","false","","","false","true","false","","","a2Fbn000000CzG5EAK","","false","","42708478902968159","Account","false","","false","false","","","false","false","false","","","false"
"a3Tbn000000NX6VEAW","005bn000003k2JdAAI","","FC-000294","","","","","LLC_BI__Total_Direct_Exposure__c","","false","","","false","true","false","","","a2Fbn000000DvR1EAK","","false","","42773350152705216","Account","false","","false","false","","","false","false","false","","","false"
"a3Tbn000000LXkEEAW","005bn000003q1G5AAI","","FC-000111","","","","","SIOC__CompanyId__c","","false","","","false","false","false","","","a2Fbn000000CX0DEAW","","false","","42792354078376259","SIOC__CompanyInfo__c","false","","false","false","","","false","false","false","","","false"
"a3Tbn000000KmWOEA0","005bn000003k2JdAAI","","FC-000097","","","","","Mailing_Address_nCino__c","","false","","","false","false","false","","","a2Fbn000000C3adEAC","","false","","42812119698671086","Contact","false","","false","false","","","false","false","false","","","false"
"a3Tbn000000NX6rEAG","005bn000003k2JdAAI","","FC-000316","","","","","LastName","","false","","","false","false","false","","2.0","a2Fbn000000DvRVEA0","","false","","42814121487658028","Contact","false","","false","false","","","false","false","false","","","false"
"a3Tbn000000NX6XEAW","005bn000003k2JdAAI","","FC-000296","","","{{Contact}}","","LLC_BI__Contact__c","","false","","","true","false","false","","","a2Fbn000000DvR5EAK","","false","","42848381400074070","LLC_BI__Income__c","false","","false","false","","","false","false","false","","","false"
"a3Tbn000000MFRSEA4","005bn000003k2JdAAI","","FC-000190","","","{{Contact}}","","LLC_BI__Contact__c","","false","","","true","false","false","","","a2Fbn000000CzH8EAK","","false","","428483814000740701","LLC_BI__Income__c","false","","false","false","","","false","false","false","","","false"
"a3Tbn000000KmV9EAK","005bn000003k2JdAAI","","FC-000105","","","Booked","","LLC_BI__Stage__c","","false","","","false","false","false","","","a2Fbn000000C3lnEAC","","false","","42874378885559190","LLC_BI__Loan__c","false","","false","false","","Stages to Display","false","false","false","","","false"
"a3Tbn000000NX6UEAW","005bn000003k2JdAAI","","FC-000293","","","","","LLC_BI__Account__c","","false","","","false","true","false","","","a2Fbn000000DvR1EAK","","false","","42885604852150311","LLC_BI__Loan__c","false","","false","false","","","false","false","false","","","false"
"a3Tbn000000KmWUEA0","005bn000003k2JdAAI","","FC-000099","","","","","LLC_BI__Approval_Status__c","","false","","","false","true","false","","","a2Fbn000000C3jDEAS","","false","","42937821374556311","LLC_BI__Credit_Memo_Modifcation__c","false","","false","false","","","false","false","false","","","false"
"a3Tbn000000NX6TEAW","005bn000003k2JdAAI","","FC-000292","","","","","LLC_BI__Amount__c","","false","","","false","false","false","","","a2Fbn000000DvR0EAK","","false","","42940582545274435","LLC_BI__Loan__c","false","","false","false","","","false","false","false","","","false"
"a3Tbn000000NX76EAG","005bn000003k2JdAAI","","FC-000331","","","","","cm_AA_Type__c","","false","","","false","true","false","","","a2Fbn000000DvRlEAK","","false","","42941355148406295","LLC_BI__Adverse_Action__c","false","","false","false","","","false","false","false","","","false"
"a3Tbn000000LXkDEAW","005bn000003q1G5AAI","","FC-000110","Registered Address Postal Code","","","","SIOC__Address1PostalCode__c","","false","","","false","false","false","","","a2Fbn000000CX0DEAW","","false","","42964958876422850","SIOC__CompanyInfo__c","false","","false","false","","","false","false","false","","","false"
"a3Tbn000000NX6uEAG","005bn000003k2JdAAI","","FC-000319","","","New","","LLC_BI__Approval_Status__c","","false","","","false","true","false","","","a2Fbn000000C3X1EAK","","false","","42983664713190908","LLC_BI__Credit_Memo_Modifcation__c","false","","false","false","","","false","false","false","","","false"
"a3Tbn000000KmWSEA0","005bn000003k2JdAAI","","FC-000018","","","","","Name","","false","","","false","true","false","","","a2Fbn000000C3VHEA0","","false","","42987232468683575","LLC_BI__Loan__r","false","","false","false","","","false","false","false","","","false"
"a3Tbn000000NXBOEA4","005bn000003k2JdAAI","","FC-000597","","","","","LLC_BI__Account__c","","false","","","false","true","false","","","a2Fbn000000DvQyEAK","","false","","42989977565296043","LLC_BI__Legal_Entities__c","false","","false","false","","","false","false","false","","","false"
"a3Tbn000000MFQNEA4","005bn000003k2JdAAI","","FC-000123","Doing Business As","","","","LLC_BI__Doing_Business_As__r.Name","","false","","","false","false","false","","","a2Fbn000000CzG3EAK","","false","","43961640791248635","LLC_BI__Legal_Entities__c","false","","false","false","","","false","false","false","","","false"
"a3Tbn000000NXBtEAO","005bn000003k2JdAAI","","FC-000628","","","","","LLC_BI__Lookupkey__c","","false","","","true","false","false","","","a2Fbn000000DvU3EAK","","false","","49441701790671659","LLC_BI__Product_Reference__r","false","","false","false","","","false","false","false","","","false"
"a3Tbn000000KmVAEA0","005bn000003k2JdAAI","","FC-000098","","","","","Name","","false","","","false","true","false","","","a2Fbn000000C3jDEAS","","false","","575766443567986","LLC_BI__Credit_Memo_Modifcation__c","false","","false","false","","","false","false","false","","","false"
"a3Tbn000000NX6iEAG","005bn000003k2JdAAI","","FC-000307","","","","","LLC_BI__Total_Direct_Exposure__c","","false","","","false","true","false","","","a2Fbn000000DvRKEA0","","false","","58341602764632446","Account","false","","false","false","","","false","false","false","","","false"
"a3Tbn000000MFQPEA4","005bn000003k2JdAAI","","FC-000125","","","","","LLC_BI__Total_Direct_Exposure__c","","false","","","false","true","false","","","a2Fbn000000CzGQEA0","","false","","59711640791248637","Account","false","","false","false","","","false","false","false","","","false"
"a3Tbn000000NX6hEAG","005bn000003k2JdAAI","","FC-000306","","","","","LLC_BI__Account__c","","false","","","false","true","false","","","a2Fbn000000DvRKEA0","","false","","75381602764632445","LLC_BI__Loan__c","false","","false","false","","","false","false","false","","","false"
"a3Tbn000000NXBqEAO","005bn000003k2JdAAI","","FC-000625","","","","","LLC_BI__Lookupkey__c","","false","","","true","false","false","","","a2Fbn000000DvU0EAK","","false","","78781701790671657","LLC_BI__Product_Reference__r","false","","false","false","","","false","false","false","","","false"
"a3Tbn000000MFQSEA4","005bn000003k2JdAAI","","FC-000128","","","","","LLC_BI__Account__c","","false","","","false","true","false","","","a2Fbn000000CzGnEAK","","false","","80061663700626156","LLC_BI__Loan__c","false","","false","false","","","false","false","false","","","false"
"a3Tbn000000MFQOEA4","005bn000003k2JdAAI","","FC-000124","","","","","LLC_BI__Account__c","","false","","","false","true","false","","","a2Fbn000000CzGQEA0","","false","","92701640791248637","LLC_BI__Loan__c","false","","false","false","","","false","false","false","","","false"
"a3Tbn000000NX6QEAW","005bn000003k2JdAAI","","FC-000289","","","","","LLC_BI__Home_Address__c","","false","","","false","false","false","","","a2Fbn000000C3g6EAC","","false","","a3T5f000000kOAdEAM","Contact","false","","false","false","","","false","false","false","","","false"
"a3Tbn000000KmVEEA0","005bn000003kBWeAAM","","FC-000000","","","","","nFORCE__Field_Name__c","","false","","","true","false","false","","","a2Fbn000000C3UiEAK","","false","","a3Tbn000000KmVEEA0","nFORCE__Field_Configuration__c","false","","false","false","","","false","false","false","","","false"
"a3Tbn000000KmVFEA0","005bn000003kBWeAAM","","FC-000001","","","","","nFORCE__Field_Name__c","","false","","","true","false","false","","","a2Fbn000000C3UiEAK","","false","","a3Tbn000000KmVFEA0","nFORCE__Field_Configuration__c","false","","false","false","","","false","false","false","","","false"
"a3Tbn000000KmVGEA0","005bn000003kBWeAAM","","FC-000002","","","","","nFORCE__Field_Name__c","","false","","","true","false","false","","","a2Fbn000000C3UiEAK","","false","","a3Tbn000000KmVGEA0","nFORCE__Field_Configuration__c","false","","false","false","","","false","false","false","","","false"
"a3Tbn000000KmVHEA0","005bn000003k2JdAAI","","FC-000004","","","","","LLC_BI__Tiers__c","","false","","","false","false","false","","","a2Fbn000000C3V4EAK","","false","","a3Tbn000000KmVHEA0","LLC_BI__Bill_Point__c","false","","false","false","","","false","false","false","","","false"
"a3Tbn000000KmVIEA0","005bn000003k2JdAAI","","FC-000005","","","","","LLC_BI__Price__c","","false","","","false","false","false","","","a2Fbn000000C3V4EAK","","false","","a3Tbn000000KmVIEA0","LLC_BI__Bill_Point__c","false","","false","false","","","false","false","false","","","false"
