"Id","IsDeleted","Name","LastViewedDate","LastReferencedDate","nFORCE__Screen__c","nFORCE__Are_Columns_Sortable__c","nFORCE__Auto_Save__c","nFORCE__Break_Page_After__c","nFORCE__Break_Page_Before__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Editable__c","nFORCE__Default_Rendered__c","nFORCE__Disable_Print__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Display_Input_Address_Component__c","nFORCE__Display_Order__c","nFORCE__Display_Toggle_Effect__c","nFORCE__Display_Toggle_Header__c","nFORCE__Display_Toggle_Link__c","nFORCE__Headless__c","nFORCE__Inactive__c","nFORCE__Instructions_Text__c","nFORCE__Is_Editable__c","nFORCE__Layout__c","nFORCE__Number_of_Columns__c","nFORCE__Optional_Configuration__c","nFORCE__Parent_Screen_Section__c","nFORCE__Screen_View__c","nFORCE__Section_Resource__c","nFORCE__Validation_Service__c","nFORCE__Widget__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","Custom_Code_in_Screen_Section__c","nPortal__Portal_Header_Text__c","nPortal__Portal_Subheader_Text__c"
"a0qWE00000UNVjGYAX","false","Adverse Actions/Counter Offers","","","a0sWE000002YqXsYAK","false","false","false","false","","true","false","false","false","false","5.0","slide","true","false","false","false","","true","","","","","a16WE000008toxMYAQ","MappedSObjectHierarchyScreenResource","","","07031663700625425","LLC_BI__Loan__c","","",""
"a0qWE00000USgnIYAT","false","Tasks","","","a0sWE000002ZR0KYAW","false","false","false","false","","false","true","false","false","false","1.0","slide","true","false","false","true","","true","","","","","","MappedSObjectHierarchyScreenResource","","","07461620937672167","LLC_BI__Loan__c","","",""
"a0qWE00000UydP4YAJ","false","DEP Primary Identification- Passport","","","a0sWE000002cbl4YAA","false","false","false","false","{{IF=/""A/""}}{{COND=/""A/"" FIELD=/""Contact.cs_Primary_ID_Type__c/"" IS=/""Passport/""}}{{ENDIF}}","false","false","false","false","false","1500.0","slide","true","false","false","false","","true","","","","a0qWE00000UydQGYAZ","a16WE000009UzLPYA0","MappedSObjectScreenResource","","","08061641831940770","Contact","","",""
"a0qWE00000UNVzmYAH","false","Loan Team Members","","","a0sWE000002YqhtYAC","false","false","false","false","","false","true","false","false","false","0.0","slide","true","false","false","false","","false","","","","","","MappedSObjectHierarchyScreenResource","","","08131619447515174","LLC_BI__Loan__c","","",""
"a0qWE00000UNVbLYAX","false","Add Debt","","","a0sWE000002YqPdYAK","false","false","false","false","","true","true","false","false","false","3.0","slide","true","false","false","false","","true","","","","","","MappedSObjectScreenResource","","","08171560278867254","LLC_BI__Debt__c","","",""
"a0qWE00000USgnAYAT","false","Structure Info","","","a0sWE000002ZR0HYAW","false","false","false","false","","true","true","false","false","false","3.0","slide","true","false","false","false","","true","","","","","a16WE0000090lRhYAI","MappedSObjectScreenResource","","","08301585604341048","LLC_BI__Loan__c","","",""
"a0qWE00000UNVjIYAX","false","Add Debt","","","a0sWE000002YqXqYAK","false","false","false","false","","true","true","false","false","false","30.0","slide","true","false","false","false","","true","","","","","","MappedSObjectScreenResource","","","08701600720268025","LLC_BI__Debt__c","","",""
"a0qWE00000UNVjJYAX","false","SBL Eligibility Loan","","","a0sWE000002YqZIYA0","false","false","false","false","","false","false","false","false","false","0.0","slide","true","false","false","false","","true","","","","","","MappedSObjectListScreenResource","","","08711666029075344","LLC_BI__Loan__c","","",""
"a0qWE00000UydP6YAJ","false","DEP Personal Contact - Personal Info - Business","","","a0sWE000002cb6jYAA","false","false","false","false","{{IF=/""A AND B/""}} {{COND=/""A/"" FIELD=/""Contact.cm_Is_Existing_Customer__c/"" IS=/""0/""}}{{COND=/""B/"" FIELD=/""Contact.LLC_BI__Identity_Verification_Status__c/"" NOT=/""Pass/""}}{{ENDIF}}","true","false","false","false","false","1640.0","slide","true","false","false","false","","true","","","","a0qWE00000Uye8LYAR","a16WE000009Uz94YAC","MappedSObjectScreenResource","","","08721640206777979","Contact","","",""
"a0qWE00000UNVznYAH","false","HMDA","","","a0sWE000002YqgHYAS","false","false","false","false","","true","true","false","false","false","4.0","slide","true","false","false","false","","true","","","","","","MappedSObjectHierarchyScreenResource","","","09161585604341050","LLC_BI__Loan__c","","",""
"a0qWE00000UydP9YAJ","false","Mailing Address - Locked","","","a0sWE000002cbjtYAA","false","false","false","false","{{IF=/""(A OR B) AND C/""}}{{COND=/""A/"" FIELD=/""Contact.cm_Is_Existing_Customer__c/"" IS=/""1/""}}{{COND=/""B/"" FIELD=/""Contact.LLC_BI__Identity_Verification_Status__c/"" IS=/""Pass/""}}{{COND=/""C/"" FIELD=/""Contact.cm_Mailing_Same_as_Physical__c/"" IS=/""No/""}}{{ENDIF}}","false","false","false","false","false","1200.0","slide","true","false","false","false","","false","","","","a0qWE00000UydPDYAZ","a16WE000009Uz91YAC","MappedSObjectScreenResource","","","09511641354325409","Contact","","",""
"a0qWE00000UNVbMYAX","false","Borrowing Structure","","","a0sWE000002YqW5YAK","false","false","false","false","","false","true","false","false","false","0.0","slide","true","false","false","false","","false","","","","","","MappedSObjectHierarchyScreenResource","","","09601560278867311","LLC_BI__Loan__c","","",""
"a0qWE00000UNVjKYAX","false","Exposure Confirmation","","","a0sWE000002YqY8YAK","false","false","false","false","","true","false","false","false","false","10.0","slide","true","false","false","false","","true","","","","","a16WE000008toxRYAQ","MappedSObjectScreenResource","","","09811602764631672","LLC_BI__Loan__c","","",""
"a0qWE00000UydPCYAZ","false","Mailing Address","","","a0sWE000002cbjtYAA","false","false","false","false","{{IF=/""A AND B AND C/""}}{{COND=/""A/"" FIELD=/""Contact.cm_Mailing_Same_as_Physical__c/"" IS=/""No/""}}{{COND=/""B/"" FIELD=/""Contact.cm_Is_Existing_Customer__c/"" IS=/""0/""}}{{COND=/""C/"" FIELD=/""Contact.LLC_BI__Identity_Verification_Status__c/"" NOT=/""Pass/""}}{{ENDIF}}","false","false","false","false","false","1100.0","slide","true","false","false","false","","true","","","","a0qWE00000UydPDYAZ","a16WE000009Uz91YAC","MappedSObjectScreenResource","","","09881641354325409","Contact","","",""
