"Id","OwnerId","IsDeleted","Name","nFORCE__Address_Part__c","nFORCE__Alternate_Label__c","nFORCE__Autocomplete_Attribute_Value__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Value__c","nFORCE__Defined_Picklist_Values__c","nFORCE__Field_Hint__c","nFORCE__Field_Name__c","nFORCE__Filter_Criteria__c","nFORCE__Filter_Display_Name__c","nFORCE__Format_Description__c","nFORCE__Format_Enabled__c","nFORCE__Format_Expression__c","nFORCE__Format_Message__c","nFORCE__Is_Active__c","nFORCE__Is_Conditional_Lookup__c","nFORCE__Is_Editable__c","nFORCE__Is_Filter_Active__c","nFORCE__Is_Header__c","nFORCE__Is_Hidden__c","nFORCE__Is_Important__c","nFORCE__Is_Read_Only__c","nFORCE__Is_Required__c","nFORCE__Output_Expression__c","nFORCE__SLDS_Column_Size__c","nFORCE__Screen_Section__c","nFORCE__Tooltip_Contents__c","nFORCE__Tooltip_Enabled__c","nFORCE__Tooltip_Text__c","nFORCE__lookupKey__c","nFORCE__sObject_Name__c","nPortal__Picklist_Buttons_Enabled__c"
"a0SWD000001m84h2AA","005al00000RVcKvAAL","false","FC-001244","","","","","","","","LLC_BI__Amount__c","","","","false","","","false","false","false","false","false","false","false","false","false","","","a0qWD00000GWFadYAH","","false","","42940582545274435","LLC_BI__Loan__c",""
"a0SWD000001m8CB2AY","005al00000RVcKvAAL","false","FC-001708","","","","","","","","cm_AA_Type__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000GWFbGYAX","","false","","42941355148406295","LLC_BI__Adverse_Action__c",""
"a0SWD000001m8KB2AY","005al00000RVcKvAAL","false","FC-002204","","","","","","","","LLC_BI__CRA_Reportable__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000GWFn2YAH","","false","","42950674894209027","LLC_BI__Loan__c",""
"a0SWD000001m8IV2AY","005al00000RVcKvAAL","false","FC-002100","","","","","","","","LLC_BI__Stage__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000GWFe6YAH","","false","","42962200192310137","LLC_BI__Loan__c",""
"a0SWD000001m8dm2AA","005al00000RVcKvAAL","false","FC-002309","","Registered Address Postal Code","","","","","","SIOC__Address1PostalCode__c","","","","false","","","false","false","false","false","false","false","false","false","false","","","a0qWD00000GWJVwYAP","","false","","42964958876422850","SIOC__CompanyInfo__c",""
"a0SWD000001m8IW2AY","005al00000RVcKvAAL","false","FC-002101","","","","","","","","Referral_Fee__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000GWFeKYAX","","false","","42973098661329513","LLC_BI__Loan__c",""
"a0SWD000001m84i2AA","005al00000RVcKvAAL","false","FC-001245","","","","","New","","","LLC_BI__Approval_Status__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000GWFVwYAP","","false","","42983664713190908","LLC_BI__Credit_Memo_Modifcation__c",""
"a0SWD000001m8dt2AA","005al00000RVcKvAAL","false","FC-002316","","","","","","","","Name","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000GWJc5YAH","","false","","42987232468683575","LLC_BI__Loan__r",""
"a0SWD000001m8IX2AY","005al00000RVcKvAAL","false","FC-002102","","","","","","","","LLC_BI__Stage__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000GWFe8YAH","","false","","42989338668942629","LLC_BI__Loan__c",""
"a0SWD000001m8FK2AY","005al00000RVcKvAAL","false","FC-001903","","","","","","","","LLC_BI__Account__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000GWFb9YAH","","false","","42989977565296043","LLC_BI__Legal_Entities__c",""
"a0SWD000001m8cp2AA","005al00000RVcKvAAL","false","FC-002250","","Amount Requested","","","","","","LLC_BI__Amount__c","","","","false","","","false","false","true","false","false","false","false","false","false","","","a0qWD00000GWIjJYAX","","false","","42996519715145502","LLC_BI__Loan__c",""
"a0SWD000001m8cq2AA","005al00000RVcKvAAL","false","FC-002251","","Doing Business As","","","","","","LLC_BI__Doing_Business_As__r.Name","","","","false","","","false","false","false","false","false","false","false","false","false","","","a0qWD00000GWIoGYAX","","false","","43961640791248635","LLC_BI__Legal_Entities__c",""
"a0SWD000001m8cr2AA","005al00000RVcKvAAL","false","FC-002252","","","","","","","","Current_Previous_Daily_Limit__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000GWKCZYA5","","false","","46711575853422917","Daily_Limit_Change__c",""
"a0SWD000001m8cs2AA","005al00000RVcKvAAL","false","FC-002253","","","","","","","","CreatedDate","","","","false","","","false","false","false","false","false","true","false","true","false","","","a0qWD00000GWInNYAX","","false","","47711576590611500","Daily_Limit_Change__c",""
"a0SWD000001m8ct2AA","005al00000RVcKvAAL","false","FC-002254","","","","","","","","CreatedDate","","","","false","","","false","false","false","false","false","true","false","true","false","","","a0qWD00000GWIomYAH","","false","","48141575852928274","Daily_Limit_Change__c",""
"a0SWD000001m8FR2AY","005al00000RVcKvAAL","false","FC-001910","","","","","","","","LLC_BI__Lookupkey__c","","","","false","","","false","false","false","false","false","true","false","false","false","","","a0qWD00000GWFcnYAH","","false","","49441701790671659","LLC_BI__Product_Reference__r",""
"a0SWD000001m8cu2AA","005al00000RVcKvAAL","false","FC-002255","","","","","","","","Status__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000GWIlPYAX","","false","","51061575852601017","Daily_Limit_Change__c",""
"a0SWD000001m8cv2AA","005al00000RVcKvAAL","false","FC-002256","","","","","","","","Current_Previous_Daily_Limit__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000GWIlXYAX","","false","","51571576590190033","Daily_Limit_Change__c",""
"a0SWD000001m8cw2AA","005al00000RVcKvAAL","false","FC-002257","","","","","","","","Name","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000GWIlcYAH","","false","","51781576590651513","Daily_Limit_Change__c",""
"a0SWD000001m8cx2AA","005al00000RVcKvAAL","false","FC-002258","","","","","","","","Eligible__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000GWKTZYA5","","false","","5463456","LLC_BI__Loan__c",""
