"Id","IsDeleted","Name","nFORCE__Screen_Section__c","nFORCE__Display_Order__c","nFORCE__Field_Set_Key__c","nFORCE__Filter_Criteria__c","nFORCE__Layout__c","nFORCE__Limit__c","nFORCE__Offset_By_Limit__c","nFORCE__Parent_Configuration__c","nFORCE__Parent_Relationship_Name__c","nFORCE__Section_Header__c","nFORCE__Sort_Criteria__c","nFORCE__Unique__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c"
"a0vWD00000BAHD5YAP","false","SC-000019574","a0qWD00000GWFoTYAX","1.01","nRetail__Third_Party_Related_List","","","","false","a0vWD00000BAH4PYAX","LLC_BI__Service_Mgmt__r","","","false","03561619447516044","LLC_BI__Service_Mgmt__c"
"a0vWD00000BAGmBYAX","false","SC-000017946","a0qWD00000GWFcTYAX","0.0","nRetail__Decision_Overview","","","","false","","","Decision_Overview","","false","03711600720268232","LLC_BI__Loan__c"
"a0vWD00000BAJcKYAX","false","SC-000020575","a0qWD00000GWIn8YAH","0.0","LLC_BI__UI_Collateral_Record_Schedule","","","","false","","","UI Collateral Record Schedule","","false","03891600720341872","LLC_BI__Loan_Collateral2__c"
"a0vWD00000BAJToYAP","false","SC-000020047","a0qWD00000GWJWCYA5","1.01","OA_Contact_Info","","a0bWD0000011UFfYAM","0.0","false","","","","","false","03961641831942665","Contact"
"a0vWD00000BAJcLYAX","false","SC-000020576","a0qWD00000GWJUcYAP","1.01","","","a0bWD0000011TfMYAU","0.0","false","","","","","false","04-05-20203.000601254134374","LLC_BI__Product_Package__c"
"a0vWD00000BAKGaYAP","false","SC-000022894","a0qWD00000GWJUcYAP","2.02","","","a0bWD0000011TfNYAU","0.0","false","a0vWD00000BAJcLYAX","LLC_BI__Account__r","","","false","04-05-20203.734636358219934","Account"
"a0vWD00000BAJcMYAX","false","SC-000020577","a0qWD00000GWKCAYA5","1.01","TS_OE_ACH_Debit","","","0.0","false","","","","","false","04111576590235494","LLC_BI__Treasury_Service__c"
"a0vWD00000BAJcNYAX","false","SC-000020578","a0qWD00000GWKE0YAP","1.01","SBL_Approver_2_Details","","a0bWD0000011TrMYAU","0.0","false","","","","","false","04111640791248845","LLC_BI__Loan__c"
"a0vWD00000BAKGbYAP","false","SC-000022895","a0qWD00000GWIotYAH","2.01","UI_Third_Party_Reports","","","","false","a0vWD00000BAJcOYAX","LLC_BI__Third_Party_Reports__r","","","false","04131575395466385","LLC_BI__third_party_report__c"
"a0vWD00000BAJcOYAX","false","SC-000020579","a0qWD00000GWIotYAH","1.01","","","","","false","","","","","false","04451575395466385","LLC_BI__Loan__c"
"a0vWD00000BAGmCYAX","false","SC-000017947","a0qWD00000GWFZFYA5","0.0","nRetail__Underwriting_Overview","","","","false","","","Underwriting_Overview","","false","04461663700626418","LLC_BI__Loan__c"
"a0vWD00000BAH58YAH","false","SC-000019121","a0qWD00000GWFoFYAX","1.01","","","","","false","","","Risk Rating","","false","04551619447516057","LLC_BI__Loan__c"
"a0vWD00000BAGmDYAX","false","SC-000017948","a0qWD00000GWFbzYAH","1.01","nPortal__SBL_Others_Involved_Multi_Record","","","","false","","","","","false","04571666029078196","Contact"
"a0vWD00000BAJcPYAX","false","SC-000020580","a0qWD00000GWImUYAX","0.0","nRetail__Asset_Schedule","","","","false","","","Asset Schedule","","false","04771600720341875","nRetail__Asset__c"
"a0vWD00000BAJcQYAX","false","SC-000020581","a0qWD00000GWInTYAX","0.0","LLC_BI__Add_Income","","","","false","","","Add Income","","false","05061640791248842","LLC_BI__Income__c"
"a0vWD00000BAJcRYAX","false","SC-000020582","a0qWD00000GWIp0YAH","0.0","LLC_BI__UI_CRA_Action_Taken","","","","false","","","Action Taken","","false","05401575395466377","LLC_BI__Loan__c"
"a0vWD00000BAKGcYAP","false","SC-000022896","a0qWD00000GWIoFYAX","2.0","LLC_BI__Syndication_Summary","","","","false","a0vWD00000BAJdNYAX","LLC_BI__Participations__r","participation records","","false","05631585311472179","LLC_BI__Participation__c"
"a0vWD00000BAGmEYAX","false","SC-000017949","a0qWD00000GWFcHYAX","0.0","LLC_BI__UI_CRA_Action_Taken","","","","false","","","Action Taken","","false","05651585311472159","LLC_BI__Loan__c"
"a0vWD00000BAH6CYAX","false","SC-000019147","a0qWD00000GWFUZYA5","2.0","LLC_BI__UI_HMDA_Demographic_Questions","","","","false","a0vWD00000BAGlWYAX","LLC_BI__Legal_Entities__r","HMDA","","false","05841620937672802","LLC_BI__Legal_Entities__c"
"a0vWD00000BAGmFYAX","false","SC-000017950","a0qWD00000GWFZQYA5","1.01","SBL_Eligibility_Loan","","","","false","","","","","false","05921666029078200","LLC_BI__Loan__c"
