"Id","OwnerId","IsDeleted","Name","nFORCE__Answer_Context__c","nFORCE__App__c","nFORCE__Category__c","nFORCE__Default_Collapse_Parent_Navigation__c","nFORCE__Description__c","nFORCE__Is_Archived__c","nFORCE__Is_Questionnaire__c","nFORCE__Parent_Group__c","nFORCE__Taxonomy_Id__c","nFORCE__lookupKey__c","Description_Custom__c","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","AutorabitExtId__c"
"a0XWE000002lTkN2AU","005al00000RVcKvAAL","false","New Surya Group","","new-surya-group","","false","","false","false","","","42195386599368002","","","","","","","","",""
"a0XWE000002gDSh2AM","005al00000RVcKvAAL","false","HMDA Questionnaire","","HMDA-questionnaire","","false","","false","true","","","42198546854157256","Used in the Compliance Route in the Loan UI","","","","","","","",""
"a0XWE000002lTk62AE","005al00000RVcKvAAL","false","CP UIConfig_QP_Post_Save_RSP","","CP_UIConfig_QP_Post_Save_RSP","","false","","false","false","a0XWE000002lTkI2AU","","42202065405923511","","","","","","","","",""
"a0XWE000002gDQ82AM","005al00000RVcKvAAL","false","Loan - Card","","card","","false","","false","false","","","42203562917068294","","","","","","","","",""
"a0XWE000002gDQ92AM","005al00000RVcKvAAL","false","HMDA Questionnaire","","","","false","","false","true","","","42204668606398303","","","","","","","","",""
"a0XWE000002gDTW2A2","005al00000RVcKvAAL","false","a2B79000000trJg","","","","false","","false","false","","","42206089969663694","","","","","","","","",""
"a0XWE000002gDTK2A2","005al00000RVcKvAAL","false","Relationship","","relationship1","","false","","false","false","","","42209304130978970","","","","","","","","",""
"a0XWE000002gDQA2A2","005al00000RVcKvAAL","false","Small Business Loan Application","","portal-sbl","Online Application","false","","false","false","","","42211622555729637","","","","","","","","",""
"a0XWE000002gDTL2A2","005al00000RVcKvAAL","false","AML/KYC Questionnaire - Personal","Individual Account","","Online Application","false","","false","true","a0XWE000002gDQ62AM","","42215833207150863","","","","","","","","",""
"a0XWE000002gDQB2A2","005al00000RVcKvAAL","false","Debit Card","","tmmg-DebitCard00-00","","false","","false","false","","","42217321655329735","","","","","","","","",""
"a0XWE000002gDQC2A2","005al00000RVcKvAAL","false","Treasury - Wire Transfer","","Wire-Transfer","","false","","false","false","","","42224713564485414","","","","","","","","",""
"a0XWE000002gDQD2A2","005al00000RVcKvAAL","false","FDIC Insurance","","tmmg-FDICInsurance00-00","","false","","false","false","","","42225321829566048","","","","","","","","",""
"a0XWE000002gDSi2AM","005al00000RVcKvAAL","false","Deposit Product Maintenance","","dep-pm","","false","","false","false","","dep-pm","42226489752753856","","","","","","","","",""
"a0XWE000002gDQE2A2","005al00000RVcKvAAL","false","Serv ACH","","tmmg-ServACH00-00","","false","","false","false","","","42226785150003184","","","","","","","","",""
"a0XWE000002gDQF2A2","005al00000RVcKvAAL","false","Account Receivables Conversion","","tmmg-AccountReceivablesConversion00-00","","false","","false","false","","","42231351442612663","","","","","","","","",""
"a0XWE000002gDQG2A2","005al00000RVcKvAAL","false","Online Banking","","tmmg-OnlineBanking00-00","","false","","false","false","","","42243914754947719","","","","","","","","",""
"a0XWE000002gDQH2A2","005al00000RVcKvAAL","false","Relationship - Business","","relationship-business","","false","","false","false","","relationship-business","42245014383349897","","","","","","","","",""
"a0XWE000002gDQI2A2","005al00000RVcKvAAL","false","ODAO- Business KYC","Business Account","odao-bus-kyc","null","false","null","false","true","","odao-bus-kyc","42245829912861432","null","","","","","","","",""
"a0XWE000002gDSj2AM","005al00000RVcKvAAL","false","Individual KYC","","","","false","","false","true","","","42245838511199639","","","","","","","","",""
"a0XWE000002gDQJ2A2","005al00000RVcKvAAL","false","Stop Payment Manual","","tmmg-StopPaymentManual00-00","","false","","false","false","","","42249119661942913","","","","","","","","",""
