"Id","OwnerId","IsDeleted","Name","nFORCE__Api_Value__c","nFORCE__Is_Default__c","nFORCE__Label__c","nFORCE__Order__c","nFORCE__Question__c","nFORCE__lookupKey__c","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate"
"a0eWE0000058rJHYAY","005al00000RVcKvAAL","false","O-002472","","false","Other","9.0","a0gWE000001WJ2oYAG","467425857282544573","","","","","","",""
"a0eWE0000058rJIYAY","005al00000RVcKvAAL","false","O-002473","","false","IOLTA","3.0","a0gWE000001WJ2iYAG","494752993588037502","","","","","","",""
"a0eWE0000058rJJYAY","005al00000RVcKvAAL","false","O-002474","","false","4 - 7 a month","2.0","a0gWE000001WJ2xYAG","505215493787458124","","","","","","",""
"a0eWE0000058rJKYAY","005al00000RVcKvAAL","false","O-002475","","false","Cash Intensive Business","8.0","a0gWE000001WJ2iYAG","507556794774516209","","","","","","",""
"a0eWE0000058rJLYAY","005al00000RVcKvAAL","false","O-002476","","false","Less Than $3,000","1.0","a0gWE000001WJ2yYAG","512363511348985484","","","","","","",""
"a0eWE0000058rJMYAY","005al00000RVcKvAAL","false","O-002477","","false","Yes","1.0","a0gWE000001WIzVYAW","518128084784284489","","","","","","",""
"a0eWE0000058rJNYAY","005al00000RVcKvAAL","false","O-002478","","false","Store credit card","7.0","a0gWE000001WJ2pYAG","526801183900370401","","","","","","",""
"a0eWE0000058rJOYAY","005al00000RVcKvAAL","false","O-002479","","false","Wire transfer","4.0","a0gWE000001WJ31YAG","530219880302449867","","","","","","",""
"a0eWE0000058rJPYAY","005al00000RVcKvAAL","false","O-002480","","false","Yes","1.0","a0gWE000001WJ2wYAG","532937582722614838","","","","","","",""
"a0eWE0000058rJQYAY","005al00000RVcKvAAL","false","O-002481","","false","Yes","1.0","a0gWE000001WIzlYAG","539746559580927279","","","","","","",""
"a0eWE0000058rJRYAY","005al00000RVcKvAAL","false","O-002482","","false","Teller","4.0","a0gWE000001WJ2BYAW","539802785122442882","","","","","","",""
"a0eWE0000058rJSYAY","005al00000RVcKvAAL","false","O-002483","","false","$10,000 - $50,000","3.0","a0gWE000001WJ2sYAG","540689886682522966","","","","","","",""
"a0eWE0000058rJTYAY","005al00000RVcKvAAL","false","O-002484","","false","Credit card","4.0","a0gWE000001WJ2qYAG","551567321107884636","","","","","","",""
"a0eWE0000058rJUYAY","005al00000RVcKvAAL","false","O-002485","","false","No","2.0","a0gWE000001WJ2wYAG","557207226050666434","","","","","","",""
"a0eWE0000058rJVYAY","005al00000RVcKvAAL","false","O-002486","","false","$3,000 - $9,9999","2.0","a0gWE000001WJ2yYAG","599566798274965832","","","","","","",""
"a0eWE0000058rJWYAY","005al00000RVcKvAAL","false","O-002487","","false","more than 7 a month","3.0","a0gWE000001WJ2xYAG","611075652758211628","","","","","","",""
"a0eWE0000058rJXYAY","005al00000RVcKvAAL","false","O-002488","","false","No","2.0","a0gWE000001WJ2uYAG","616489636026228465","","","","","","",""
"a0eWE0000058rJYYAY","005al00000RVcKvAAL","false","O-002489","","false","No","2.0","a0gWE000001WJ2dYAG","617852514921441416","","","","","","",""
"a0eWE0000058rJZYAY","005al00000RVcKvAAL","false","O-002490","","false","4-7 a year","2.0","a0gWE000001WJ2AYAW","621556760902086719","","","","","","",""
"a0eWE0000058rJaYAI","005al00000RVcKvAAL","false","O-002491","","false","Prof Service Provider","9.0","a0gWE000001WJ2iYAG","627056881603596477","","","","","","",""
"a0eWE0000058rJbYAI","005al00000RVcKvAAL","false","O-002492","","false","Greater than 1 year","2.0","a0gWE000001WJ2fYAG","628719476632075230","","","","","","",""
"a0eWE0000058rJcYAI","005al00000RVcKvAAL","false","O-002493","","false","$5.001 million - $10 million","4.0","a0gWE000001WJ2bYAG","628865177794377663","","","","","","",""
"a0eWE0000058rJdYAI","005al00000RVcKvAAL","false","O-002494","","false","Credit Card","3.0","a0gWE000001WJ2pYAG","630111282532492432","","","","","","",""
"a0eWE0000058rJeYAI","005al00000RVcKvAAL","false","O-002495","","false","Savings","3.0","a0gWE000001WJ2hYAG","638619375410870000","","","","","","",""
"a0eWE0000058rJfYAI","005al00000RVcKvAAL","false","O-002496","","false","Online Bill Pay","6.0","a0gWE000001WJ2qYAG","650843030964174921","","","","","","",""
"a0eWE0000058rJgYAI","005al00000RVcKvAAL","false","O-002497","","false","250,001 - 500,000","2.0","a0gWE000001WJ2cYAG","675063243756540792","","","","","","",""
"a0eWE0000058rJhYAI","005al00000RVcKvAAL","false","O-002498","","false","Text or SMS","2.0","a0gWE000001WJ2oYAG","704751626503713071","","","","","","",""
"a0eWE0000058rJiYAI","005al00000RVcKvAAL","false","O-002499","","false","Wire transfer","5.0","a0gWE000001WJ2BYAW","717138444548602790","","","","","","",""
"a0eWE0000058rJjYAI","005al00000RVcKvAAL","false","O-002500","","false","Greater than $50,000","4.0","a0gWE000001WJ2sYAG","720678118639398061","","","","","","",""
"a0eWE0000058rJkYAI","005al00000RVcKvAAL","false","O-002501","","false","Check","2.0","a0gWE000001WJ2pYAG","730947945060674094","","","","","","",""
