"Id","OwnerId","IsDeleted","Name","nFORCE__App__c","nFORCE__Body__c","nFORCE__Group__c","nFORCE__Icon_Class__c","nFORCE__Is_Hidden__c","nFORCE__Navigation__c","nFORCE__Order__c","nFORCE__Parent_App__c","nFORCE__Screen__c","nFORCE__Sub_Navigation__c","nFORCE__Toolbar__c","nFORCE__Topbar__c","nFORCE__lookupKey__c","AutorabitExtId__c","nFORCE__Taxonomy_Id__c","nFORCE__Parameters__c","nFORCE__Body_Type__c","nFORCE__Description__c"
"a2EKU0000004p652AA","0058c00000BxeO9AAJ","false","Balance Details","loan-post-balance-details2-lob-pwc","nforce__ncdatagrid","","n-icon-loan","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E3k00000lQgJSEA0","","","","",""
"a2EKU0000004p642AA","0058c00000BxeO9AAJ","false","Payment Structure","loan-post-payment-structure2-lob-pwc","llc_bi__paymentstructure","","n-icon-loan","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E3k00000lQgJTEA0","","","","",""
"a2EKU0000004p632AA","0058c00000BxeO9AAJ","false","Rate Structure","lob-loan-post-rate-structure2-lob-pwc","llc_bi__ratestructure","","n-icon-loan","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E3k00000lQgJUEA0","","","","",""
"a2EKU0000004p472AA","0058c00000BxeO9AAJ","false","Pre Approval","lob-loan-post-loanstagedet-lob-pwc","nforce__ncdatagrd","","","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E3k00000lQgJYEA0","","","","",""
"a2EKU0000004p692AA","0058c00000BxeO9AAJ","false","Qualification","loan-post-qualification-lob-pwc","nforce__ncdatagrid","","","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E3k00000lQgJZEA0","","","","",""
"a2EKU0000004p802AA","0058c00000BxeO9AAJ","false","Credit Underwriting","loan-post-credit-underwriting -lob-pwc","nforce__ncdatagrid","","","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E3k00000lQgJbEAK","","","","",""
"a2EKU0000004p7S2AQ","0058c00000BxeO9AAJ","false","Credit","loanbooked-stage-proc-lob-pwc","nforce__ncdatagrid","","","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E3k00000lQgJcEAK","","","","",""
"a2EKU0000004p6Z2AQ","0058c00000BxeO9AAJ","false","Doc Prep","loanbooked-stage-docprep-lob-pwc","nforce__ncdatagrid","","","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E3k00000lQgJdEAK","","","","",""
"a2EKU0000004p7Y2AQ","0058c00000BxeO9AAJ","false","Generate Credit Memo","action-generate-credit-memo1-lob-pwc","nFORMS__NewFormGenerator","","","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E3k00000lQgJhEAK","","","form_purpose=Credit Memo","",""
"a2EKU0000004p4g2AA","0058c00000BxeO9AAJ","false","Modification Category","modification-category-m-lob-pwc","nforce__ncdatagrid","","n-icon-loan","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E3k00000lQgJqEAK","","","","",""
"a2EKU0000004p3p2AA","0058c00000BxeO9AAJ","false","Loan Mod Comparison","loan-amount-change-m-lob-pwc","nforce__ncdatagrid","","n-icon-loan","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E3k00000lQgJrEAK","","","","",""
"a2EKU0000004p3q2AA","0058c00000BxeO9AAJ","false","Construction","lob-loan-pre-construction-lob-pwc","nforce__ncdatagrid","","","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E3k00000lb7kcEAA","","","","",""
"a2EKU0000004p5m2AA","0058c00000BxeO9AAJ","false","Venture Banking","loan-pre-venture-lob-pwc","nforce__ncdatagrid","","","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E3k00000lb7kdEAA","","","","",""
"a2EKU0000004p7h2AA","0058c00000BxeO9AAJ","false","Final Collateral Review","loan-fcr1-lob-pwc","nforce__ncdatagrid","","","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E3k00000lb7keEAA","","","","",""
"a2EKU0000004p4t2AA","0058c00000BxeO9AAJ","false","Industry Specific Information","lob-loan-industry-specific-information-lob-pwc","nforce__ncdatagrid","","","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E3k00000lb7kgEAA","","","","",""
"a2EKU0000004p7o2AA","0058c00000BxeO9AAJ","false","Seller/Partner Debt","seller-debt-m-lob-pwc","nforce__ncrelatedlist","","n-icon-loan","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E3k00000lb7kiEAA","","","","",""
"a2EKU0000004p5v2AA","0058c00000BxeO9AAJ","false","Certifications","comp-certifications-lob-pwc","nforce__ncdatagrid","","n-icon-hmda","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E3k00000lb9S8EAI","","","","",""
"a2EKU0000004p5n2AA","0058c00000BxeO9AAJ","false","Modification Category Summary","modification-category-after-lob-pwc","nforce__ncdatagrid","","n-icon-loan","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E3k00000lb9S9EAI","","","","",""
"a2EKU0000004p4h2AA","0058c00000BxeO9AAJ","false","Ongoing Fees","ongoing-fee1-lob-pwc","nforce__ncrelatedlist","","","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E3k00000lb9SAEAY","","","","",""
"a2EKU0000004p6K2AQ","0058c00000BxeO9AAJ","false","Processing","lob-loan-pre-processing-lob-pwc","nforce__ncdatagrid","","","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E3k00000lb9SCEAY","","","","",""
"a2EKU0000004p7T2AQ","0058c00000BxeO9AAJ","false","Processing","lob-loan-post-processing-lob-pwc","nforce__ncdatagrid","","","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E3k00000lb9SDEAY","","","","",""
"a2EKU0000004p432AA","0058c00000BxeO9AAJ","false","Change of Ownership","sba-change-of-ownership-parent-lob-pwc","nforce__ncrelatedtable","","n-icon-misc19","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E3k00000lb9SIEAY","","","","",""
"a2EKU0000004p7i2AA","0058c00000BxeO9AAJ","false","Modification Categories","mod-cat-parent-lob-pwc","nforce__ncdatagrid","","n-icon-hmda","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E3k00000lb9SJEAY","","","","",""
"a2EKU0000004owW2AQ","0058c00000BxeO9AAJ","false","Booked Information","booked-information-approved-ts","nforce__ncdatagrid","","n-icon-loan","false","nforce__navigation","","","a2GKU0000004W9x2AE","nforce__sub_navigation","","nforce__topbar","a2E4S0000008zNXUAY","","booked-information-approved-ts","","",""
"a2EKU0000004ouK2AQ","0058c00000BxeO9AAJ","false","Additional Info","dep-additional-info","nPORTAL__PortalQuestionnaire","","","false","nPORTAL_ApplicationNavigation","","","","","","nPORTAL__LoanTopbar","a2E4S00000097IbUAI","","dep-additional-info","","",""
"a2EKU0000004ouf2AA","0058c00000BxeO9AAJ","false","Account Structure & Roles - Read Only","pc-account-structure-and-roles-read-only","llc_bi__multitierinvolvement","","","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__nctopbar","a2E4S0000009GbfUAE","","pc-account-structure-and-roles-read-only","isReadOnly=true","Visualforce Page",""
"a2EKU0000004owA2AQ","0058c00000BxeO9AAJ","false","Application Details","retail-application-details-read-only","nretail__applicationdetails","","","false","nFORCE__navigation","","","a2GKU0000004WD32AM","nFORCE__sub_navigation","","nforce__nctopbar","a2E4S0000009JKeUAM","","retail-application-details-read-only","routeTerms=true;tabs=true;","Visualforce Page","This Productized route is the retail template for the Application Details route. Users clone this route to reduce configuration and implementation time."
"a2EKU0000004ov02AA","0058c00000BxeO9AAJ","false","Offers","retail-loan-ui-offers","llc_bi__offers","","","false","nFORCE__navigation","","","","nretail__blank","","nforce__topbar","a2E4S0000009JLGUA2","","retail-loan-ui-offers","","Visualforce Page","This productized route is the retail template for the Offers route. Users clone this route to reduce configuration and implementation time."
"a2EKU0000004owk2AA","0058c00000BxeO9AAJ","false","Borrowing Strucutre","retail-loan--post-approval-ui-credit-authorization-joint-intent","nforce__korelatedtable","","","false","nforce__navigation","","","a2GKU0000004WDR2A2","nforce__sub_navigation","","nforce__topbar","a2E4S0000009NiSUAU","","retail-loan--post-approval-ui-credit-authorization-joint-intent","","Visualforce Page",""
"a2EKU0000004ovY2AQ","0058c00000BxeO9AAJ","false","Underwriters Offers","retail-loan-ui-offers-UW","llc_bi__offers","","","false","nFORCE__navigation","","","","nretail__blank","","nforce__topbar","a2E4S0000009Ns5UAE","","retail-loan-ui-offers-UW","","Visualforce Page",""
"a2EKU0000004oxb2AA","0058c00000BxeO9AAJ","false","Booked Information","booked-information-approved-m","nforce__ncdatagrid","","n-icon-loan","false","nforce__navigation","","","a2GKU0000004W9x2AE","nforce__sub_navigation","","nforce__topbar","a2E4W000005C2jMUAS","","","","",""
"a2EKU0000004oxc2AA","0058c00000BxeO9AAJ","false","Balance Details","balance-information-approved-m","nforce__ncdatagrid","","n-icon-loan","false","nforce__navigation","","","a2GKU0000004W9w2AE","nforce__sub_navigation","","nforce__topbar","a2E4W000005C2jQUAS","","","","",""
"a2EKU0000004oxd2AA","0058c00000BxeO9AAJ","false","Payment Structure","payment-structure-approved-m","llc_bi__paymentstructure","","n-icon-loan","false","nforce__navigation","","","a2GKU0000004W9S2AU","nforce__sub_navigation","","nforce__topbar","a2E4W000005C2jRUAS","","","","",""
"a2EKU0000004oxe2AA","0058c00000BxeO9AAJ","false","Rate Structure","rate-structure-approved-m","llc_bi__ratestructure","","n-icon-loan","false","nforce__navigation","","","a2GKU0000004W9R2AU","nforce__sub_navigation","","nforce__topbar","a2E4W000005C2jSUAS","","","","",""
"a2EKU0000004oxf2AA","0058c00000BxeO9AAJ","false","Editable Fields","editable-fields-approval-m","nforce__ncdatagrid","","n-icon-loan","false","nforce__navigation","","","a2GKU0000004WAM2A2","nforce__sub_navigation","","nforce__topbar","a2E4W000005C2jYUAS","","","","",""
"a2EKU0000004oz62AA","0058c00000BxeO9AAJ","false","Team","pp-sn-team-lob-pwc1","nforce__korelatedlist","","","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E55000001jGY5EAM","","","","",""
"a2EKU0000004p3v2AA","0058c00000BxeO9AAJ","false","Pricing Options","pricing-options-pre-lob-pwc","nforce__ncrelatedlist","","","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E750000004DimEAE","","","","",""
"a2EKU0000004p5a2AA","0058c00000BxeO9AAJ","false","Generate Pre-Flight Memo","action-generate-preflight-memo-lob-pwc","nFORMS__NewFormGenerator","","n-icon-credit_memo","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E750000004DpFEAU","","","form_purpose=Credit Memo","",""
"a2EKU0000004p5b2AA","0058c00000BxeO9AAJ","false","Team","pp-sn-team-child-lob-pwc","nforce__ncrelatedlist","","","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E750000004EHkEAM","","","","",""
"a2EKU0000004p7p2AA","0058c00000BxeO9AAJ","false","TDR","lob-pre-tdr-lob-pwc","nforce__ncdatagrid","","","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E750000004ELlEAM","","","","",""
"a2EKU0000004p6A2AQ","0058c00000BxeO9AAJ","false","TDR","post-tdr-lob-pwc","nforce__ncdatagrid","","","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E750000004ELqEAM","","","","",""
"a2EKU0000004p8Y2AQ","0058c00000BxeO9AAJ","false","Assign Team","pp-sn-assign-team-lob-pwc","nforce__ncdatagrid","","","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E750000004Eh9EAE","","","","",""
"a2EKU0000004p6l2AA","0058c00000BxeO9AAJ","false","PDF Documents","sba-document-generate-lob-pwc","llc_bi__docusignreview","","n-icon-offer","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E750000004EwYEAU","","","","",""
"a2EKU0000004p6m2AA","0058c00000BxeO9AAJ","false","Status","lob-document-generate-status-lob-pwc","llc_bi__docusignreview","","n-icon-offer","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E750000004EwdEAE","","","","",""
"a2EKU0000004p7q2AA","0058c00000BxeO9AAJ","false","Generate","sba-document-generate-1-lob-pwc","llc_bi__docusigngenerate","","n-icon-offer","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E750000004EwnEAE","","","","",""
"a2EKU0000004p5w2AA","0058c00000BxeO9AAJ","false","Return","sba-document-generate-return-lob-pwc","llc_bi__docusignreturn","","n-icon-offer","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E750000004EwxEAE","","","","",""
"a2EKU0000004p6z2AA","0058c00000BxeO9AAJ","false","Loan Application","loan-post-loan-application-lob-pwc","nforce__ncdatagrid","","n-icon-loan","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E750000004FIpEAM","","","","",""
"a2EKU0000004p702AA","0058c00000BxeO9AAJ","false","Unavailable Credit","lob-loan-post-unavailable-credit","nforce__korelatedlistchild","","n-icon-loan","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E750000004FIuEAM","","","","",""
"a2EKU0000004p7r2AA","0058c00000BxeO9AAJ","false","SBA Application","sba-application-pre-lob-pwc","nforce__ncdatagrid","","n-icon-loan","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E750000004HE0EAM","","","","",""
"a2EKU0000004p502AA","0058c00000BxeO9AAJ","false","SBA Application","sba-application-post-lob-pwc","nforce__ncdatagrid","","n-icon-loan","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E750000004HE5EAM","","","","",""
"a2EKU0000004p6B2AQ","0058c00000BxeO9AAJ","false","Due Diligence","post-appr-due-diligence-lob-pwc","nforce__ncdatagrid","","","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E750000004HNoEAM","","","","",""
"a2EKU0000004p5M2AQ","0058c00000BxeO9AAJ","false","Post Approval","post-approval-booked-lob-pwc","nforce__ncdatagrid","","","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E750000004HP6EAM","","","","",""
"a2EKU0000004p5c2AA","0058c00000BxeO9AAJ","false","Approvals","pp-approvals-lob-pwc","nforce__ncdatagrid","","","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E750000004Hg5EAE","","","","",""
"a2EKU0000004p832AA","0058c00000BxeO9AAJ","false","PDF Documents","sba-document-generate-post-lob-pwc","llc_bi__docusignreview","","n-icon-offer","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E750000004HiGEAU","","","","",""
"a2EKU0000004p512AA","0058c00000BxeO9AAJ","false","Generate","sba-document-generate-post-1-lob-pwc","llc_bi__docusigngenerate","","n-icon-offer","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E750000004HiLEAU","","","","",""
"a2EKU0000004p482AA","0058c00000BxeO9AAJ","false","Status","document-generate-status-post-lob-pwc","llc_bi__docusignreview","","n-icon-offer","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E750000004HiMEAU","","","","",""
"a2EKU0000004p5N2AQ","0058c00000BxeO9AAJ","false","Manage Fees","loan-manage-fees-m-booked-lob-pwc","nforce__korelatedlist","","","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E750000004HkWEAU","","","","",""
"a2EKU0000004p7J2AQ","0058c00000BxeO9AAJ","false","Manage Fees","sba-manage-fees-booked-lob-pwc","llc_bi__manageloanfees","","","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E750000004HkbEAE","","","","",""
