"Id","IsDeleted","Name","nFORCE__Screen__c","nFORCE__Break_Page_After__c","nFORCE__Break_Page_Before__c","nFORCE__Default_Editable__c","nFORCE__Default_Rendered__c","nFORCE__Disable_Print__c","nFORCE__Display_Order__c","nFORCE__Display_Toggle_Effect__c","nFORCE__Display_Toggle_Header__c","nFORCE__Display_Toggle_Link__c","nFORCE__Headless__c","nFORCE__Inactive__c","nFORCE__Instructions_Text__c","nFORCE__Is_Editable__c","nFORCE__Layout__c","nFORCE__Section_Resource__c","nFORCE__Widget__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Display_Input_Address_Component__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Parent_Screen_Section__c","nFORCE__Number_of_Columns__c","Custom_Code_in_Screen_Section__c","nFORCE__Are_Columns_Sortable__c","nFORCE__Auto_Save__c","nFORCE__Validation_Service__c","AutorabitExtId__c"
"a2FKU0000004vrJ2AQ","false","Manual Underwriting","a2GKU0000004WCW2A2","false","false","true","false","false","10.0","slide","true","false","false","false","","true","","MappedSObjectScreenResource","","15091663700625423","LLC_BI__Loan__c","false","false","","","","","false","false","","a2FKa000000SDiIMAW"
"a2FKU0000004vxC2AQ","false","Total Exposure Summary","a2GKU0000004W932AE","false","false","false","true","false","0.0","slide","true","false","false","false","","false","","MappedSObjectScreenResource","","15191562008947390","Account","false","false","","","6.0","","false","false","","a2FKa000000SDoLMAW"
"a2FKU0000004voY2AQ","false","Editable Fields","a2GKU0000004WAx2AM","false","false","true","true","false","","slide","true","false","false","false","","true","","MappedSObjectScreenResource","","15201619447515181","LLC_BI__Loan__c","false","false","","","","","false","false","","a2FKa000000SDfRMAW"
"a2FKU0000004vli2AA","false","Budget Details","a2GKU0000004WBO2A2","false","false","true","true","false","1.0","slide","true","false","false","false","","true","","MappedSObjectScreenResource","","15241620937672168","LLC_BI__Loan__c","false","false","","","","","false","false","","a2FKa000000SDcUMAW"
"a2FKU0000004vqZ2AQ","false","Loan Details","a2GKU0000004W9z2AE","false","false","false","true","false","0.0","slide","true","false","false","false","","false","","MappedSObjectScreenResource","","15271585604341050","LLC_BI__Loan__c","false","false","","","","","false","false","","a2FKa000000SDhWMAW"
"a2FKU0000004vmL2AQ","false","Connection for Others Involved MRF","a2GKU0000004WCg2AM","false","false","false","false","false","2.0","slide","true","false","false","false","","true","","MappedSObjectScreenResource","","16441666029075350","LLC_BI__Connection__c","false","false","","","","","false","false","","a2FKa000000SDd9MAG"
"a2FKU0000004vu92AA","false","Payment Structure","a2GKU0000004WBU2A2","false","false","true","true","false","1.0","slide","true","false","false","false","","false","","MappedSObjectScreenResource","","16731620937672159","LLC_BI__Loan__c","false","false","","","","","false","false","","a2FKa000000SDlAMAW"
"a2FKU0000004vlh2AA","false","Budget Details","a2GKU0000004WAp2AM","false","false","true","true","false","1.0","slide","true","false","false","false","","true","","MappedSObjectScreenResource","","18181619447515179","LLC_BI__Loan__c","false","false","","","","","false","false","","a2FKa000000SDcTMAW"
"a2FKU0000004vxw2AA","false","UI Related Pledged Collateral Schedule","a2GKU0000004W9E2AU","false","false","false","false","false","","slide","true","false","false","false","","true","","MappedSObjectScreenResource","","18431563816286645","LLC_BI__Loan_Collateral2__c","false","false","","","","","false","false","","a2FKa000000SDp5MAG"
"a2FKU0000004vuY2AQ","false","Pricing Fields Required","a2GKU0000004WB22AM","false","false","false","true","false","1.0","slide","true","false","false","false","","false","","MappedSObjectScreenResource","","18731620937672157","LLC_BI__Loan__c","false","false","","","","","false","false","","a2FKa000000SDlcMAG"
"a2FKU0000004vm32AA","false","Change Memo","a2GKU0000004WB52AM","false","false","false","true","false","0.0","slide","true","false","false","false","","false","","MappedSObjectHierarchyScreenResource","","19051620937672160","LLC_BI__Loan__c","false","false","","","","","false","false","","a2FKa000000SDcpMAG"
"a2FKU0000004voU2AQ","false","Editable","a2GKU0000004W9O2AU","false","false","true","true","false","2.0","slide","true","false","false","false","","true","","MappedSObjectScreenResource","","19341585604341051","LLC_BI__Loan__c","false","false","","","","","false","false","","a2FKa000000SDfNMAW"
"a2FKU0000004vmy2AA","false","DEP Primary Identification - Business Application - co-owner","a2GKU0000004WCz2AM","false","false","false","false","false","1900.0","slide","true","false","false","false","","true","","MappedSObjectScreenResource","","20271598553323930","Contact","false","false","","","","","false","false","","a2FKa000000SDdoMAG"
"a2FKU0000004vw32AA","false","SBL Existing Customer? Hidden (Primary Applicant)","a2GKU0000004WCb2AM","false","false","true","false","false","0.0","slide","true","false","false","false","","true","","MappedSObjectScreenResource","","20971666029075341","Contact","false","false","","","","","false","false","","a2FKa000000SDn9MAG"
"a2FKU0000004vwY2AQ","false","Secured RL Eligibility Loan","a2GKU0000004WDI2A2","false","false","true","false","false","0.0","slide","true","false","false","false","","true","","MappedSObjectListScreenResource","","21701602078251511","LLC_BI__Loan__c","false","false","","","","","false","false","","a2FKa000000SDnfMAG"
"a2FKU0000004vm92AA","false","Collateral Pledged","a2GKU0000004W9c2AE","false","false","false","true","false","1.0","slide","true","false","false","false","","true","","MappedSObjectHierarchyScreenResource","","21901585604341049","LLC_BI__Loan__c","false","false","","","","","false","false","","a2FKa000000SDcxMAG"
"a2FKU0000004vwz2AA","false","Team Members","a2GKU0000004WAZ2A2","false","false","false","true","false","0.0","slide","true","false","false","false","","false","","MappedSObjectHierarchyScreenResource","","22181619447515172","LLC_BI__Loan__c","false","false","","","","","false","false","","a2FKa000000SDo8MAG"
"a2FKU0000004vmF2AQ","false","Collateral Value","a2GKU0000004W9d2AE","false","false","true","true","false","1.0","slide","true","false","false","false","","true","","MappedSObjectHierarchyScreenResource","","22621585604341049","LLC_BI__Loan__c","false","false","","","","","false","false","","a2FKa000000SDd3MAG"
"a2FKU0000004vmn2AA","false","Credit Check","a2GKU0000004WCi2AM","false","false","false","false","false","0.0","slide","true","false","false","false","","true","","MappedSObjectScreenResource","","22921666029075352","LLC_BI__Loan__c","false","false","","","","","false","false","","a2FKa000000SDdbMAG"
