"Id","OwnerId","IsDeleted","Name","nFORCE__App__c","nFORCE__lookupKey__c","nFORCE__Default_Collapse_Parent_Navigation__c","nFORCE__Is_Archived__c","nFORCE__Is_Questionnaire__c","nFORCE__Parent_Group__c","nFORCE__Screen__c","nFORCE__Taxonomy_Id__c","nFORCE__Category__c","nFORCE__Layout__c","nFORCE__Answer_Context__c","Description_Custom__c","nFORCE__Description__c","AutorabitExtId__c"
"a2BKU0000009wwt2AA","0058c00000BxeO9AAJ","false","Loan - AIP","loanaip","42398283041360706","false","false","false","","a2GKU0000004WEi2AM","","","","","","",""
"a2BKU0000009wwf2AA","0058c00000BxeO9AAJ","false","Direct File Transfer","tmmg-DirectFileTransfer00-00","42399496430100930","false","false","false","","a2GKU0000004WEX2A2","","","","","","",""
"a2BKU0000009wwE2AQ","0058c00000BxeO9AAJ","false","ARP Transmission","tmmg-ARPTransmission00-00","42399751678976428","false","false","false","","a2GKU0000004WE52AM","","","","","","",""
"a2BKU0000009wvl2AA","0058c00000BxeO9AAJ","false","HVCRE","","42401373803190352","false","false","true","","","","","","","","",""
"a2BKU0000009wwx2AA","0058c00000BxeO9AAJ","false","Residential Mortgage Application","res-mtg-app","42402157446193753","false","false","false","","","","","","","","",""
"a2BKU0000009wu02AA","0058c00000BxeO9AAJ","false","Reg O Loan Questionnaire","Reg-O-Loan-Questionnaire","42403246748782453","false","false","true","","","","","","","","",""
"a2BKU0000009wum2AA","0058c00000BxeO9AAJ","false","zzzMASTER-Loan - Consumer","m-consumer","42410464651584665","false","false","false","","","m-consumer","","","","PSO Clone - Not Used","",""
"a2BKU0000009wvb2AA","0058c00000BxeO9AAJ","false","Portal Individual KYC","","42425994517788887","false","false","true","","","","","","Individual Account","","",""
"a2BKU0000009wxC2AQ","0058c00000BxeO9AAJ","false","Loan - Collections","loancollections","42427172045709198","false","false","false","","","","","","","","",""
"a2BKU0000009wwQ2AQ","0058c00000BxeO9AAJ","false","Pre-Encoded Checks","tmmg-PreEncodedChecks00-00","42431184923650199","false","false","false","","a2GKU0000004WEI2A2","","","","","","",""
"a2BKU0000009wxj2AA","0058c00000BxeO9AAJ","false","PPP Internal UI MIgration Group","ppp-internal-ui-migration","42433473118660760","false","false","false","","","","","","","","",""
"a2BKU0000009wue2AA","0058c00000BxeO9AAJ","false","zzzMASTER-Loan - Default","m-loan-default","42437678991602102","false","false","false","","","m-loan-default","","","","PSO Clone - Not Used","",""
"a2BKU0000009wuk2AA","0058c00000BxeO9AAJ","false","MASTER-Loan - Commercial","m-commercial","42444854997057659","false","false","false","","","m-commercial","","","","","",""
"a2BKU0000009wul2AA","0058c00000BxeO9AAJ","false","zzzMASTER-Loan - Card","m-card","42454587536386082","false","false","false","","","m-card","","","","PSO Clone - Not Used","",""
"a2BKU0000009wxU2AQ","0058c00000BxeO9AAJ","false","Modifications","mod-ques","42458316506614920","false","false","true","","","","","","","","",""
"a2BKU0000009wvx2AA","0058c00000BxeO9AAJ","false","Overdraft Protection","tmmg-OverdraftProtection00-00","42489799916656404","false","false","false","","a2GKU0000004WDo2AM","","","","","","",""
"a2BKU0000009wup2AA","0058c00000BxeO9AAJ","false","DocuSign","docusign","42493559830866569","false","false","false","","","docusign","","","","","",""
