"Id","IsDeleted","Name","nFORCE__Screen__c","nFORCE__Are_Columns_Sortable__c","nFORCE__Auto_Save__c","nFORCE__Break_Page_After__c","nFORCE__Break_Page_Before__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Editable__c","nFORCE__Default_Rendered__c","nFORCE__Disable_Print__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Display_Input_Address_Component__c","nFORCE__Display_Order__c","nFORCE__Display_Toggle_Effect__c","nFORCE__Display_Toggle_Header__c","nFORCE__Display_Toggle_Link__c","nFORCE__Headless__c","nFORCE__Inactive__c","nFORCE__Instructions_Text__c","nFORCE__Is_Editable__c","nFORCE__Layout__c","nFORCE__Number_of_Columns__c","nFORCE__Optional_Configuration__c","nFORCE__Parent_Screen_Section__c","nFORCE__Section_Resource__c","nFORCE__Validation_Service__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","Custom_Code_in_Screen_Section__c","AutorabitExtId__c","nFORCE__Screen_View__c","nFORCE__Widget__c","nPortal__Portal_Header_Text__c","nPortal__Portal_Subheader_Text__c"
"a0qWD00000GT97oYAD","false","Loan Information","a0sWD00000XoC56YAF","false","false","false","false","","false","true","false","false","false","0.0","slide","true","false","false","false","","false","","","","","MappedSObjectScreenResource","","a2F5g0000000G6sEAE","LLC_BI__Loan__c","","","","","",""
"a0qWD00000GT97pYAD","false","Loan Information","a0sWD00000XoC68YAF","false","false","false","false","","true","false","false","false","false","0.0","slide","true","false","false","false","","false","","","","","MappedSObjectScreenResource","","a2F5g0000000G6tEAE","LLC_BI__Loan__c","","","","","",""
"a0qWD00000GT97qYAD","false","Loan Information","a0sWD00000XoC5pYAF","false","false","false","false","","true","true","false","false","false","0.0","slide","true","false","false","false","","true","","","","","MappedSObjectScreenResource","","a2F5g0000000G6uEAE","LLC_BI__Loan__c","","","","","",""
"a0qWD00000GT97rYAD","false","Loan Information","a0sWD00000XoC5xYAF","false","false","false","false","","true","false","false","false","false","0.0","slide","true","false","false","false","","true","","","","","MappedSObjectScreenResource","","a2F5g0000000G6vEAE","LLC_BI__Loan__c","","","","","",""
"a0qWD00000GT97sYAD","false","Loan Information","a0sWD00000XoC5vYAF","false","false","false","false","","true","false","false","false","false","1.0","slide","true","false","false","false","","true","","","","","MappedSObjectScreenResource","","a2F5g0000000G6xEAE","LLC_BI__Loan__c","","","","","",""
"a0qWD00000GT97tYAD","false","Loan Lifecycle","a0sWD00000XoC5uYAF","false","false","false","false","","true","false","false","false","false","4.0","slide","true","false","false","false","","true","","","","","MappedSObjectScreenResource","","a2F5g0000000G6zEAE","LLC_BI__Loan__c","","","","","",""
"a0qWD00000GT97uYAD","false","Loan Officer Details","a0sWD00000XoC5mYAF","false","false","false","false","","true","true","false","false","false","6.0","slide","true","false","false","false","","true","","","","","MappedSObjectScreenResource","","a2F5g0000000G70EAE","LLC_BI__Loan__c","","","","","",""
"a0qWD00000GT97vYAD","false","Loan Packager Information","a0sWD00000XoC5SYAV","false","false","false","false","","true","true","false","false","false","1.0","slide","true","false","false","false","","true","","","","","MappedSObjectScreenResource","","a2F5g0000000G71EAE","LLC_BI__Loan__c","","","","","",""
"a0qWD00000GT97wYAD","false","Loan Products","a0sWD00000XoC69YAF","false","false","false","false","","false","true","false","false","false","1.0","slide","true","false","false","false","","false","","","","","ReferenceFilteredHierarchyScreenResource","","a2F5g0000000G72EAE","Account","","","","","",""
"a0qWD00000GT97xYAD","false","Loan Products","a0sWD00000XoC6AYAV","false","false","false","false","","true","false","false","false","false","1.0","slide","true","false","false","false","","true","","","","","ReferenceFilteredHierarchyScreenResource","","a2F5g0000000G73EAE","Account","","","","","",""
