"Id","IsDeleted","Name","LastViewedDate","LastReferencedDate","nFORCE__Screen__c","nFORCE__Are_Columns_Sortable__c","nFORCE__Auto_Save__c","nFORCE__Break_Page_After__c","nFORCE__Break_Page_Before__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Editable__c","nFORCE__Default_Rendered__c","nFORCE__Disable_Print__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Display_Input_Address_Component__c","nFORCE__Display_Order__c","nFORCE__Display_Toggle_Effect__c","nFORCE__Display_Toggle_Header__c","nFORCE__Display_Toggle_Link__c","nFORCE__Headless__c","nFORCE__Inactive__c","nFORCE__Instructions_Text__c","nFORCE__Is_Editable__c","nFORCE__Number_of_Columns__c","nFORCE__Optional_Configuration__c","nFORCE__Parent_Screen_Section__c","nFORCE__Section_Resource__c","nFORCE__Validation_Service__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","Custom_Code_in_Screen_Section__c","AutorabitExtId__c"
"a0qWD00000GT9ZWYA1","false","Collateral Search Results","","","a0sWD00000XoCL3YAN","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42341236978633924","LLC_BI__Collateral__c","",""
"a0qWD00000GSmiLYAT","false","Collateral Valuation","","","a0sWD00000Xnse1YAB","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42349998591038546","LLC_BI__Collateral__c","",""
"a0qWD00000GSmiMYAT","false","Collateral Search Results","","","a0sWD00000XnseDYAR","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42355584328676920","LLC_BI__Collateral__c","",""
"a0qWD00000GSmiNYAT","false","Collateral Search Results","","","a0sWD00000Xnse5YAB","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42372503340940549","LLC_BI__Collateral__c","",""
"a0qWD00000GTAOwYAP","false","Collateral Search Results","","","a0sWD00000XoBs3YAF","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42384811655248690","LLC_BI__Collateral__c","",""
"a0qWD00000GSmiOYAT","false","Collateral Search Results","","","a0sWD00000XnseCYAR","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42400804380149719","LLC_BI__Collateral__c","",""
"a0qWD00000GSmiPYAT","false","Collateral Search Results","","","a0sWD00000XnsdxYAB","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42407198864532806","LLC_BI__Collateral__c","",""
"a0qWD00000GSLXTYA5","false","Collateral Details","","","a0sWD00000XoCL3YAN","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","true","","true","","","","MappedSObjectScreenResource","","42408547330158687","LLC_BI__Loan_Collateral2__c","",""
"a0qWD00000GSmiQYAT","false","Collateral Valuation","","","a0sWD00000Xnse6YAB","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42424425548316676","LLC_BI__Collateral__c","",""
"a0qWD00000GTAQAYA5","false","Collateral Search Results","","","a0sWD00000XoBp1YAF","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42432403086099581","LLC_BI__Collateral__c","",""
"a0qWD00000GSmiRYAT","false","Collateral Valuation","","","a0sWD00000XnseEYAR","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42438109294881857","LLC_BI__Collateral__c","",""
"a0qWD00000GSmiSYAT","false","Collateral Search Results","","","a0sWD00000XnsdsYAB","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42445991943016780","LLC_BI__Collateral__c","",""
"a0qWD00000GSmiTYAT","false","Bulk Pledge Details","","","a0sWD00000XnseFYAR","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42452419303364976","LLC_BI__Loan_Collateral2__c","",""
"a0qWE00000U6tVJYAZ","false","Bulk Pledge Details","","","a0sWE000002XbSpYAK","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","false","","","","CustomSObjectListScreenResource","","42454779293648926","LLC_BI__Loan_Collateral2__c","",""
"a0qWD00000GTAQlYAP","false","Bulk Pledge Details","","","a0sWD00000XoBp1YAF","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42457559416603645","LLC_BI__Loan_Collateral2__c","",""
"a0qWD00000GSmiUYAT","false","Bulk Pledge Details","","","a0sWD00000XnsdtYAB","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42495836968262912","LLC_BI__Loan_Collateral2__c","",""
"a0qWE00000U6tVKYAZ","false","Bulk Pledge Details","","","a0sWE000002XbSrYAK","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","false","","","","CustomSObjectListScreenResource","","42509203893626548","LLC_BI__Loan_Collateral2__c","",""
"a0qWE00000U6tVLYAZ","false","Bulk Pledge Details","","","a0sWE000002XbSuYAK","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","false","","","","CustomSObjectListScreenResource","","42515462000878584","LLC_BI__Loan_Collateral2__c","",""
"a0qWD00000GTAU8YAP","false","Collateral Search Results","","","a0sWD00000XoBstYAF","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42522946735389811","LLC_BI__Collateral__c","",""
"a0qWD00000GSmiVYAT","false","Collateral Valuation","","","a0sWD00000Xnse0YAB","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42556818826445827","LLC_BI__Collateral__c","",""
"a0qWD00000GSc2UYAT","false","Pledge Details","","","a0sWD00000XnseAYAR","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","true","","true","","","","MappedSObjectScreenResource","","42560036649135156","LLC_BI__Loan_Collateral2__c","",""
"a0qWD00000GSmiWYAT","false","Collateral Valuation","","","a0sWD00000XnsdsYAB","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42590166131955019","LLC_BI__Collateral__c","",""
