"Id","IsDeleted","LLC_BI__Color__c","LLC_BI__Debit__c","LLC_BI__Global_Analysis_Type__c","LLC_BI__Group_Type__c","LLC_BI__Hide_All_Records__c","LLC_BI__Hide_Column_Totals__c","LLC_BI__Hide_Currency_Symbol__c","LLC_BI__Include_In_Total__c","LLC_BI__Is_Balance_Check__c","LLC_BI__Is_Grand_Total__c","LLC_BI__Is_Summary_Group__c","LLC_BI__KPI_Type__c","LLC_BI__Publish_On_Init_Event__c","LLC_BI__Publish_On_Update_Event__c","LLC_BI__Row_Number__c","LLC_BI__Show_Math__c","LLC_BI__Source_Group__c","LLC_BI__Spread_Statement_Type__c","LLC_BI__Title__c","LLC_BI__Total_Type__c","LLC_BI__lookupKey__c","Name"
"a16DV000006R4VPYA0","false","","false","None","Financial","false","false","false","true","false","false","false","","","","200.0","false","","a19DV000002V1oFYAS","Change in Other Funding","Standard","42541577005361672","Net Change in Other Funding"
"a16DV000006R4U2YAK","false","","false","None","Financial","false","false","false","true","false","false","false","","","","30.0","false","","a19DV000002qH2RYAU","Net Rental Real Estate Income (Loss)","Standard","42541726719202571","Net Rental Real Estate Income (Loss)"
"a16DV000006R4TeYAK","false","","false","None","Financial","false","true","false","true","false","false","false","","","","18.75","false","","a19DV000002qH2OYAU","Schedule M-1 Analysis of Net Income (Loss)","Standard","42541970383867605","Schedule M-1 Analysis of Net Income (Loss)"
"a16DV000006IRrZYAW","false","","false","None","Decimal","false","false","false","false","false","false","false","","","","660.0","false","","a19DV000002V1o0YAC","(A) A/Pay Days (excl Depr)","Standard","42542203639200317","(A) A/Pay Days (excl Depr)"
"a16DV000006R4N8YAK","false","","false","Total Equity","Financial","true","false","false","true","false","false","false","","","","90.0","false","","a19DV000002qH1hYAE","Equity","Standard","42548000537173749","Total Equity"
"a16DV000006IRlMYAW","false","","false","None","Financial","false","false","false","false","false","false","false","","","","500.0","false","","a19DV000002V1nhYAC","(A) Business CF / Historical DS Denom","Standard","42548898294780028","(A) Business CF / Historical DS Denom"
"a16DV000006R4XOYA0","false","","false","None","Financial","false","false","false","true","true","false","false","","","","51.0","false","","a19DV000002V1oQYAS","Unexplained Difference","Standard","42549373078462551","Unexplained Difference"
"a16DV000006IRoHYAW","false","","false","None","Financial","false","false","false","false","false","false","false","","","","246.0","false","","a19DV000002V1noYAC","Calc. EBITDAE","Standard","42549380355028555","EBITDAE"
"a16DV000006R4SCYA0","false","","false","None","Financial","false","false","false","true","false","false","false","","","","7.5","false","","a19DV000002qH2HYAU","Trade Accounts Receivable","Standard","42550809284500576","Net Trade Accounts Receivable"
"a16DV000006IRi7YAG","false","","false","None","Percentage","false","false","true","false","false","false","false","","","","45.0","false","","a19DV000002V1nYYAS","Net Margin","Standard","42552518077449169","Net Margin"
"a16DV000006IRkhYAG","false","","false","None","Financial","false","false","false","true","false","false","false","","","","190.0","false","","a19DV000002V1nfYAC","Change in Borrowing","Standard","42552660588794196","Net Change in Borrowing"
"a16DV000006R4XFYA0","false","","false","None","Decimal","false","true","false","true","false","false","false","","","","41.0","false","","a19DV000002V1oPYAS","Coverage","Standard","42555183354532874","Coverage"
"a16DV000006IRlJYAW","false","","false","None","Decimal","false","false","false","false","false","false","false","","","","490.0","false","","a19DV000002V1nhYAC","(A) EBITDA / P + I + T + Capex","Standard","42555362113308453","(A) EBITDA / P + I + T + Capex"
"a16DV000006IRnIYAW","false","","false","None","Decimal","false","false","true","false","false","false","false","","","","46.0","false","","a19DV000002V1nkYAC","(A) Accounts Receivable Days","Standard","42555469363119079","(A) Accounts Receivable Days"
"a16DV000006IRqzYAG","false","","false","None","Decimal","false","false","false","false","false","false","false","","","","300.0","false","","a19DV000002V1o0YAC","Interest Expense / Net Sales/Rev.","Standard","42556258337520967","Interest Expense / Net Sales/Rev."
"a16DV000006R4RSYA0","false","","false","None","Financial","false","false","false","true","false","false","false","","","","181.0","false","","a19DV000002qH2CYAU","Change in Borrowing","Standard","42556840638327055","Net Change in Borrowing"
"a16DV000006R4UIYA0","false","","false","None","Financial","false","false","false","true","false","false","false","","","","30.0","false","","a19DV000002V1o6YAC","Schedule C Cash Flow Adjustments","Standard","42557576102044390","Schedule C Cash Flow Adjustments"
"a16DV000006IRheYAG","false","","false","None","Financial","false","false","false","false","false","false","false","","","","24.25","false","","a19DV000002V1nYYAS","Borrowed Funds","Standard","42557669308919216","Borrowed Funds"
"a16DV000006IRkiYAG","false","","false","None","Financial","false","false","false","true","false","false","false","","","","200.0","false","","a19DV000002V1nfYAC","Change in Other Funding","Standard","42558433815012433","Net Change in Other Funding"
"a16DV000006IRrfYAG","false","","false","None","Financial","true","false","false","true","false","false","false","","","","40.0","false","","a19DV000002V1o1YAC","Adjustments to Net Worth","Standard","42559093705839965","Total Adjustments to Net Worth"
"a16DV000006R4XbYAK","false","","false","None","Financial","true","false","false","true","false","false","false","","","","81.0","false","","a19DV000002V1oSYAS","Change in Cash & Equivalents","Standard","42560948334403897","Change in Cash & Equivalents"
"a16DV000006IRn9YAG","false","","false","None","Financial","false","true","false","true","false","false","false","","","","37.5","false","","a19DV000002V1nkYAC","COVERAGE","Standard","42561905905194431","COVERAGE"
"a16DV000006R4S7YAK","false","","false","None","Financial","false","false","false","true","false","false","false","","","","110.0","false","","a19DV000002qH2GYAU","Extraordinary Items","Standard","42562651641223963","Total Extraordinary Income"
"a16DV000006IRnsYAG","false","","false","None","Financial","false","false","false","true","false","false","false","","","","196.25","false","","a19DV000002V1nnYAC","Change in Net Intangibles","Standard","42563573210587997","Change in Net Intangibles"
"a16DV000006IRhCYAW","false","","false","None","Financial","false","false","false","true","false","false","false","","","","135.0","false","","a19DV000002V1nXYAS","Cash Paid for Dividends and Interest","Standard","42565037978214791","Cash Paid for Dividends and Interest"
"a16DV000006R4VVYA0","false","","false","None","Financial","false","false","false","true","false","false","false","","","","30.0","false","","a19DV000002V1oGYAS","Changes in Equity Accounts","Standard","42565215663068856","Total Changes in Equity Accounts"
"a16DV000006R4NRYA0","false","","false","None","Financial","false","false","false","false","false","false","false","","","","105.0","false","","a19DV000002qH1jYAE","Interest Expense","Standard","42565324434937044","Total Interest Expense"
"a16DV000006R4RUYA0","false","","false","None","Financial","true","false","false","true","false","false","false","","","","201.0","false","","a19DV000002qH2CYAU","Cash from Funding","Standard","42566288134664872","Net Cash from Funding"
"a16DV000006IRkFYAW","false","","false","None","Financial","true","false","false","true","false","false","false","","","","90.0","false","","a19DV000002V1ndYAC","Balance Check","Standard","42567783134571033","Difference"
"a16DV000006R4XgYAK","false","","false","None","Financial","false","false","false","true","false","false","false","","","","40.0","false","","a19DV000002V1oTYAS","Operating Expense","Standard","42568208605426816","Total Operating Expense"
"a16DV000006R4R1YAK","false","","false","None","Financial","false","false","false","true","false","false","false","","","","200.0","false","","a19DV000002qH29YAE","Change in Other Funding","Standard","42568434412737652","Net Change in Other Funding"
"a16DV000006R4OfYAK","false","","false","None","Financial","false","false","false","true","false","false","false","","","","40.0","false","","a19DV000002qH1rYAE","Schedule K-1 Income","Standard","42569787524882196","Schedule K-1 Income"
