"Id","IsDeleted","LLC_BI__Category__c","LLC_BI__lookupKey__c","Name","OwnerId"
"a3YDV000000vXK52AM","false","NOI Statement","Insurance","Insurance","0058c00000Dk4fdAAB"
"a3YDV000000vXII2A2","false","Accounting Grid (Balance Sheet)","Intangibles_Due_From_Related_ACCTGRD","Intangibles - Due From Related","0058c00000Dk4fdAAB"
"a3YDV000000vXIG2A2","false","Accounting Grid (Balance Sheet)","Intangibles_Goodwill_ACCTGRD","Intangibles - Goodwill","0058c00000Dk4fdAAB"
"a3YDV000000vXIH2A2","false","Accounting Grid (Balance Sheet)","Intangibles_Other_ACCTGRD","Intangibles - Other","0058c00000Dk4fdAAB"
"a3YDV000000vXK12AM","false","Accounting Grid (Ratios/Stats)","Interest_Coverage_ACCTGRD","Interest Coverage","0058c00000Dk4fdAAB"
"a3YDV000000vXIK2A2","false","Accounting Grid (Income Statement)","Interest_Expense_ACCTGRD","Interest Expense","0058c00000Dk4fdAAB"
"a3YDV000000vXJz2AM","false","Accounting Grid (Income Statement)","Interest_Income_ACCTGRD","Interest Income","0058c00000Dk4fdAAB"
"a3YDV000000vXHS2A2","false","Accounting Grid (Balance Sheet)","Interest_Payable_ACCTGRD","Interest Payable","0058c00000Dk4fdAAB"
"a3YDV000000vXJ42AM","false","Accounting Grid (Other)","Interest_Rate_2_ACCTGRD","Interest Rate 2","0058c00000Dk4fdAAB"
"a3YDV000000vXIz2AM","false","Accounting Grid (Other)","Interest_Rate_2nd_Mortgage","Interest Rate 2nd Mortgage","0058c00000Dk4fdAAB"
"a3YDV000000vXJA2A2","false","Accounting Grid (Other)","Interest_Rate_3_ACCTGRD","Interest Rate 3","0058c00000Dk4fdAAB"
"a3YDV000000vXGp2AM","false","Accounting Grid (Balance Sheet)","Inventory_ACCTGRD","Inventory","0058c00000Dk4fdAAB"
"a3YDV000000vXJK2A2","false","Accounting Grid (Ratios/Stats)","Inventory_Days_on_Hand_ACCTGRD","Inventory Days on Hand","0058c00000Dk4fdAAB"
"a3YDV000000vXIE2A2","false","Accounting Grid (Balance Sheet)","Investment_in_Subsidiaries_ACCTGRD","Investment in Subsidiaries","0058c00000Dk4fdAAB"
"a3YDV000000vXIl2AM","false","NOI Statement","Janitorial_Services","Janitorial Services","0058c00000Dk4fdAAB"
"a3YDV000000vXEA2A2","false","Accounting Grid (Other)","K1_Foreign_Taxes_ACCTGRD","K1 Foreign Taxes","0058c00000Dk4fdAAB"
"a3YDV000000vXJv2AM","false","Accounting Grid (Individual)","K1_Income_ACCTGRD","K-1 Income","0058c00000Dk4fdAAB"
"a3YDV000000vXE82AM","false","Accounting Grid (Other)","K1_Section_179_Deduction_ACCTGRD","K1 Section 179 Deduction","0058c00000Dk4fdAAB"
"a3YDV000000vXHV2A2","false","Accounting Grid (Balance Sheet)","LIFO_Reserve_ACCTGRD","LIFO Reserve","0058c00000Dk4fdAAB"
"a3YDV000000vXJE2A2","false","NOI Statement","LTV Reconciled Value","LTV Reconciled Value","0058c00000Dk4fdAAB"
"a3YDV000000vXGu2AM","false","Accounting Grid (Balance Sheet)","Land_ACCTGRD","Land","0058c00000Dk4fdAAB"
"a3YDV000000vXIp2AM","false","NOI Statement","Landscaping","Landscaping","0058c00000Dk4fdAAB"
"a3YDV000000vXFp2AM","false","Accounting Grid (Income Statement)","LeaseRent_Expense_ACCTGRD","Lease/Rent Expense","0058c00000Dk4fdAAB"
"a3YDV000000vXIT2A2","false","Accounting Grid (Balance Sheet)","Leasehold_Improvements_ACCTGRD","Leasehold Improvements","0058c00000Dk4fdAAB"
"a3YDV000000vXIo2AM","false","NOI Statement","Legal_And_Professional_Fees","Legal And Professional Fees","0058c00000Dk4fdAAB"
"a3YDV000000vXFh2AM","false","Accounting Grid (Cash Accounting)","Livestock_Product_Sales_ACCTGRD","Livestock Product Sales","0058c00000Dk4fdAAB"
"a3YDV000000vXFQ2A2","false","Accounting Grid (AG Owner Operator)","Livestock_Products_ACCTGRD","Livestock Products","0058c00000Dk4fdAAB"
"a3YDV000000vXFy2AM","false","Accounting Grid (Cash Accounting)","LoC_Balance_ACCTGRD","LoC Balance","0058c00000Dk4fdAAB"
"a3YDV000000vXJ52AM","false","Accounting Grid (Other)","Loan_Amount_2_ACCTGRD","Loan Amount 2","0058c00000Dk4fdAAB"
"a3YDV000000vXJ02AM","false","Accounting Grid (Other)","Loan_Amount_2nd_Mortgage_ACCTGRD","Loan Amount 2nd Mortgage","0058c00000Dk4fdAAB"
"a3YDV000000vXJ92AM","false","Accounting Grid (Other)","Loan_Amount_3_ACCTGRD","Loan Amount 3","0058c00000Dk4fdAAB"
"a3YDV000000vXEE2A2","false","Accounting Grid (Balance Sheet)","Loans_from_Related_Co_CP_ACCTGRD","Loans from Related Co - CP","0058c00000Dk4fdAAB"
"a3YDV000000vXEI2A2","false","Accounting Grid (Balance Sheet)","Loans_from_Related_Co_LTP_ACCTGRD","Loans from Related Co - LTP","0058c00000Dk4fdAAB"
"a3YDV000000vXGn2AM","false","Accounting Grid (Balance Sheet)","Loans_to_Related_Co_CP_ACCTGRD","Loans to Related Co - CP","0058c00000Dk4fdAAB"
"a3YDV000000vXG32AM","false","Accounting Grid (Balance Sheet)","Loans_to_Related_Co_LTP_ACCTGRD","Loans to Related Co - LTP","0058c00000Dk4fdAAB"
"a3YDV000000vXEG2A2","false","Accounting Grid (Balance Sheet)","Long_Term_DebtBank_ACCTGRD","Long Term Debt-Bank","0058c00000Dk4fdAAB"
"a3YDV000000vXHH2A2","false","Accounting Grid (Balance Sheet)","Long_Term_DebtOther_Sec_ACCTGRD","Long Term Debt-Other Sec","0058c00000Dk4fdAAB"
"a3YDV000000vXHG2A2","false","Accounting Grid (Balance Sheet)","Long_Term_DebtOther_Unsec_ACCTGRD","Long Term Debt-Other Unsec","0058c00000Dk4fdAAB"
"a3YDV000000vXGX2A2","false","Accounting Grid (Income Statement)","Loss_on_Asset_Sale_ACCTGRD","Loss on Asset Sale","0058c00000Dk4fdAAB"
"a3YDV000000vXE42AM","false","Accounting Grid (Other)","M1_2_Income_incl_in_SchK_ACCTGRD","M1 2 Income incl in SchK","0058c00000Dk4fdAAB"
"a3YDV000000vXE22AM","false","Accounting Grid (Other)","M1_3_Expenses_ACCTGRD","M1 3 Expenses","0058c00000Dk4fdAAB"
"a3YDV000000vXE52AM","false","Accounting Grid (Other)","M1_3a_Depreciation_ACCTGRD","M1 3a Depreciation","0058c00000Dk4fdAAB"
"a3YDV000000vXE62AM","false","Accounting Grid (Other)","M1_5_Income_recorded_ACCTGRD","M1 5 Income recorded","0058c00000Dk4fdAAB"
"a3YDV000000vXE72AM","false","Accounting Grid (Other)","M1_6_Deductions_ACCTGRD","M1 6 Deductions","0058c00000Dk4fdAAB"
"a3YDV000000vXJU2A2","false","Accounting Grid (Other)","M1_6a_Depreciation_ACCTGRD","M1 6a Depreciation","0058c00000Dk4fdAAB"
"a3YDV000000vXE32AM","false","Accounting Grid (Other)","M1_Net_Income_per_book_ACCTGRD","M1 Net Income per book","0058c00000Dk4fdAAB"
"a3YDV000000vXGv2AM","false","Accounting Grid (Balance Sheet)","Machinery_Equipment_ACCTGRD","Machinery & Equipment","0058c00000Dk4fdAAB"
"a3YDV000000vXGe2AM","false","Accounting Grid (Other)","Manual_Input_PFY_Net_Worth_ACCTGRD","Manual Input - PFY Net Worth","0058c00000Dk4fdAAB"
"a3YDV000000vXFN2A2","false","Accounting Grid (AG Owner Operator)","MarketLivestock_andPoultry_ACCTGRD","Market Livestock & Poultry","0058c00000Dk4fdAAB"
"a3YDV000000vXFo2AM","false","Accounting Grid (Cash Accounting)","MarketLivestock_andPoultry_ManualAdjust_ACCTGRD","Mkt Livestock & Poultry - Manual Adjust","0058c00000Dk4fdAAB"
"a3YDV000000vXEr2AM","false","Accounting Grid (Cash Accounting)","Market_LvstkPoultry_Sales_ACCTGRD","Market Lvstk/Poultry Sales","0058c00000Dk4fdAAB"
"a3YDV000000vXGl2AM","false","Accounting Grid (Balance Sheet)","Marketable_Securities_ACCTGRD","Marketable Securities","0058c00000Dk4fdAAB"
"a3YDV000000vXIb2AM","false","Accounting Grid (Balance Sheet)","Minority_InterestEquity_ACCTGRD","Minority Interest-Equity","0058c00000Dk4fdAAB"
"a3YDV000000vXIC2A2","false","Accounting Grid (Balance Sheet)","Minority_InterestLiab_ACCTGRD","Minority Interest-Liab","0058c00000Dk4fdAAB"
"a3YDV000000vXIR2A2","false","Accounting Grid (Income Statement)","Minority_Interest_ACCTGRD","Minority Interest","0058c00000Dk4fdAAB"
"a3YDV000000vXJI2A2","false","NOI Statement","NCF DSCR","NCF DSCR","0058c00000Dk4fdAAB"
"a3YDV000000vXHr2AM","false","Accounting Grid (Ratios/Stats)","NIDeprAmortDivs_CP_CPLTD_ACCTGRD","NI+Depr+Amort-Divs / CP CPLTD","0058c00000Dk4fdAAB"
"a3YDV000000vXHp2AM","false","Accounting Grid (Ratios/Stats)","NIDeprAmortDivs_PP_CPLTD_ACCTGRD","NI+Depr+Amort-Divs / PP CPLTD","0058c00000Dk4fdAAB"
"a3YDV000000vWfc2AE","false","CCMIS Spread Export","NetSales","NetSales","0058c00000BxeO9AAJ"
"a3YDV000000vXHz2AM","false","Accounting Grid (Ratios/Stats)","Net_Accounts_Receivable_Days_ACCTGRD","Net Accounts Receivable Days","0058c00000Dk4fdAAB"
"a3YDV000000vXIw2AM","false","NOI Statement","Net_Cash_Flow","Net Cash Flow","0058c00000Dk4fdAAB"
"a3YDV000000vXK32AM","false","Accounting Grid (Ratios/Stats)","Net_Margin_ACCTGRD","Net Margin","0058c00000Dk4fdAAB"
"a3YDV000000vXEn2AM","false","Accounting Grid (Ratios/Stats)","Net_Profit_Growth_ACCTGRD","Net Profit Growth","0058c00000Dk4fdAAB"
"a3YDV000000vXEl2AM","false","Accounting Grid (Ratios/Stats)","Net_Sales_Growth_ACCTGRD","Net Sales Growth","0058c00000Dk4fdAAB"
"a3YDV000000vXEW2A2","false","Accounting Grid (Ratios/Stats)","Net_Sales_Working_Capital_ACCTGRD","Net Sales/ Working Capital","0058c00000Dk4fdAAB"
"a3YDV000000vXEb2AM","false","Accounting Grid (Balance Sheet)","Net_WorthActual_ACCTGRD","Net Worth Actual","0058c00000Dk4fdAAB"
"a3YDV000000vXEo2AM","false","Accounting Grid (Ratios/Stats)","Net_Worth_Growth_ACCTGRD","Net Worth Growth","0058c00000Dk4fdAAB"
"a3YDV000000vXDz2AM","false","Accounting Grid (Other)","NonAccounting_ACCTGRD","Non-Accounting","0058c00000Dk4fdAAB"
"a3YDV000000vXJy2AM","false","Accounting Grid (Income Statement)","NonCash_Expense_ACCTGRD","Non-Cash Expense","0058c00000Dk4fdAAB"
"a3YDV000000vXJx2AM","false","Accounting Grid (Income Statement)","NonCash_Income_ACCTGRD","Non-Cash Income","0058c00000Dk4fdAAB"
"a3YDV000000vXFu2AM","false","Accounting Grid (Cash Accounting)","NonFarm_Income_ACCTGRD","Non-Farm Income","0058c00000Dk4fdAAB"
"a3YDV000000vXIQ2A2","false","Accounting Grid (Income Statement)","Non_Cash_Interest_Exp_ACCTGRD","Non-Cash Interest Expense","0058c00000Dk4fdAAB"
"a3YDV000000vXHc2AM","false","Accounting Grid (Balance Sheet)","Notes_Rec_CP_ACCTGRD","Notes Receivable - CP","0058c00000Dk4fdAAB"
"a3YDV000000vXJO2A2","false","Accounting Grid (Income Statement)","Officers_Compensation_ACCTGRD","Officers' Compensation","0058c00000Dk4fdAAB"
"a3YDV000000vXFq2AM","false","Accounting Grid (Cash Accounting)","Operating_Interest_ACCTGRD","Operating Interest","0058c00000Dk4fdAAB"
"a3YDV000000vXEm2AM","false","Accounting Grid (Ratios/Stats)","Operating_Profit_Growth_ACCTGRD","Operating Profit Growth","0058c00000Dk4fdAAB"
"a3YDV000000vXK22AM","false","Accounting Grid (Ratios/Stats)","Operating_Profit_Margin_ACCTGRD","Operating Profit Margin","0058c00000Dk4fdAAB"
"a3YDV000000vXHy2AM","false","Accounting Grid (Ratios/Stats)","Operating_Profit_Margin_plus_Depr_ACCTGRD","Operating Profit Margin (plus Depr)","0058c00000Dk4fdAAB"
"a3YDV000000vXFI2A2","false","Accounting Grid (AG Owner Operator)","Operator_Draw_ACCTGRD","Operator Draw","0058c00000Dk4fdAAB"
"a3YDV000000vXF92AM","false","Accounting Grid (AG Owner Operator)","OtherAdjustments_NetWorth_Market_Basis_ACCTGRD","Other Net Worth Adjustments - Market Basis","0058c00000Dk4fdAAB"
"a3YDV000000vXF52AM","false","Accounting Grid (AG Owner Operator)","OtherAdjustments_OtherCapitalAssets_ACCTGTD","Other Adjustments - Other Capital Assets","0058c00000Dk4fdAAB"
"a3YDV000000vXF12AM","false","Accounting Grid (AG Owner Operator)","OtherCapitalAssets_AppreciationorDepreciation_ACCTGRD","Other Capital Assets - Appreciation/Depreciation","0058c00000Dk4fdAAB"
