"Id","IsDeleted","Name","OwnerId","nFORCE__Address_Part__c","nFORCE__Alternate_Label__c","nFORCE__Autocomplete_Attribute_Value__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Value__c","nFORCE__Defined_Picklist_Values__c","nFORCE__Field_Hint__c","nFORCE__Field_Name__c","nFORCE__Filter_Criteria__c","nFORCE__Filter_Display_Name__c","nFORCE__Format_Description__c","nFORCE__Format_Enabled__c","nFORCE__Format_Expression__c","nFORCE__Format_Message__c","nFORCE__Is_Active__c","nFORCE__Is_Conditional_Lookup__c","nFORCE__Is_Editable__c","nFORCE__Is_Filter_Active__c","nFORCE__Is_Header__c","nFORCE__Is_Hidden__c","nFORCE__Is_Important__c","nFORCE__Is_Read_Only__c","nFORCE__Is_Required__c","nFORCE__Output_Expression__c","nFORCE__SLDS_Column_Size__c","nFORCE__Screen_Section__c","nFORCE__Tooltip_Contents__c","nFORCE__Tooltip_Enabled__c","nFORCE__Tooltip_Text__c","nFORCE__lookupKey__c","nFORCE__sObject_Name__c","nPortal__Picklist_Buttons_Enabled__c"
"a0SWD000002FlvI2AS","false","FC-001523","005al00000RVcKvAAL","","","","","","","","Pa1test2","","","","false","","","false","false","false","false","false","false","false","false","false","","","a0qWD00000JHKWYYA5","","false","","42497648988732725","LLC_BI__Loan__c",""
"a0SWD000002Fm962AC","false","FC-002379","005al00000RVcKvAAL","","","","","","","","LLC_BI__Lead_Detail__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHKfqYAH","","false","","42503059012319677","LLC_BI__Loan__c",""
"a0SWD000002Fm972AC","false","FC-002380","005al00000RVcKvAAL","","","","","","","","LLC_BI__LeadSource__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHKfqYAH","","false","","42503269858586287","LLC_BI__Loan__c",""
"a0SWD000002Fm2l2AC","false","FC-001986","005al00000RVcKvAAL","","Title","","","","","","LLC_BI__Official_Title__c","","","","false","","","false","false","false","false","false","false","false","false","false","","","a0qWD00000JHKc0YAH","","false","","42514541898358303","LLC_BI__Connection__c",""
"a0SWD000002FmAo2AK","false","FC-002485","005al00000RVcKvAAL","","","","","","","","LLC_BI__Risk_Grade__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHKoXYAX","","false","","42548186805845381","LLC_BI__Loan__c",""
"a0SWD000002Fm2m2AC","false","FC-001987","005al00000RVcKvAAL","","Doing Business As","","","","","","LLC_BI__Doing_Business_As__r.Name","","","","false","","","false","false","false","false","false","false","false","false","false","","","a0qWD00000JHKd4YAH","","false","","42549330748657148","LLC_BI__Legal_Entities__c",""
"a0SWD000002Fm5I2AS","false","FC-002143","005al00000RVcKvAAL","","","","","","","","Counter_Offer_Due_Date__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHKcmYAH","","false","","42552580097549414","LLC_BI__Adverse_Action__c",""
"a0SWD000002Fm2n2AC","false","FC-001988","005al00000RVcKvAAL","","","","","{{business}}","","","AccountId","","","","false","","","false","false","false","false","false","true","false","false","false","","","a0qWD00000JHKbeYAH","","false","","42582067504594066","Contact",""
"a0SWD000002Fm2o2AC","false","FC-001989","005al00000RVcKvAAL","","","","","{{individual}}","","","LLC_BI__Account__c","","","","false","","","false","false","false","false","false","true","false","false","false","","","a0qWD00000JHKcuYAH","","false","","42585970225656628","LLC_BI__Income__c",""
"a0SWD000002Fm2p2AC","false","FC-001990","005al00000RVcKvAAL","","","","","{{individual}}","","","LLC_BI__Account__c","","","","false","","","false","false","false","false","false","true","false","false","false","","","a0qWD00000JHKe5YAH","","false","","425859702256566289","LLC_BI__Income__c",""
"a0SWD000002FmAp2AK","false","FC-002486","005al00000RVcKvAAL","","","","","","","","cm_Total_Individual_Lending_Authority__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHKoaYAH","","false","","42589010800450544","User",""
"a0SWD000002Fm2q2AC","false","FC-001991","005al00000RVcKvAAL","","Is your physical address the same as mailing address?","","","","","","Business_Mailing_Address_Same_as_Physica__c","","","","false","","","false","false","false","false","false","false","false","false","false","","","a0qWD00000JHKcLYAX","","false","","42635601628945905","Account",""
"a0SWD000002FlvP2AS","false","FC-001530","005al00000RVcKvAAL","","Doing Business As","","","","","","LLC_BI__Doing_Business_As__r.Name","","","","false","","","false","false","false","false","false","false","false","false","false","","","a0qWD00000JHKqTYAX","","false","","42637841636131814","LLC_BI__Legal_Entities__c",""
"a0SWD000002Fm982AC","false","FC-002381","005al00000RVcKvAAL","","","","","","","","Approval_Date__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHKjmYAH","","false","","42655605087810289","LLC_BI__Product_Package__c",""
"a0SWD000002FlvQ2AS","false","FC-001531","005al00000RVcKvAAL","","Doing Business As","","","","","","LLC_BI__Doing_Business_As__r.Name","","","","false","","","false","false","false","false","false","false","false","false","false","","","a0qWD00000JHKreYAH","","false","","42705669834393192","LLC_BI__Legal_Entities__c",""
"a0SWD000002FlvR2AS","false","FC-001532","005al00000RVcKvAAL","","Doing Business As","","","","","","LLC_BI__Doing_Business_As__r.Name","","","","false","","","false","false","false","false","false","false","false","false","false","","","a0qWD00000JHKVrYAP","","false","","42715121286267891","LLC_BI__Legal_Entities__c",""
"a0SWD000002FmAr2AK","false","FC-002488","005al00000RVcKvAAL","","","","","","","","LLC_BI__Loan_Detail__c","","","","false","","","false","false","false","false","false","true","false","true","false","","","a0qWD00000JHKoXYAX","","false","","42736577501972393","LLC_BI__Loan__c",""
"a0SWD000002Fm992AC","false","FC-002382","005al00000RVcKvAAL","","","","","","","","LLC_BI__Stage__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHKfbYAH","","false","","42745388630421728","LLC_BI__Loan__c",""
"a0SWD000002Fm9A2AS","false","FC-002383","005al00000RVcKvAAL","","","","","","","","LLC_BI__Stage__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHKfyYAH","","false","","42753913296919539","LLC_BI__Loan__c",""
"a0SWD000002FmAt2AK","false","FC-002490","005al00000RVcKvAAL","","","","","","","","LLC_BI__Employee_Loan__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHKoYYAX","","false","","42764777602405734","LLC_BI__Loan__c",""
"a0SWD000002Fm2r2AC","false","FC-001992","005al00000RVcKvAAL","","","","","","","","LLC_BI__Total_Direct_Exposure__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHKcYYAX","","false","","42773350152705216","Account",""
"a0SWD000002FmAu2AK","false","FC-002491","005al00000RVcKvAAL","","","","","","","","Mailing_Address_nCino__c","","","","false","","","false","false","false","false","false","false","false","false","false","","","a0qWD00000JHKobYAH","","false","","42812119698671086","Contact",""
"a0SWD000002Fm2s2AC","false","FC-001993","005al00000RVcKvAAL","","","","","","","","LastName","","","","false","","","false","false","false","false","false","false","false","false","false","","2.0","a0qWD00000JHKcqYAH","","false","","42814121487658028","Contact",""
"a0SWD000002Fm9B2AS","false","FC-002384","005al00000RVcKvAAL","","","","","","","","LLC_BI__Stage__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHKgNYAX","","false","","42833579207111624","LLC_BI__Loan__c",""
"a0SWD000002Fm2t2AC","false","FC-001994","005al00000RVcKvAAL","","","","","{{Contact}}","","","LLC_BI__Contact__c","","","","false","","","false","false","false","false","false","true","false","false","false","","","a0qWD00000JHKcuYAH","","false","","42848381400074070","LLC_BI__Income__c",""
"a0SWD000002Fm2u2AC","false","FC-001995","005al00000RVcKvAAL","","","","","{{Contact}}","","","LLC_BI__Contact__c","","","","false","","","false","false","false","false","false","true","false","false","false","","","a0qWD00000JHKe5YAH","","false","","428483814000740701","LLC_BI__Income__c",""
"a0SWD000002Fm9C2AS","false","FC-002385","005al00000RVcKvAAL","","","","","","","","Approval_Date__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHKjmYAH","","false","","42853340666806500","LLC_BI__Product_Package__c",""
"a0SWD000002Fm9D2AS","false","FC-002386","005al00000RVcKvAAL","","","","","","","","LLC_BI__Stage__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHKgRYAX","","false","","4285795026268902","LLC_BI__Loan__c",""
"a0SWD000002Fm9E2AS","false","FC-002387","005al00000RVcKvAAL","","","","","","","","LLC_BI__Broker_Fee__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHKfqYAH","","false","","42863776527579059","LLC_BI__Loan__c",""
"a0SWD000002FmAg2AK","false","FC-002477","005al00000RVcKvAAL","","","","","Booked","","","LLC_BI__Stage__c","","Stages to Display","","false","","","false","false","false","false","false","false","false","false","false","","","a0qWD00000JHKo8YAH","","false","","42874378885559190","LLC_BI__Loan__c",""
"a0SWD000002Fm9F2AS","false","FC-002388","005al00000RVcKvAAL","","","","","","","","LLC_BI__Stage__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHKgMYAX","","false","","42875561931260967","LLC_BI__Loan__c",""
"a0SWD000002FlvS2AS","false","FC-001533","005al00000RVcKvAAL","","Doing Business As","","","","","","LLC_BI__Doing_Business_As__r.Name","","","","false","","","false","false","false","false","false","false","false","false","false","","","a0qWD00000JHKXRYA5","","false","","42884335687819065","LLC_BI__Legal_Entities__c",""
"a0SWD000002Fm2v2AC","false","FC-001996","005al00000RVcKvAAL","","","","","","","","LLC_BI__Account__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHKcYYAX","","false","","42885604852150311","LLC_BI__Loan__c",""
"a0SWD000002Fm9G2AS","false","FC-002389","005al00000RVcKvAAL","","","","","","","","Referral_Contact__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHKfqYAH","","false","","42898157922042105","LLC_BI__Loan__c",""
"a0SWD000002Fm2w2AC","false","FC-001997","005al00000RVcKvAAL","","Doing Business As","","","","","","LLC_BI__Doing_Business_As__r.Name","","","","false","","","false","false","false","false","false","false","false","false","false","","","a0qWD00000JHKbwYAH","","false","","42919911116897775","LLC_BI__Legal_Entities__c",""
"a0SWD000002FmAw2AK","false","FC-002493","005al00000RVcKvAAL","","","","","","","","LLC_BI__Approval_Status__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHKocYAH","","false","","42937821374556311","LLC_BI__Credit_Memo_Modifcation__c",""
"a0SWD000002FlvT2AS","false","FC-001534","005al00000RVcKvAAL","","","","","","","","LLC_BI__Amount__c","","","","false","","","false","false","false","false","false","false","false","false","false","","","a0qWD00000JHKcAYAX","","false","","42940582545274435","LLC_BI__Loan__c",""
"a0SWD000002Fm2x2AC","false","FC-001998","005al00000RVcKvAAL","","","","","","","","cm_AA_Type__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHKcmYAH","","false","","42941355148406295","LLC_BI__Adverse_Action__c",""
"a0SWD000002FmAx2AK","false","FC-002494","005al00000RVcKvAAL","","","","","","","","LLC_BI__CRA_Reportable__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHKoYYAX","","false","","42950674894209027","LLC_BI__Loan__c",""
"a0SWD000002Fm9H2AS","false","FC-002390","005al00000RVcKvAAL","","","","","","","","LLC_BI__Stage__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHKfcYAH","","false","","42962200192310137","LLC_BI__Loan__c",""
"a0SWD000002Fm9I2AS","false","FC-002391","005al00000RVcKvAAL","","","","","","","","Referral_Fee__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHKfqYAH","","false","","42973098661329513","LLC_BI__Loan__c",""
"a0SWD000002FlvU2AS","false","FC-001535","005al00000RVcKvAAL","","","","","New","","","LLC_BI__Approval_Status__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHKXTYA5","","false","","42983664713190908","LLC_BI__Credit_Memo_Modifcation__c",""
"a0SWD000002Fm9J2AS","false","FC-002392","005al00000RVcKvAAL","","","","","","","","LLC_BI__Stage__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHKfeYAH","","false","","42989338668942629","LLC_BI__Loan__c",""
"a0SWD000002Fm662AC","false","FC-002193","005al00000RVcKvAAL","","","","","","","","LLC_BI__Account__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHKcfYAH","","false","","42989977565296043","LLC_BI__Legal_Entities__c",""
"a0SWD000002Fm6D2AS","false","FC-002200","005al00000RVcKvAAL","","","","","","","","LLC_BI__Lookupkey__c","","","","false","","","false","false","false","false","false","true","false","false","false","","","a0qWD00000JHKeJYAX","","false","","49441701790671659","LLC_BI__Product_Reference__r",""
"a0SWD000002Fm9K2AS","false","FC-002393","005al00000RVcKvAAL","","","","","","","","Referral_Contact__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHKfKYAX","","false","","552347336243455","LLC_BI__Loan__c",""
"a0SWD000002FmAy2AK","false","FC-002495","005al00000RVcKvAAL","","","","","","","","Name","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHKocYAH","","false","","575766443567986","LLC_BI__Credit_Memo_Modifcation__c",""
"a0SWD000002Fm2y2AC","false","FC-001999","005al00000RVcKvAAL","","","","","","","","LLC_BI__Total_Direct_Exposure__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHKayYAH","","false","","58341602764632446","Account",""
"a0SWD000002Fm2z2AC","false","FC-002000","005al00000RVcKvAAL","","","","","","","","LLC_BI__Account__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHKayYAH","","false","","75381602764632445","LLC_BI__Loan__c",""
"a0SWD000002FlvV2AS","false","FC-001536","005al00000RVcKvAAL","","","","","","","","LLC_BI__Price__c","","","","false","","","false","false","false","false","false","false","false","false","false","","","a0qWD00000JHKoeYAH","","false","","7581a3f9-3c86-3b1c-4264-696f7ada55ed","LLC_BI__Bill_Point__c",""
"a0SWD000002Fm6w2AC","false","FC-002245","005al00000RVcKvAAL","","","","","","","","LLC_BI__Lookupkey__c","","","","false","","","false","false","false","false","false","true","false","false","false","","","a0qWD00000JHKf8YAH","","false","","78781701790671657","LLC_BI__Product_Reference__r",""
"a0SWD000002FlvW2AS","false","FC-001537","005al00000RVcKvAAL","","","","","","","","nFORCE__Field_Name__c","","","","false","","","false","false","false","false","false","true","false","false","false","","","a0qWD00000JHKodYAH","","false","","7f84831a-cf20-12aa-bdac-329e70ac1592","nFORCE__Field_Configuration__c",""
"a0SWD000002Fm302AC","false","FC-002001","005al00000RVcKvAAL","","","","","","","","LLC_BI__Account__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHKdgYAH","","false","","80061663700626156","LLC_BI__Loan__c",""
"a0SWD000002Fm9M2AS","false","FC-002395","005al00000RVcKvAAL","","","","","","","","Referral_Company__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHKfKYAX","","false","","86934568253609236","LLC_BI__Loan__c",""
"a0SWD000002Fm9N2AS","false","FC-002396","005al00000RVcKvAAL","","","","","","","","Referral_Contact__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHKcjYAH","","false","","88456623534543","LLC_BI__Loan__c",""
"a0SWD000002FlwF2AS","false","FC-001582","005al00000RVcKvAAL","","","","","","","","Treasury_Service__c","","","","false","","","false","false","false","false","false","true","false","false","false","","","a0qWD00000JHKWOYA5","","false","","a013g000000lHvMAAU","Treasury_Service_Attributes__c",""
"a0SWD000002FlwG2AS","false","FC-001583","005al00000RVcKvAAL","","","","","","","","Treasury_Service__c","","","","false","","","false","false","false","false","false","true","false","false","false","","","a0qWD00000JHKZLYA5","","false","","a013g000000lHvNAAU","Treasury_Service_Attributes__c",""
"a0SWD000002FlwH2AS","false","FC-001584","005al00000RVcKvAAL","","","","","","","","LLC_BI__Is_Syndication__c","","","","false","","","false","false","false","false","false","true","false","false","false","","","a0qWD00000JHKZMYA5","","false","","a013g000000lHvOAAU","LLC_BI__Loan__c",""
"a0SWD000002Flwo2AC","false","FC-001617","005al00000RVcKvAAL","","","","","","","","Authorized_User_Name__c","","","","false","","","false","false","false","false","true","false","false","false","false","","","a0qWD00000JHKXzYAP","","false","","a013g000000lHwtAAE","LLC_BI__Authorized_User__c",""
"a0SWD000002Flwp2AC","false","FC-001618","005al00000RVcKvAAL","","","","","","","","Authorized_User_Name__c","","","","false","","","false","false","false","false","true","false","false","false","false","","","a0qWD00000JHKY0YAP","","false","","a013g000000lHwvAAE","LLC_BI__Authorized_User__c",""
"a0SWD000002Flwq2AC","false","FC-001619","005al00000RVcKvAAL","","","","","","","","Name","","","","false","","","false","false","false","false","true","false","false","false","false","","","a0qWD00000JHKXzYAP","","false","","a013g000000lHwwAAE","LLC_BI__Treasury_Service__c",""
"a0SWD000002Flwr2AC","false","FC-001620","005al00000RVcKvAAL","","","","","","","","Name","","","","false","","","false","false","false","false","true","false","false","false","false","","","a0qWD00000JHKY0YAP","","false","","a013g000000lHwxAAE","LLC_BI__Treasury_Service__c",""
