"Id","OwnerId","IsDeleted","Name","LLC_BI__Category__c","LLC_BI__lookupKey__c"
"a3Ybn0000004xE4EAI","005bn000003k2JdAAI","","Chg. Income Taxes Payable","Accounting Grid (Cash Accounting)","Change_IncomeTaxes_Payable_ACCTGRD"
"a3Ybn0000004xEHEAY","005bn000003k2JdAAI","","Chg. Livestock Products","Accounting Grid (Cash Accounting)","Change_Livestock_Products_ACCTGRD"
"a3Ybn0000004xFxEAI","005bn000003k2JdAAI","","Chg. Mkt Livestock & Poultry","Accounting Grid (Cash Accounting)","Change_MarketLivestock_andPoultry_ACCTGRD"
"a3Ybn0000004xE2EAI","005bn000003k2JdAAI","","Chg. Other Curr. Assets","Accounting Grid (Cash Accounting)","Change_OtherCurrAssets_ACCTGRD"
"a3Ybn0000004xEAEAY","005bn000003k2JdAAI","","Chg. Other Curr. Liabs","Accounting Grid (Cash Accounting)","Change_OtherCurrLiabs_ACCTGRD"
"a3Ybn0000004xE0EAI","005bn000003k2JdAAI","","Chg. Prepaids/Deferreds","Accounting Grid (Cash Accounting)","Change_PrepaidsDeferreds_ACCTGRD"
"a3Ybn0000004xEMEAY","005bn000003k2JdAAI","","Chg Grain Inventory","Accounting Grid (AG Owner Operator)","Chg_Grain_Inventory_ACCTGRD"
"a3Ybn0000004xJsEAI","005bn000003k2JdAAI","","Chg Net Fixed Assets","Accounting Grid (Balance Sheet)","Chg_Net_Fixed_Assets_ACCTGRD"
"a3Ybn0000004xIxEAI","005bn000003k2JdAAI","","Commercial Vacancy Rate","NOI Statement","Commercial_Vacancy_Rate"
"a3Ybn0000004xG0EAI","005bn000003k2JdAAI","","Common Stock","Accounting Grid (Balance Sheet)","Common_Stock_ACCTGRD"
"a3Ybn0000004xIlEAI","005bn000003k2JdAAI","","Construction in Progress","Accounting Grid (Balance Sheet)","Construction_in_Progress_ACCTGRD"
"a3Ybn0000004xHsEAI","005bn000003k2JdAAI","","Cost of Sales/Revenues","Accounting Grid (Income Statement)","Cost_of_SalesRevenues_ACCTGRD"
"a3Ybn0000004xHrEAI","005bn000003k2JdAAI","","Cost of Sales - Deprec & Impairment","Accounting Grid (Income Statement)","Cost_of_Sales_Deprec_Impairment_ACCTGRD"
"a3Ybn0000004xGvEAI","005bn000003k2JdAAI","","Costs in Excess of Billings","Accounting Grid (Balance Sheet)","Costs_in_Excess_of_Billings_ACCTGRD"
"a3Ybn0000004xLEEAY","005bn000003k2JdAAI","","Crop Inventory Total Adjust.","Accounting Grid (AG Owner Operator)","CropInventory_TotalAdjust_ACCTGRD"
"a3Ybn0000004xFKEAY","005bn000003k2JdAAI","","Crop Inventory","Accounting Grid (AG Owner Operator)","Crop_Inventory_ACCTGRD"
"a3Ybn0000004xFyEAI","005bn000003k2JdAAI","","Crop Inventory - Manual Adjust","Accounting Grid (Cash Accounting)","Crop_Inventory_ManualAdjust_ACCTGRD"
"a3Ybn0000004xFeEAI","005bn000003k2JdAAI","","Crop Sales","Accounting Grid (Cash Accounting)","Crop_Sales_ACCTGRD"
"a3Ybn0000004xGYEAY","005bn000003k2JdAAI","","Cumulative Effect of Acct'g Chg","Accounting Grid (Income Statement)","Cumulative_Effect_of_Acctg_Chg_ACCTGRD"
"a3Ybn0000004xIcEAI","005bn000003k2JdAAI","","Currency Translation","Accounting Grid (Balance Sheet)","Currency_Translation_ACCTGRD"
"a3Ybn0000004xG4EAI","005bn000003k2JdAAI","","Current Income Tax","Accounting Grid (Income Statement)","Current_Income_Tax_ACCTGRD"
"a3Ybn0000004xDdEAI","005bn000003k2JdAAI","","Current Ratio","Accounting Grid (Ratios/Stats)","Current_Ratio_ACCTGRD"
"a3Ybn0000004xMHEAY","005bn000003k2JdAAI","","(DCF) Cash After Debt Amort","Accounting Grid (Cash Flows)","DCF_Cash_After_Debt_Amort_ACCTGRD"
"a3Ybn0000004xLmEAI","005bn000003k2JdAAI","","(DCF) Cash After Financing","Accounting Grid (Cash Flows)","DCF_Cash_After_Financing_ACCTGRD"
"a3Ybn0000004xLIEAY","005bn000003k2JdAAI","","(DCF) Cash After Operations","Accounting Grid (Cash Flows)","DCF_Cash_After_Operations_ACCTGRD"
"a3Ybn0000004xLNEAY","005bn000003k2JdAAI","","(DCF) Cash Collected from Sales","Accounting Grid (Cash Flows)","DCF_Cash_Collected_from_Sales_ACCTGRD"
"a3Ybn0000004xMGEAY","005bn000003k2JdAAI","","(DCF) Cash Effect. Debt Amortization","Accounting Grid (Cash Flows)","DCF_Cash_Effect_Debt_Amortization_ACCTGRD"
"a3Ybn0000004xLLEAY","005bn000003k2JdAAI","","(DCF) Cash Paid for Dividends and Interest","Accounting Grid (Cash Flows)","DCF_Cash_Paid_for_Dividends_and_Interest_ACCTGRD"
"a3Ybn0000004xLHEAY","005bn000003k2JdAAI","","(DCF) Cash Paid for Operating Costs","Accounting Grid (Cash Flows)","DCF_Cash_Paid_for_Operating_Costs_ACCTGRD"
"a3Ybn0000004xLhEAI","005bn000003k2JdAAI","","(DCF) Cash Paid for Plant and Investments","Accounting Grid (Cash Flows)","DCF_Cash_Paid_for_Plant_and_Investments_ACCTGRD"
"a3Ybn0000004xLFEAY","005bn000003k2JdAAI","","(DCF) Cash Paid to Suppliers","Accounting Grid (Cash Flows)","DCF_Cash_Paid_to_Suppliers_ACCTGRD"
"a3Ybn0000004xLGEAY","005bn000003k2JdAAI","","(DCF) Cash from Trading Activities","Accounting Grid (Cash Flows)","DCF_Cash_from_Trading_Activities_ACCTGRD"
"a3Ybn0000004xLfEAI","005bn000003k2JdAAI","","(DCF) Chg in Investments","Accounting Grid (Cash Flows)","DCF_Chg_in_Investments_ACCTGRD"
"a3Ybn0000004xLuEAI","005bn000003k2JdAAI","","(DCF) Chg in Net Fixed Assets","Accounting Grid (Cash Flows)","DCF_Chg_in_Net_Fixed_Assets_ACCTGRD"
"a3Ybn0000004xLgEAI","005bn000003k2JdAAI","","(DCF) Chg in Net Intangibles","Accounting Grid (Cash Flows)","DCF_Chg_in_Net_Intangibles_ACCTGRD"
"a3Ybn0000004xMIEAY","005bn000003k2JdAAI","","(DCF) Extraordinary and Non-Cash Items","Accounting Grid (Cash Flows)","DCF_Extraordinary_and_NonCash_Items_ACCTGRD"
"a3Ybn0000004xLiEAI","005bn000003k2JdAAI","","(DCF) Financing Surplus (reqmnts)","Accounting Grid (Cash Flows)","DCF_Financing_Surplus_reqmnts_ACCTGRD"
"a3Ybn0000004xLKEAY","005bn000003k2JdAAI","","(DCF) Net Cash After Operations","Accounting Grid (Cash Flows)","DCF_Net_Cash_After_Operations_ACCTGRD"
"a3Ybn0000004xLMEAY","005bn000003k2JdAAI","","(DCF) Net Cash Income","Accounting Grid (Cash Flows)","DCF_Net_Cash_Income_ACCTGRD"
"a3Ybn0000004xLlEAI","005bn000003k2JdAAI","","(DCF) Net Cash from Funding","Accounting Grid (Cash Flows)","DCF_Net_Cash_from_Funding_ACCTGRD"
"a3Ybn0000004xLjEAI","005bn000003k2JdAAI","","(DCF) Net Change in Borrowing","Accounting Grid (Cash Flows)","DCF_Net_Change_in_Borrowing_ACCTGRD"
"a3Ybn0000004xLkEAI","005bn000003k2JdAAI","","(DCF) Net Change in Other Funding","Accounting Grid (Cash Flows)","DCF_Net_Change_in_Other_Funding_ACCTGRD"
"a3Ybn0000004xMFEAY","005bn000003k2JdAAI","","(DCF) Taxes Paid","Accounting Grid (Cash Flows)","DCF_Taxes_Paid_ACCTGRD"
"a3Ybn0000004xLJEAY","005bn000003k2JdAAI","","(DCF) Total Other Income (Expense)","Accounting Grid (Cash Flows)","DCF_Total_Other_Income_Expense_ACCTGRD"
"a3Ybn0000004xDOEAY","005bn000003k2JdAAI","","Days In Period","Accounting Grid (Other)","Days_In_Period_ACCTGRD"
"a3Ybn0000004xDYEAY","005bn000003k2JdAAI","","Deannualized CP CPLTD","Accounting Grid (Ratios/Stats)","Deannualized_CP_CPLTD_ACCTGRD"
"a3Ybn0000004xDaEAI","005bn000003k2JdAAI","","Deannualized PP CPLTD","Accounting Grid (Ratios/Stats)","Deannualized_PP_CPLTD_ACCTGRD"
"a3Ybn0000004xIHEAY","005bn000003k2JdAAI","","Debt Less Sub Debt/ Eff. TNW","Accounting Grid (Ratios/Stats)","Debt_Less_Sub_Debt_Eff_TNW_ACCTGRD"
"a3Ybn0000004xJQEAY","005bn000003k2JdAAI","","Debt Service 2","Accounting Grid (Other)","Debt_Service_2_ACCTGRD"
"a3Ybn0000004xJLEAY","005bn000003k2JdAAI","","Debt Service 2nd Mortgage","Accounting Grid (Other)","Debt_Service_2nd_Mortgage_ACCTGRD"
