"Id","IsDeleted","Name","OwnerId","nFORCE__Disable_Print__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Show_Link_To_Context_Object__c","nFORCE__lookupKey__c","nPortal__Add_Multi_Record_Display_Icon__c","nPortal__Maximum_Number_of_Records__c","nPortal__Minimum_Number_of_Records__c","nPortal__OA_Review_Multiple_Record_Entry_Label__c","AutorabitExtId__c"
"a2Gbn000000hcbYEAQ","","Standard Review Credit Memo (Account)","005bn000003k2JdAAI","true","false","true","42379279229932235","","","","",""
"a2Gbn000000hchEEAQ","","Booked Facilities","005bn000003k2JdAAI","false","false","true","42380056249585665","","","","",""
"a2Gbn000000kG51EAE","","SBL OA Possessory Screen","005bn000003k2JdAAI","false","false","true","423819221918922441","","","","",""
"a2Gbn000000hccGEAQ","","Collateral-Other-Government Contracts","005bn000003k2JdAAI","false","false","true","42385715917275967","","","","",""
"a2Gbn000000kG3bEAE","","Entity Compliance Screen","005bn000003k2JdAAI","false","false","true","42391663700624859","","","","",""
"a2Gbn000000hcd5EAA","","Application Details","005bn000003kBWnAAM","false","false","true","42393241259581911","","","","",""
"a2Gbn000000hcdZEAQ","","SBL Personal (Individual Other Involved)","005bn000003k2JdAAI","false","false","true","42395526772715632","","","","",""
"a2Gbn000000hccEEAQ","","Collateral-Possessory-Life Insurance","005bn000003k2JdAAI","false","false","true","42401059851966033","","","","",""
"a2Gbn000000hccjEAA","","Referral","005bn000003k2JdAAI","false","false","true","42410404119994869","","","","",""
"a2Gbn000000hcdBEAQ","","Third Party Management","005bn000003k2JdAAI","false","false","true","42411851997942573","","","","",""
"a2Gbn000000hcbpEAA","","Standard Product Package Credit Memo","005bn000003k2JdAAI","true","false","true","42413872987117928","","","","",""
"a2Gbn000000hcdTEAQ","","Secured SBL Eligibility","005bn000003k2JdAAI","false","false","true","42415980332756543","","","","",""
"a2Gbn000000hcdFEAQ","","Application Details","005bn000003kBWnAAM","false","false","true","42416387574958178","","","","",""
"a2Gbn000000hcfoEAA","","Draw History Screen","005bn000003k2JdAAI","false","false","true","42419863457011593","","","","",""
"a2Gbn000000hcctEAA","","Change Memo","005bn000003k2JdAAI","false","false","true","42432836327202375","","","","",""
"a2Gbn000000mZAmEAM","","Add Others Involved MRF","005bn000003k2JdAAI","false","false","true","42436459684933691","","","1.0","",""
"a2Gbn000000hcc5EAA","","Collateral-Titled-Ship","005bn000003k2JdAAI","false","false","true","42437151313046644","","","","",""
"a2Gbn000000hcfaEAA","","Budget Details","005bn000003k2JdAAI","false","false","true","42438936865131651","","","","",""
"a2Gbn000000hcc9EAA","","Collateral-Possessory-Savings/CDs","005bn000003k2JdAAI","false","false","true","42440767386795598","","","","",""
"a2Gbn000000hchBEAQ","","Copy Loan","005bn000003k2JdAAI","false","false","true","42443303677598944","","","","",""
"a2Gbn000000mZWXEA2","","Add Others Involved MRF","005bn000003k2JdAAI","false","false","true","42443957461984030","","","","",""
"a2Gbn000000hcdtEAA","","Payment Structure","005bn000003k2JdAAI","false","false","true","42448651673900408","","","","",""
"a2Gbn000000hccTEAQ","","Row Edit All Loan Facilities","005bn000003k2JdAAI","false","false","true","42453423598343751","","","","",""
"a2Gbn000000hcfgEAA","","Memo Details","005bn000003k2JdAAI","false","false","true","42453478693303001","","","","",""
"a2Gbn000000kG44EAE","","Rate & Payment Structure","005bn000003k2JdAAI","false","false","true","42454304015867314","","","","",""
"a2Gbn000000hccyEAA","","Product Package Collateral2","005bn000003k2JdAAI","false","false","true","42456617561636458","","","","",""
"a2Gbn000000mWvFEAU","","Funding Methods","005bn000003k2JdAAI","false","false","true","42458384193774495","","","","",""
