"Id","OwnerId","IsDeleted","Name","nFORCE__Answer_Context__c","nFORCE__App__c","nFORCE__Category__c","nFORCE__Default_Collapse_Parent_Navigation__c","nFORCE__Description__c","nFORCE__Is_Archived__c","nFORCE__Is_Questionnaire__c","nFORCE__Layout__c","nFORCE__Parent_Group__c","nFORCE__Screen__c","nFORCE__Taxonomy_Id__c","nFORCE__lookupKey__c","Description_Custom__c","AutorabitExtId__c","nPortal__Context_Type__c","nPortal__Is_Portal_Enabled__c","ChexSystems_route__c"
"a0XWD000002hCBx2AM","005al00000RVvFOAA1","false","Deposit Application (Business) Additional Owner","","portal-dep-owner","Online Application","false","","false","false","a0bWD0000011L6rYAE","a0XWD000002hCBZ2A2","","portal-dep-owner","42884073905355528","","","","",""
"a0XWD000002hCC02AM","005al00000RVvFOAA1","false","Unsecured Small Business Loan Workflow","","sbl-unsec-group","","false","","false","false","","","","sbl-unsec-group","42903851954541033","","","","",""
"a0XWD000002hCDD2A2","005al00000RVvFOAA1","false","DocuSign - Default","","docusign-default","","false","","false","false","","","","docusign-default","42921740115752574","","","","",""
"a0XWD000002hCHq2AM","005al00000RVvFOAA1","false","Test 2","","tmmg-Test200-00","","false","","false","false","","","a0sWD00000Xo7mNYAR","tmmg-Test200-00","42929089401890532","","","","",""
"a0XWD000002hCDE2A2","005al00000RVvFOAA1","false","Business KYC","","bus-kyc","","false","","false","true","","","","","42940369988812827","","","","",""
"a0XWD000002hCC62AM","005al00000RVvFOAA1","false","Relationship - Default","","relationship-default","","false","","false","false","","","","relationship-default","42943134305184229","","","","",""
"a0XWD000002hCDF2A2","005al00000RVvFOAA1","false","nCino Administration","","admin","","false","","false","false","","","","admin","42945668722646292","Drives the experience when accessing the ""nCino Administration"" app","","","",""
"a0XWD000002hCC82AM","005al00000RVvFOAA1","false","Small Business Loan Application (Individual Other Involved)","","portal-sbl-ind-other","","false","","false","false","","a0XWD000002hCBw2AM","","portal-sbl-ind-other","42963370448176169","","","","",""
"a0XWD000002hCDG2A2","005al00000RVvFOAA1","false","New Loan Product","","new-loan","","false","","false","false","","","","new-loan","42964014987709751","","","","",""
"a0XWD000002hCCh2AM","005al00000RVvFOAA1","false","Loan Covenant","","COV_Loan","","false","","false","false","","","","","42974329455514665","","","","",""
"a0XWD000002hCDH2A2","005al00000RVvFOAA1","false","Retail Loan","","retail-loan","","false","","false","false","","","","retail-loan","46461560278745196","","","","",""
"a0XWD000002hCCC2A2","005al00000RVvFOAA1","false","MASTER Loan Booked","","m-loan-booked","","false","","false","false","","","","m-loan-booked","49741620937669910","test","","","",""
"a0XWD000002hCCE2A2","005al00000RVvFOAA1","false","Unsecured Retail Loan Online Application (Individual Other Involved)","Loan","unsecured-retail-loan-online-application--individual-other-involved","Online Application","false","","false","false","a0bWD0000011L6rYAE","a0XWD000002hCCG2A2","","unsecured-retail-loan-online-application--individual-other-involved","51611603130192527","","","","",""
"a0XWD000002hCCF2A2","005al00000RVvFOAA1","false","Secured Retail Loan Online Application (Individual Other Involved)","Loan","secured-retail-loan-online-application--individual-other-involved","Online Application","false","","false","false","a0bWD0000011L6rYAE","a0XWD000002hCCR2A2","","secured-retail-loan-online-application--individual-other-involved","56841602603006905","","","","",""
"a0XWD000002hCCG2A2","005al00000RVvFOAA1","false","Unsecured Retail Loan Online Application","Loan","unsecured-retail-loan-online-application","Online Application","false","","false","false","a0bWD0000011L6rYAE","","","unsecured-retail-loan-online-application","60411603129896006","","","","",""
"a0XWD000002hCDI2A2","005al00000RVvFOAA1","false","MASTER Loan Post Approval","","m-loan-post-approval","","false","","false","false","","","","m-loan-post-approval","66341619447512452","Used in the Loan object's Commercial Workspace flexipage. Displays during Loan Stages during and after Approval.","","","",""
"a0XWD000002hCCf2AM","005al00000RVvFOAA1","false","Deposit Account Origination - Baseline","","deposit-account-origination---baseline","","false","","false","false","","","","deposit-account-origination_2023R1","73581701790660761","","","","",""
