"Custom_Code_in_Screen_Section__c","Id","IsDeleted","Name","nFORCE__Are_Columns_Sortable__c","nFORCE__Auto_Save__c","nFORCE__Break_Page_After__c","nFORCE__Break_Page_Before__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Editable__c","nFORCE__Default_Rendered__c","nFORCE__Disable_Print__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Display_Input_Address_Component__c","nFORCE__Display_Order__c","nFORCE__Display_Toggle_Effect__c","nFORCE__Display_Toggle_Header__c","nFORCE__Display_Toggle_Link__c","nFORCE__Headless__c","nFORCE__Inactive__c","nFORCE__Instructions_Text__c","nFORCE__Is_Editable__c","nFORCE__Layout__c","nFORCE__Number_of_Columns__c","nFORCE__Optional_Configuration__c","nFORCE__Parent_Screen_Section__c","nFORCE__Screen__c","nFORCE__Section_Resource__c","nFORCE__Validation_Service__c","nFORCE__Widget__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c"
"","a0qWD00000GSgccYAD","false","Pay Notes Payable","false","false","false","false","","false","true","false","false","false","70.0","slide","true","false","false","false","","true","","","","","a0sWD00000Xo7hUYAR","MappedSObjectScreenResource","","","a2F7500000007z6EAA","LLC_BI__Loan__c"
"","a0qWD00000GSgcdYAD","false","Pay Accounts Payable","false","false","false","false","","false","true","false","false","false","80.0","slide","true","false","false","false","","true","","","","","a0sWD00000Xo7hUYAR","MappedSObjectScreenResource","","","a2F7500000007zBEAQ","LLC_BI__Loan__c"
"","a0qWD00000GSgceYAD","false","Guaranty Fees","false","false","false","false","","false","true","false","false","false","90.0","slide","true","false","false","false","","true","","","","","a0sWD00000Xo7hUYAR","MappedSObjectScreenResource","","","a2F7500000007zGEAQ","LLC_BI__Loan__c"
"","a0qWD00000GSgcfYAD","false","Other","false","false","false","false","","false","true","false","false","false","100.0","slide","true","false","false","false","","true","","","","","a0sWD00000Xo7hUYAR","MappedSObjectScreenResource","","","a2F7500000007zLEAQ","LLC_BI__Loan__c"
"","a0qWD00000GSgcgYAD","false","Totals","false","false","false","false","","false","true","false","false","false","110.0","slide","true","false","false","false","","true","","","","","a0sWD00000Xo7hUYAR","MappedSObjectScreenResource","","","a2F7500000007zQEAQ","LLC_BI__Loan__c"
"","a0qWD00000GSgchYAD","false","Modifications","false","false","false","false","","false","true","false","false","false","2.0","slide","true","false","false","true","","false","","","","","a0sWD00000Xo7hLYAR","MappedSObjectScreenResource","","","a2F7500000007zVEAQ","LLC_BI__Loan__c"
"","a0qWD00000GSgciYAD","false","Character Determination","false","false","false","false","","false","true","false","false","false","120.0","slide","true","false","false","false","","true","","","","","a0sWD00000Xo7hUYAR","MappedSObjectScreenResource","","","a2F7500000007zaEAA","LLC_BI__Loan__c"
"","a0qWD00000GSgcjYAD","false","Modifications","false","false","false","false","","false","true","false","false","false","11.0","slide","true","false","false","true","","true","","","","","a0sWD00000Xo7hKYAR","MappedSObjectScreenResource","","","a2F7500000007zkEAA","LLC_BI__Loan__c"
"","a0qWD00000GSgckYAD","false","Modifications","false","false","false","false","","false","true","false","false","false","2.0","slide","true","false","false","true","","false","","","","","a0sWD00000Xo7hMYAR","MappedSObjectScreenResource","","","a2F7500000007zpEAA","LLC_BI__Loan__c"
"","a0qWD00000GSgclYAD","false","Post-Closing Change Memo","false","false","false","false","","false","true","false","false","false","30.0","slide","true","false","false","false","","false","","","","","a0sWD00000Xo7hMYAR","MappedSObjectScreenResource","","","a2F75000000080EEAQ","LLC_BI__Loan__c"
"","a0qWD00000GSgcmYAD","false","Post-Closing Change Memo","false","false","false","false","","false","true","false","false","false","30.0","slide","true","false","false","false","","true","","","","","a0sWD00000Xo7hKYAR","MappedSObjectScreenResource","","","a2F75000000080JEAQ","LLC_BI__Loan__c"
"","a0qWD00000GSgcnYAD","false","Post-Closing Change Memo","false","false","false","false","","false","true","false","false","false","30.0","slide","true","false","false","false","","true","","","","","a0sWD00000Xo7hLYAR","MappedSObjectScreenResource","","","a2F75000000080OEAQ","LLC_BI__Loan__c"
"","a0qWD00000GSgcoYAD","false","Eligibility","false","false","false","false","","false","true","false","false","false","10.0","slide","true","false","false","false","","false","","","","","a0sWD00000Xo7hWYAR","MappedSObjectScreenResource","","","a2F75000000081gEAA","LLC_BI__Loan__c"
"","a0qWD00000GSgcpYAD","false","Business Type","false","false","false","false","","false","true","false","false","false","10.0","slide","true","false","false","false","","false","","","","","a0sWD00000Xo7hXYAR","MappedSObjectScreenResource","","","a2F75000000081lEAA","LLC_BI__Loan__c"
"","a0qWD00000GSgcqYAD","false","Refinancing Information","false","false","false","false","","false","true","false","false","false","10.0","slide","true","false","false","false","","false","","","","","a0sWD00000Xo7hYYAR","MappedSObjectScreenResource","","","a2F75000000081qEAA","LLC_BI__Loan__c"
"","a0qWD00000GSgcrYAD","false","Debt Information","false","false","false","false","","false","true","false","false","false","20.0","slide","true","false","false","false","","false","","","","","a0sWD00000Xo7hYYAR","MappedSObjectScreenResource","","","a2F75000000081vEAA","LLC_BI__Loan__c"
"","a0qWD00000GSgcsYAD","false","Business Acquisition","false","false","false","false","","false","true","false","false","false","10.0","slide","true","false","false","false","","false","","","","","a0sWD00000Xo7hZYAR","MappedSObjectScreenResource","","","a2F75000000085xEAA","LLC_BI__Loan__c"
