"Id","IsDeleted","Name","nFORCE__Display_Order__c","nFORCE__Field_Set_Key__c","nFORCE__Filter_Criteria__c","nFORCE__Layout__c","nFORCE__Limit__c","nFORCE__Offset_By_Limit__c","nFORCE__Parent_Configuration__c","nFORCE__Parent_Relationship_Name__c","nFORCE__Screen_Section__c","nFORCE__Section_Header__c","nFORCE__Sort_Criteria__c","nFORCE__Unique__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c"
"a0vWD00000B9iLoYAJ","false","SC-000020463","1.01","SBL_Approver_2_Details","","a0bWD0000011L55YAE","0.0","false","","","a0qWD00000GSgT9YAL","","","false","08911663700626421","LLC_BI__Loan__c"
"a0vWD00000B9iD7YAJ","false","SC-000019924","1.0","","","","","false","","","a0qWD00000GSgNYYA1","Change Memo","","false","08981560278867804","LLC_BI__Loan__c"
"a0vWD00000B9id2YAB","false","SC-000021531","1.01","","","","","false","","","a0qWD00000GSggQYAT","Loan Compliance","","false","09111619447516050","LLC_BI__Loan__c"
"a0vWD00000B9inGYAR","false","SC-000022165","1.01","UI_Loan_Compliance_Certifications","","a0bWD0000011LCYYA2","0.0","false","","","a0qWD00000GSggGYAT","","","false","09371619447516043","LLC_BI__Loan__c"
"a0vWD00000B9iyQYAR","false","SC-000022717","2.0","LLC_BI__UI_HMDA_Demographic_Questions","","","","false","a0vWD00000B9igNYAR","LLC_BI__Legal_Entities__r","a0qWD00000GSggfYAD","HMDA","","false","09401615577847196","LLC_BI__Legal_Entities__c"
"a0vWD00000B9iLpYAJ","false","SC-000020464","0.0","nRetail__Asset_Schedule","","","","false","","","a0qWD00000GSgQtYAL","Asset Schedule","","false","09511602764632531","nRetail__Asset__c"
"a0vWD00000B9iwCYAR","false","SC-000022579","2.01","UI_Fees","","a0bWD0000011LCFYA2","0.0","false","a0vWD00000B9iRwYAJ","LLC_BI__Fees__r","a0qWD00000GSgYHYA1","","","false","09522E18763640678C21721310133B59","LLC_BI__Fee__c"
"a0vWD00000B9iRxYAJ","false","SC-000020844","1.01","","","a0bWD0000011L9wYAE","0.0","false","","","a0qWD00000GSgYIYA1","","","false","0B2C68057F294E5D8C504E6D19467035","LLC_BI__Loan__c"
"a0vWD00000BQGSbYAP","false","SC-000031421","1.01","","","","","false","","","a0qWD00000GyzPBYAZ","","","false","1","1"
"a0vWD00000B9ifdYAB","false","SC-000021692","1.01","","","a0bWD0000011LDfYAM","","false","","","a0qWD00000GSggRYAT","","","false","1002","Account"
"a0vWD00000B9kP3YAJ","false","SC-000023387","1.01","UI_Relationship_Relationship_Information","","","","false","","","a0qWD00000GT9QQYA1","","","false","1003","Account"
"a0vWD00000B9kP4YAJ","false","SC-000023388","1.01","","","","","false","","","a0qWD00000GT9Q6YAL","","","false","1004","Account"
"a0vWD00000B9lOvYAJ","false","SC-000027106","2.01","nFORCE__UI_Lookup_Fields","","","","false","a0vWD00000B9kP4YAJ","Contacts","a0qWD00000GT9Q6YAL","","","false","1005","Contact"
"a0vWD00000B9kP5YAJ","false","SC-000023389","1.01","","","","","false","","","a0qWD00000GT9QZYA1","","","false","1006","Account"
"a0vWD00000B9lOwYAJ","false","SC-000027107","2.01","UI_Relationship_Referrals","","","","false","a0vWD00000B9kP5YAJ","nRE__Referrals__r","a0qWD00000GT9QZYA1","","","false","1007","nRE__Referral__c"
"a0vWD00000B9iRyYAJ","false","SC-000020845","1.01","nSBA__SBA_Form_601","","","","false","","","a0qWD00000GSgVRYA1","SBA Form 601","","false","100E412176434B0BA97A0B494B374D39","LLC_BI__Loan__c"
"a0vWD00000B9ifeYAB","false","SC-000021693","1.01","","","a0bWD0000011LCyYAM","0.0","false","","","a0qWD00000GSgg8YAD","","","false","1010","LLC_BI__Treasury_Service__c"
"a0vWD00000B9iyzYAB","false","SC-000022752","2.01","","","a0bWD0000011LCzYAM","0.0","false","a0vWD00000B9ifeYAB","LLC_BI__Product_Package__r","a0qWD00000GSgg8YAD","","","false","1011","LLC_BI__Product_Package__c"
"a0vWD00000B9lOyYAJ","false","SC-000027109","3.01","LLC_BI__UI_Product_Summary","","a0bWD0000011LD0YAM","0.0","false","a0vWD00000B9iyzYAB","LLC_BI__Treasury_Services__r","a0qWD00000GSgg8YAD","","","false","1012","LLC_BI__Treasury_Service__c"
"a0vWD00000B9kP7YAJ","false","SC-000023391","1.01","UI_Relationship_Details","","","","false","","","a0qWD00000GT9QRYA1","","","false","1013","Account"
"a0vWD00000B9kbqYAB","false","SC-000024080","1.01","UI_Relationship_Exposure","","","","false","","","a0qWD00000GT9QHYA1","","","false","1014","Account"
"a0vWD00000B9j0ZYAR","false","SC-000022850","2.01","UI_Loan_Loan_Team_Members","","","","false","a0vWD00000B9ih6YAB","LLC_BI__Loan_Teams__r","a0qWD00000GSghWYAT","","","false","10221619447516055","LLC_BI__LoanTeam__c"
"a0vWD00000B9kPDYAZ","false","SC-000023397","1.01","","","","","false","","","a0qWD00000GT9QhYAL","","","false","1023","Account"
"a0vWD00000B9lP2YAJ","false","SC-000027113","2.01","UI_Member_Services","","","","false","a0vWD00000B9kPDYAZ","Member_Services__r","a0qWD00000GT9QhYAL","","","false","1024","Member_Service__c"
"a0vWD00000B9kPEYAZ","false","SC-000023398","1.01","","","","","false","","","a0qWD00000GT9QbYAL","","","false","1025","Account"
"a0vWD00000B9lP3YAJ","false","SC-000027114","2.01","UI_Risk_Rating_Reviews","","","","false","a0vWD00000B9kPEYAZ","LLC_BI__Annual_Review__r","a0qWD00000GT9QbYAL","","","false","1026","LLC_BI__Annual_Review__c"
"a0vWD00000B9kPFYAZ","false","SC-000023399","1.01","","","","","false","","","a0qWD00000GT9Q9YAL","","","false","1027","Account"
"a0vWD00000B9iLqYAJ","false","SC-000020465","1.01","SBL_OA_Credit_Check","","a0bWD0000011L6iYAE","0.0","false","","","a0qWD00000GSgRHYA1","","","false","10271666029078212","LLC_BI__Loan__c"
"a0vWD00000B9lP4YAJ","false","SC-000027115","2.01","UI_Collateral_Owned","","","","false","a0vWD00000B9kPFYAZ","LLC_BI__Account_Collateral__r","a0qWD00000GT9Q9YAL","","","false","1028","LLC_BI__Account_Collateral__c"
"a0vWD00000B9kPGYAZ","false","SC-000023400","0.0","LLC_BI__UI_Loan_Summary","","","","false","","","a0qWD00000GT9QKYA1","Loan Information","","false","1029","LLC_BI__Loan__c"
"a0vWD00000B9inHYAR","false","SC-000022166","1.01","UI_Loan_Details","","a0bWD0000011LE5YAM","0.0","false","","","a0qWD00000GSglJYAT","","","false","10291619447516064","LLC_BI__Loan__c"
"a0vWD00000B9kPHYAZ","false","SC-000023401","1.0","","","","","false","","","a0qWD00000GT9QkYAL","Tasks","","false","1030","LLC_BI__Loan__c"
"a0vWD00000B9lP5YAJ","false","SC-000027116","2.0","LLC_BI__UI_Tasks","","","","false","a0vWD00000B9kPHYAZ","Tasks","a0qWD00000GT9QkYAL","Tasks","","false","1031","Task"
"a0vWD00000B9kPIYAZ","false","SC-000023402","0.0","LLC_BI__UI_Loan_Information","","","","false","","","a0qWD00000GT9QLYA1","Loan Information","","false","1032","LLC_BI__Loan__c"
"a0vWD00000B9kPJYAZ","false","SC-000023403","0.0","LLC_BI__UI_Loan_Pricing_Information","","","","false","","","a0qWD00000GT9QTYA1","Pricing","","false","1033","LLC_BI__Loan__c"
