"Id","OwnerId","IsDeleted","Name","nFORCE__App__c","nFORCE__Body__c","nFORCE__Group__c","nFORCE__Icon_Class__c","nFORCE__Is_Hidden__c","nFORCE__Navigation__c","nFORCE__Order__c","nFORCE__Parent_App__c","nFORCE__Screen__c","nFORCE__Sub_Navigation__c","nFORCE__Toolbar__c","nFORCE__Topbar__c","nFORCE__lookupKey__c","nPortal__Portal_Header_Text__c","nFORCE__Taxonomy_Id__c","nPortal__Portal_Icon_Path__c","nFORCE__Parameters__c","nPortal__Portal_Subheader_Text__c","nPortal__Search_Object_Filter__c","nPortal__Search_Object_Type__c","nPortal__Search_Results_Fieldset__c","nPortal__Search_Select_Active_Text__c","nFORCE__Body_Type__c","nFORCE__Description__c","nPortal__Search_Select_Text__c"
"a2Ebn000000DJtvEAG","005bn000003k2JdAAI","","Next Steps","small-business-loan-post-approval-ui-next-steps","nforce__ncdatagrid","","","false","nforce__navigation","","","a2Gbn000000kG3iEAE","nforce__sub_navigation","","nforce__topbar","15841663700623969","","next-steps","","","","","","","","Visualforce Page","",""
"a2Ebn000000DJu4EAG","005bn000003k2JdAAI","","Adverse Action","action-small-business-loan-post-approval-ui-adverse-action","llc_bi__adverseaction","","n-icon-reject","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","16041663700623977","","action-m-retail-adverse-action","","","","","","","","","",""
"a2Ebn000000DJuFEAW","005bn000003k2JdAAI","","Approval History","small-business-loan-post-approval-ui-approval-history","LLC_BI__Loan_Approval_History","","n-icon-loan","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","16131663700623992","","retail-loan-approval-history","","","","","","","","Visualforce Page","",""
"a2Ebn000000ECIaEAO","005bn000003k2JdAAI","","Beneficiary","deposit-account-origination---baseline-beneficiary2","llc_bi__beneficiary_app","","","false","nforce__navigation","","","a2Gbn000000mZA1EAM","nforce__sub_navigation","","nforce__topbar","17491701790670178","","beneficiary_2023R1","","","","","","","","","",""
"a2Ebn000000COF9EAO","005bn000003k2JdAAI","","Verifications","verify-credit","nfuse__verificationschecklist","","","false","nforce__navigation","","","","nforce__sub_navigation","","llc_bi__ngtopbar","176b7ac3-db61-349c","","verify-credit","","","","","","","","","",""
"a2Ebn000000DJtMEAW","005bn000003k2JdAAI","","Loan Team","small-business-loan-ui-loan-team","nforce__ncrelatedlist","","n-icon-team","false","nforce__navigation","","","a2Gbn000000kG3YEAU","nforce__sub_navigation","","nforce__topbar","18031640791244943","","retail-loan-ui-loan-team","","","","","","","","Visualforce Page","",""
"a2Ebn000000CRP6EAO","005bn000003k2JdAAI","","Manage Fees","post-approval-manage-fees","llc_bi__manageloanfees","","","false","nforce__navigation","","","a2Gbn000000hcg5EAA","nforce__sub_navigation","","nforce__topbar","18041619447513720","","post-approval-manage-fees","","","","","","","","","",""
"a2Ebn000000CRHaEAO","005bn000003k2JdAAI","","Manage Fees","m-retail-manage-fees","llc_bi__manageloanfees","","","false","nforce__navigation","","","a2Gbn000000hcdJEAQ","nforce__sub_navigation","","nforce__topbar","18381560278866600","","m-retail-manage-fees","","","","","","","","","",""
"a2Ebn000000ECITEA4","005bn000003k2JdAAI","","Create New Relationship for Beneficiary","deposit-account-origination---baseline-create-new-relationship-for-beneficiary","nforce__ncrelatedlist","","","false","nforce__navigation","","","a2Gbn000000mZ9zEAE","nforce__sub_navigation","","nforce__topbar","19131701790670168","","","","","","","","","","","",""
"a2Ebn000000DJtUEAW","005bn000003k2JdAAI","","Income Details","small-business-loan-ui-income-details","llc_bi__income","","fa fa-money fa-lg","false","nforce__inline_navigation","","","","nforce__sub_navigation","","nretail__summaryheadertopbar","19211640791244950","","retail-loan-ui-income-details","","incomeFieldSet=LLC_BI__Income_Schedule;tabs=true;hideBusinessTabs=true","","","","","","Visualforce Page","This productized route is the retail template for the Income Details route. Users clone this route to reduce configuration and implementation time.",""
"a2Ebn000000CRQcEAO","005bn000003k2JdAAI","","Overview","booked-overview","llc_bi__draw_app","","","false","nforce__navigation","","","a2Gbn000000hch0EAA","nforce__sub_navigation","","nforce__topbar","20031620937670669","","booked-overview","","","","","","","","","",""
"a2Ebn000000CRPNEA4","005bn000003k2JdAAI","","Manage Covenants","post-approval-manage-covenants","llc_bi__loancovenantmanagerui","","n-icon-covenant","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","20301619447513731","","post-approval-manage-covenants","","","","","","","","","",""
"a2Ebn000000CRPvEAO","005bn000003k2JdAAI","","Budget Administration","booked-budget-administration","nforce__blank","","","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","20371620937670643","","booked-budget-administration","","","","","","","","","",""
"a2Ebn000000DJu0EAG","005bn000003k2JdAAI","","Adverse Actions/Counter Offers","small-business-loan-post-approval-ui-adverse-actions-counter-offers","nforce__ncrelatedlist","","n-icon-reject","false","nforce__navigation","","","a2Gbn000000kG3mEAE","nforce__sub_navigation","","nforce__topbar","20641663700623974","","adverse-action-create-table","","","","","","","","Visualforce Page","",""
"a2Ebn000000CROrEAO","005bn000003k2JdAAI","","CRA","post-approval-cra","llc_bi__Questionnaire_Loan_App","","n-icon-hmda","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","20791619447513713","","post-approval-cra","","","","","","","","","",""
"a2Ebn000000CROuEAO","005bn000003k2JdAAI","","Budget Administration","post-approval-budget-administration","nforce__blank","","","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","20981619447513714","","post-approval-budget-administration","","","","","","","","","",""
"a2Ebn000000CRQJEA4","005bn000003k2JdAAI","","Generate Forms","action-booked-generate-forms","nforms__newformgenerator","","n-icon-generate","false","nFORCE__Navigation","","","","nFORCE__Sub_Navigation","","nFORCE__Topbar","22121620937670657","","action-booked-generate-forms","","","","","","","","","",""
"a2Ebn000000CRPSEA4","005bn000003k2JdAAI","","Borrowing Structure","post-approval-borrowing-structure","nforce__ncrelatedlist","","n-icon-relationship","false","nforce__navigation","","","a2Gbn000000hcgLEAQ","nforce__sub_navigation","","nforce__topbar","22841619447513734","","post-approval-borrowing-structure","","readonly=true","","","","","","","",""
"a2Ebn000000CRH3EAO","005bn000003kBWnAAM","","Loan Details","retail-loan-details","nforce__ncdatagrid","","n-icon-loan","false","nforce__navigation","","","a2Gbn000000hcdCEAQ","nforce__sub_navigation","","nforce__topbar","23465324463261500000","","retail-loan-details","","","","","","","","","",""
"a2Ebn000000DJuXEAW","005bn000003k2JdAAI","","Business Search","small-business-loan-online-application-business-search","NPORTAL__SearchResults","","","false","NPORTAL__ApplicationNavigation","40.0","","","","","NPORTAL__LoanTopbar","23561666029074209","Your Business","sbl-account-search","utility-sprite/svg/symbols.svg#search","","Which business would you like to apply with?","Type != 'Individual'","Account","nPORTAL__SBL_Account_Search_Fields","✓ Continue With This Business","","","Apply With This Business"
"a2Ebn000000DJuQEAW","005bn000003k2JdAAI","","Income","small-business-loan-online-application-income","nPORTAL__MultiRecordForm","","","false","NPORTAL__ApplicationNavigation","","","a2Gbn000000kG3rEAE","","","NPORTAL__LoanTopbar","23661666029074204","Income Information","secured-retail-loan-online-application-income","utility-sprite/svg/symbols.svg#identity","","Please enter your income information","","","","","Visualforce Page","",""
"a2Ebn000000CRI0EAO","005bn000003k2JdAAI","","Maintenance Request","master-relationship-maintenance-request","llc_bi__maintenance_request_app","","","false","nforce__inline_navigation","","","","nforce__sub_navigation","","nforce__blank","24061562008946500","","master-relationship-maintenance-request","","","","","","","","","",""
"a2Ebn000000CRHmEAO","005bn000003k2JdAAI","","Approval Details","m-retail-loan-approval-details","LLC_BI__Loan_Approval_History","","n-icon-loan","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","2456457421346870000","","m-retail-loan-approval-details","","","","","","","","","",""
"a2Ebn000000CwcvEAC","005bn000003k2JdAAI","","Reserve Deposit Account Number","atbk-reserve-deposit-id","atbk__automatedbooking","","n-icon-entity","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","250077094A24446E9C7E174A50434931","","","","","","","","","","","",""
"a2Ebn000000ECISEA4","005bn000003k2JdAAI","","Beneficiary - read only","deposit-account-origination---baseline-beneficiary---read-only","nforce__ncrelatedlist","","","false","nforce__navigation","","","a2Gbn000000mZA3EAM","nforce__sub_navigation","","nforce__nctopbar","25901701790670167","","pc-beneficiary-read-only","","readonly=true","","","","","","Visualforce Page","",""
"a2Ebn000000CROsEAO","005bn000003k2JdAAI","","Certifications","post-approval-certifications","nforce__ncdatagrid","","n-icon-hmda","false","nforce__navigation","","","a2Gbn000000hcg0EAA","nforce__sub_navigation","","nforce__topbar","25941619447513713","","post-approval-certifications","","","","","","","","","",""
"a2Ebn000000DJuKEAW","005bn000003k2JdAAI","","Entity Compliance","small-business-loan-post-approval-ui-entity-compliance","llc_bi__hmda_entity_compliance","","n-icon-hmda","false","nforce__navigation","","","a2Gbn000000kG3bEAE","nforce__sub_navigation","","nforce__topbar","26011663700624003","","hmda-entity-compliance-2018","","","","","","","","","",""
"a2Ebn000000ECIeEAO","005bn000003k2JdAAI","","Deposit Application Summary","deposit-account-origination---baseline-deposit-application-summary2","llc_bi__deposit_product_creation_summary_app","","","false","nforce__navigation","","","a2Gbn000000mZA2EAM","nforce__sub_navigation","","nforce__topbar","26411701790670184","","deposit-application-summary_2023R1","","","","","","","","","",""
"a2Ebn000000CRPBEA4","005bn000003k2JdAAI","","Participations","post-approval-participations","nforce__ncrelatedlist","","n-icon-relationship","false","nforce__navigation","","","a2Gbn000000hcgAEAQ","nforce__sub_navigation","","nforce__topbar","26581619447513724","","post-approval-participations","","","","","","","","","",""
"a2Ebn000000DJthEAG","005bn000003k2JdAAI","","Underwriters Offers","small-business-loan-ui-underwriters-offers","llc_bi__offers","","","false","nFORCE__navigation","","","","nretail__blank","","nforce__topbar","26601640791244965","","retail-loan-ui-offers-UW","","","","","","","","Visualforce Page","",""
"a2Ebn000000CRQCEA4","005bn000003k2JdAAI","","Participations","booked-participations","nforce__ncrelatedlist","","n-icon-relationship","false","nforce__navigation","","","a2Gbn000000hcgjEAA","nforce__sub_navigation","","nforce__topbar","26861620937670653","","booked-participations","","","","","","","","","",""
"a2Ebn000000DJttEAG","005bn000003k2JdAAI","","Third Party Mangement","small-business-loan-post-approval-ui-third-party","llc_bi__third_party_management","","n-icon-fees","false","nFORCE__navigation","","","a2Gbn000000kG3fEAE","nFORCE__sub_navigation","","nforce__topbar","26961663700623964","","retail-loan-ui-third-party","","","","","","","","Visualforce Page","This productized route is the retail template for the Third Party route. Users clone this route to reduce configuration and implementation time.",""
"a2Ebn000000DJtQEAW","005bn000003k2JdAAI","","Decision History","small-business-loan-ui-decision-history","llc_bi__loanautodecisionscorecardhistory","","n-icon-analyze","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","27071640791244947","","retail-loan-decision-history","","","","","","","","","",""
"a2Ebn000000CRQNEA4","005bn000003k2JdAAI","","CRA Reporting","booked-cra-reporting","llc_bi__cra_reporting","","n-icon-treasury_management","false","nforce__navigation","","","a2Gbn000000hcgqEAA","nforce__sub_navigation","","nforce__topbar","27421620937670660","","booked-cra-reporting","","","","","","","","","",""
"a2Ebn000000CRIiEAO","005bn000003k2JdAAI","","Treasury Service Details","master-treasury-services-treasury-service-details","nforce__ncdatagrid","","","false","nforce__navigation","","","a2Gbn000000hcdeEAA","nforce__sub_navigation","","nforce__topbar","27751567002571500","","master-treasury-services-treasury-service-details","","","","","","","","","",""
