"Id","OwnerId","IsDeleted","Name","nFORCE__App__c","nFORCE__lookupKey__c","nFORCE__Default_Collapse_Parent_Navigation__c","nFORCE__Is_Archived__c","nFORCE__Is_Questionnaire__c","nFORCE__Parent_Group__c","nFORCE__Screen__c","nFORCE__Taxonomy_Id__c","nFORCE__Category__c","nFORCE__Layout__c","nFORCE__Answer_Context__c","Description_Custom__c","nFORCE__Description__c","nPortal__Context_Type__c","nPortal__Is_Portal_Enabled__c","ChexSystems_route__c"
"a2Bbn000000LTFcEAO","005bn000003k2JdAAI","","Deposit Application (Business) Additional Owner","portal-dep-owner","42884073905355528","false","false","false","a2Bbn000000LTFbEAO","","portal-dep-owner","Online Application","a2Cbn000002VbE2EAK","","","","Owner","true",""
"a2Bbn000000J52qEAC","005bn000003kBWnAAM","","Unsecured Small Business Loan Workflow","sbl-unsec-group","42903851954541033","false","false","false","","","sbl-unsec-group","","","","","","","false",""
"a2Bbn000000J53CEAS","005bn000003k2JdAAI","","DocuSign - Default","docusign-default","42921740115752574","false","false","false","","","docusign-default","","","","","","","false",""
"a2Bbn000000J52xEAC","005bn000003k2JdAAI","","Test 2","tmmg-Test200-00","42929089401890532","false","false","false","","a2Gbn000000hccNEAQ","tmmg-Test200-00","","","","","","","false",""
"a2Bbn000000J52cEAC","005bn000003k2JdAAI","","Business KYC","bus-kyc","42940369988812827","false","false","true","","","","","","","","","","false",""
"a2Bbn000000J53AEAS","005bn000003k2JdAAI","","Relationship - Default","relationship-default","42943134305184229","false","false","false","","","relationship-default","","","","","","","false",""
"a2Bbn000000J53QEAS","005bn000003k2JdAAI","","nCino Administration","admin","42945668722646292","false","false","false","","","admin","","","","","","","false",""
"a2Bbn000000J52jEAC","005bn000003k2JdAAI","","Small Business Loan Application (Individual Other Involved)","portal-sbl-ind-other","42963370448176169","false","false","false","a2Bbn000000J52iEAC","","portal-sbl-ind-other","","","","","","","false",""
"a2Bbn000000J53LEAS","005bn000003k2JdAAI","","New Loan Product","new-loan","42964014987709751","false","false","false","","","new-loan","","","","","","","false",""
"a2Bbn000000J53cEAC","005bn000003k2JdAAI","","Loan Covenant","COV_Loan","42974329455514665","false","false","false","","","","","","","","","","false",""
"a2Bbn000000J52oEAC","005bn000003kBWnAAM","","Retail Loan","retail-loan","46461560278745196","false","false","false","","","retail-loan","","","","","","","false",""
"a2Bbn000000J53aEAC","005bn000003k2JdAAI","","MASTER Loan Booked","m-loan-booked","49741620937669910","false","false","false","","","m-loan-booked","","","","","","","false",""
"a2Bbn000000LTFkEAO","005bn000003k2JdAAI","","Unsecured Retail Loan Online Application (Individual Other Involved)","unsecured-retail-loan-online-application--individual-other-involved","51611603130192527","false","false","false","a2Bbn000000LTFjEAO","","unsecured-retail-loan-online-application--individual-other-involved","Online Application","a2Cbn000002VbE2EAK","Loan","","","Other Involved (Individual)","true",""
"a2Bbn000000LTFhEAO","005bn000003k2JdAAI","","Secured Retail Loan Online Application (Individual Other Involved)","secured-retail-loan-online-application--individual-other-involved","56841602603006905","false","false","false","a2Bbn000000LTFgEAO","","secured-retail-loan-online-application--individual-other-involved","Online Application","a2Cbn000002VbE2EAK","Loan","","","Other Involved (Individual)","true",""
"a2Bbn000000KMCUEA4","005bn000003k2JdAAI","","Small Business Loan UI","small-business-loan-ui","58141640791244050","false","false","false","","","retail-loan-ui","","","","","The productized route group includes the retail route templates required for a faster configuration and implementation  experience. Users must clone this group as needed for each loan product type as this specific route group is template-only.","","false",""
"a2Bbn000000LTFjEAO","005bn000003k2JdAAI","","Unsecured Retail Loan Online Application","unsecured-retail-loan-online-application","60411603129896006","false","false","false","","","unsecured-retail-loan-online-application","Online Application","a2Cbn000002VbE2EAK","Loan","","","Applicant","true",""
"a2Bbn000000J53ZEAS","005bn000003k2JdAAI","","MASTER Loan Post Approval","m-loan-post-approval","66341619447512452","false","false","false","","","m-loan-post-approval","","","","","","","false",""
"a2Bbn000000LTFlEAO","005bn000003k2JdAAI","","Deposit Account Origination - Baseline","deposit-account-origination---baseline","73581701790660761","false","false","false","","","deposit-account-origination_2023R1","","","","","","","false",""
"a2Bbn000000J52rEAC","005bn000003kBWnAAM","","MASTER-Loan - Retail","m-retail","80561560278865441","false","false","false","","","m-retail","","","","","","","false",""
"a2Bbn000000KMCVEA4","005bn000003k2JdAAI","","Small Business Loan Post Approval UI","small-business-loan-post-approval-ui","88091663700612060","false","false","false","","","retail-loan-ui","","","","","The productized route group includes the retail route templates required for a faster configuration and implementation  experience. Users must clone this group as needed for each loan product type as this specific route group is template-only.","","false",""
"a2Bbn000000LTFiEAO","005bn000003k2JdAAI","","Retail Loan- Post Approval UI","retail-loan--post-approval-ui","89621602764612697","false","false","false","","","retail-loan--post-approval-ui","","","","","The productized route group includes the retail route templates required for a faster configuration and implementation  experience. Users must clone this group as needed for each loan product type as this specific route group is template-only.","","false",""
"a2Bbn000000LTFgEAO","005bn000003k2JdAAI","","Secured Retail Loan Online Application","secured-retail-loan-online-application","95231602078250452","false","false","false","","","secured-retail-loan-online-application","Online Application","a2Cbn000002VbE2EAK","Loan","","","Applicant","true",""
"a2Bbn000000J52vEAC","005bn000003k2JdAAI","","MASTER-Treasury Services","master-treasury-services","95821567002558847","false","false","false","","","master-treasury-services","","","","","","","false",""
"a2Bbn000000LTFfEAO","005bn000003k2JdAAI","","Retail Loan UI","retail-loan-ui","96991600720267323","false","false","false","","","retail-loan-ui","","","","","The productized route group includes the retail route templates required for a faster configuration and implementation  experience. Users must clone this group as needed for each loan product type as this specific route group is template-only.","","false",""
"a2Bbn000000J52nEAC","005bn000003kBWnAAM","","Session (MASTER) - HELOC Loan","heloc-loan-grp","NotHelocSpecific-UseforAllRetail","false","false","false","","","heloc-loan-grp","","","","Packaged - This is 1 of 4 packaged Groups used for Retail.  As a Gold Standard, this is the baseline to clone and begin configuration.  The other 3 Session Groups are not maintained at this time (Summer 19)","","","false",""
"a2Bbn000000J52TEAS","005bn000003k2JdAAI","","Deal Management Workspace: Loan","dmw-group-loan","dmwui-42926525468","false","false","false","","","","","","","","","","false",""
"a2Bbn000000J534EAC","005bn000003kBWfAAM","","Deal Management Workspace: Treasury","dmw-group-treasury","dmwui-42947458925","false","false","false","","","","","","","","","","false",""
"a2Bbn000000J52tEAC","005bn000003k2JdAAI","","New Relationship","new-relationship","new-relationship","false","false","false","","","new-relationship","","","","","","","false",""
"a2Bbn000000J530EAC","005bn000003k2JdAAI","","Relationship Loans Treegrid","relationship-loans-treegrid","rcaui-42318683902","false","false","false","","","relationship-loans-treegrid","","","","","","","false",""
"a2Bbn000000KME5EAO","005bn000003k2JdAAI","","Small Business Loan - Business - KYC","small-business-loan-bus-kyc","small-business-loan-bus-kyc","false","false","true","","","","Online Application","","Loan","","","","true",""
"a2Bbn000000KMCTEA4","005bn000003k2JdAAI","","Small Business Loan Application (Individual Other Involved)","small-business-loan-individual-online-application-other-involved","small-business-loan-individual-online-application-other-involved","false","false","false","a2Bbn000000J52iEAC","","portal-sbl-ind-other","Online Application","","","","","Other Involved (Individual)","true",""
