"Id","IsDeleted","Name","LLC_BI__Spread_Statement_Type__c","LLC_BI__Debit__c","LLC_BI__Include_In_Total__c","LLC_BI__Is_Linked__c","LLC_BI__Linked_Spread_Statement_Record__c","LLC_BI__Linked_Spread_Statement_Total_Group__c","LLC_BI__Operation_Add__c","LLC_BI__Operation_Divide__c","LLC_BI__Operation_Multiply__c","LLC_BI__Operation_Subtract__c","LLC_BI__Operation__c","LLC_BI__Period_Over_Period_Change__c","LLC_BI__Row_Number__c","LLC_BI__Spread_Statement_Record_Total__c","LLC_BI__lookupKey__c","LLC_BI__Record_Type__c","LLC_BI__Prior_Fiscal_Year__c","LLC_BI__Display_Type__c","LLC_BI__KPI_Type__c","LLC_BI__Period_Over_Prior_Fiscal_Year__c","LLC_BI__Formula__c","LLC_BI__Source_Row__c","LLC_BI__Cloned_Source_Row__c","LLC_BI__Formula_Long_Text__c","LLC_BI__Associated_Parent_Record__c"
"a18bn000001a1r3AAA","","Total Assets","a19bn000001uMUdAAM","false","true","","","","","","","","ADD","false","1.0","a16bn00000108V9AAI","42475770768877014","Simulated","false","Group","","false","","","","<#Total_Current_Assets_ACCTGRD>+<#Total_NonCurrent_Assets_ACCTGRD>",""
"a18bn000001a1TXAAY","","EBIT / Interest Expense","a19bn000001uMUVAA2","false","true","","","","","","","","ADD","false","1.0","a16bn00000108IwAAI","42475902358770685","Simulated","false","Decimal","","false","","","","<#EBIT_ACCTGRD>/(<#Interest_Expense_ACCTGRD> * -1)",""
"a18bn000001a1b0AAA","","Total Cash Inflows","a19bn000001uMUSAA2","false","true","","","","","","","","ADD","false","-9.0","a16bn00000108IOAAY","42475914362849548","Simulated","false","Group","","false","","","","<#Total_Net_SalesRevenue_ACCTGRD> + <#NonFarm_Income_ACCTGRD>+<#Capital_Sales_ACCTGRD>+<#Capital_Contributions_ACCTGRD>",""
"a18bn000001a1TLAAY","","Deferred Revenue","a19bn000001uMUUAA2","false","true","","","","","","","","ADD","false","46.0","a16bn00000108IlAAI","42476539449094497","Standard","false","Group","","false","","","","",""
"a18bn000001a16iAAA","","Total Assets Growth","a19bn000001uMdNAAU","false","true","","","","","","","","ADD","false","1.0","a16bn00000108cnAAA","42476585407308576","Simulated","false","Percentage","","false","","","","(<#Total_Assets_ACCTGRD>-<#Prior_Period_Total_Assets_ACCTGRD>)/<#Prior_Period_Total_Assets_ACCTGRD>",""
"a18bn000001a1FYAAY","","Chg Due from Related CP","a19bn000001uMdSAAU","true","true","","","","","","","","ADD","false","31.0","a16bn00000108dmAAA","42476830678182948","Simulated","false","Group","","true","","","","<#Due_from_OfficersStockholders_CP_ACCTGRD> + <#Due_from_Related_Co_CP_ACCTGRD>",""
"a18bn000001a1SaAAI","","Chg. Other Non-Op. Current Liabs","a19bn000001uMUtAAM","false","true","","","","","","","","ADD","false","61.0","a16bn00000108XBAAY","42476838881751521","Simulated","false","Group","","true","","","","<#Other_NonOp_Current_Liabs_ACCTGRD>",""
"a18bn000001a1nGAAQ","","Accounts Payable - Trade","a19bn000001uMURAA2","false","true","","","","","","","","ADD","false","1.0","a16bn00000108I7AAI","42476884774791410","Standard","false","Group","","false","","","","",""
"a18bn000001a1FHAAY","","Bad Debt Expense","a19bn000001uMdZAAU","true","true","","","","","","","","ADD","false","21.0","a16bn00000108ekAAA","42477038429576389","Simulated","false","Group","","false","","","","<#Bad_Debt_Expense_ACCTGRD>",""
"a18bn000001a1tzAAA","","Ordinary Dividends","a19bn000001uMUnAAM","false","true","","","","","","","","ADD","false","31.0","a16bn00000108WTAAY","42477210846302094","Standard","false","Group","","false","","","","",""
"a18bn000001a10hAAA","","Maintenance & Repairs","a19bn000001uMdeAAE","false","true","","","","","","","","ADD","false","130.0","a16bn00000108fdAAA","42477445185125015","Standard","false","Group","","false","","","","",""
"a18bn000001a1fnAAA","","Interest (paid to banks, etc)","a19bn000001uMUbAAM","false","true","","","","","","","","ADD","false","11.0","a16bn00000108UzAAI","42477465740493596","Standard","false","Group","","false","","","","",""
"a18bn000001a1d9AAA","","ROA","a19bn000001uMUYAA2","false","true","","","","","","","","ADD","false","61.0","a16bn00000108JSAAY","42478147581651296","Simulated","false","Percentage","","false","","","","(<#Net_Profit_ACCTGRD>+<#Operating_Interest_ACCTGRD>+<#Term_Interest_ACCTGRD>)/<#Average_Total_Farm_Assets_ACCTGRD>",""
"a18bn000001a1HqAAI","","Chg. Net Fixed Assets","a19bn000001uMdaAAE","false","true","","","","","","","","ADD","false","11.0","a16bn00000108f8AAA","42478259619366906","Simulated","false","Group","","true","","","","<#Net_Fixed_Assets_ACCTGRD>",""
"a18bn000001a18wAAA","","Net Income","a19bn000001uMdHAAU","false","true","","","","","","","","ADD","false","1.0","a16bn00000108cCAAQ","42478618930899563","Simulated","false","Group","","false","","","","<#Sch_C_Net_Profit_Loss_ACCTGRD>",""
"a18bn000001a1KNAAY","","Due from Related Co. CP","a19bn000001uMdfAAE","false","true","","","","","","","","ADD","false","130.0","a16bn00000108fnAAA","42478730490816593","Standard","false","Group","","false","","","","",""
"a18bn000001a13uAAA","","Property Taxes","a19bn000001uMdgAAE","false","true","","","","","","","","ADD","false","300.0","a16bn00000108g6AAA","42478805014949307","Standard","false","Group","","false","","","","",""
"a18bn000001a1WCAAY","","Total Sales","a19bn000001uMUwAAM","false","true","","","","","","","","ADD","false","1.0","a16bn00000108XVAAY","42479275908712669","Simulated","false","Group","","false","","","","<#Total_Net_SalesRevenue_ACCTGRD>",""
"a18bn000001a1dHAAQ","","Non-Farm Expense","a19bn000001uMUZAA2","true","true","","","","","","","","ADD","false","71.0","a16bn00000108JTAAY","42479986113706418","Standard","false","Group","","false","","","","",""
"a18bn000001a1ZaAAI","","Operating Expense Ratio","a19bn000001uMV2AAM","false","true","","","","","","","","ADD","false","27.25","a16bn00000108ahAAA","42480338699032465","Simulated","false","Percentage","","false","","","","<#total_operating_expenses>/<#effective_gross_income>",""
"a18bn000001a1fdAAA","","Social Security Income","a19bn000001uMUbAAM","false","true","","","","","","","","ADD","false","61.0","a16bn00000108UuAAI","42480708349932608","Standard","false","Group","","false","","","","",""
"a18bn000001ZszvAAC","","Other Trade Payables","a19bn000001uMdfAAE","false","true","","","","","","","","ADD","false","11.0","a16bn00000108fxAAA","42480864289371556","Standard","false","Group","","false","","","","",""
"a18bn000001a1SpAAI","","Chg. Prepaids/Deferreds - CP","a19bn000001uMUtAAM","true","true","","","","","","","","ADD","false","36.0","a16bn00000108X1AAI","42481728806308596","Simulated","false","Group","","true","","","","<#PrepaidsDeferreds_CP_ACCTGRD>",""
"a18bn000001a1MGAAY","","Annualized Net Sales","a19bn000001uMV5AAM","false","true","","","","","","","","ADD","false","1.0","a16bn00000108ayAAA","42482384187926175","Simulated","false","Group","","false","","","","<#Total_Net_SalesRevenue_ACCTGRD>*<#Partial_Year_Adjustment_ACCTGRD>",""
"a18bn000001a1EXAAY","","Non-Cash Income","a19bn000001uMdOAAU","false","true","","","","","","","","ADD","false","41.0","a16bn00000108cvAAA","42482659688402372","Standard","false","Group","","false","","","","",""
"a18bn000001a11XAAQ","","Retirement Funds (eg. IRAs, 401k)","a19bn000001uMdGAAU","false","true","","","","","","","","ADD","false","21.0","a16bn00000108c4AAA","42482887735595022","Standard","false","Group","","false","","","","",""
"a18bn000001a1PLAAY","","Lease/Rent Expense","a19bn000001uMdBAAU","true","true","","","","","","","","ADD","false","21.0","a16bn00000108bJAAQ","42482921017648847","Simulated","false","Group","","false","","","","<#LeaseRent_Expense_ACCTGRD>",""
"a18bn000001a13IAAQ","","Social Security Benefits","a19bn000001uMdHAAU","false","true","","","","","","","","ADD","false","61.0","a16bn00000108cDAAQ","42483508697739304","Standard","false","Group","","false","","","","",""
"a18bn000001a19yAAA","","Other Income/(Expense)","a19bn000001uMdSAAU","false","true","","","","","","","","ADD","false","1.0","a16bn00000108dfAAA","42483606788685694","Simulated","false","Group","","false","","","","<#Total_Other_Income_and_Expenses_ACCTGRD>",""
"a18bn000001a1BdAAI","","Other Expense","a19bn000001uMdeAAE","true","true","","","","","","","","ADD","false","41.0","a16bn00000108fgAAA","42483882260770532","Standard","false","Group","","false","","","","",""
"a18bn000001a1cxAAA","","Operator Draw/Unpaid Family Labor","a19bn000001uMUYAA2","false","true","","","","","","","","ADD","false","-9.0","a16bn00000108JOAAY","42484129098939825","Standard","false","Group","","false","","","","",""
"a18bn000001a1NtAAI","","Chg. Net Intangibles","a19bn000001uMdBAAU","true","true","","","","","","","","ADD","false","11.0","a16bn00000108bRAAQ","42484397670261949","Simulated","false","Group","","true","","","","<#Intangibles_Other_ACCTGRD>+<#Accum_Amort_Impairment_ACCTGRD>",""
